I-Adj.i_1,Meaning_1,I-Adj.i_2,Meaning_2,I-Adj.i_3,Meaning_3
無い,"not, no",軽い,light,仕方無い,can’t be help
良い,long,優しい,kind,厚い,"thick, deep"
多い,many,可愛い,cute,親しい,close
高い,"high, expensive",重い,heavy,暑い,hot (weather)
大きい,big,可笑しい,funny,幼い,childish
悪い,bad,明るい,bright,相応しい,appropriate
強い,strong,痛い,painful,久しい,"long, old"
少ない,"small, little",赤い,red,有り難い,grateful
長い,long,短い,short,固い,"hard, tough"
新しい,new,暗い,dark,物凄い,tremendous
早い,"early, fast",遅い,"slow, late",懐かしい,"beloved, missed"
甘い,sweet,弱い,weak,丸い,"round, circular"
若い,young,黒い,black,貧しい,"poor, needy"
欲しい,want,遠い,"far, distant",硬い,"hard, solid"
深い,deep,薄い,thin,著しい,striking
近い,near,狭い,narrow,きつい,"tough, hard"
小さい,small,素晴らしい,wonderful,怪しい,suspicious
難しい,difficult,珍しい,rare,煩い,"noisy, loud"
凄い,terrific,寂しい,lonely,不味い,bad (taste)
面白い,interesting,冷たい,cold (touch),温かい,warm
広い,wide,寒い,cold (weather),汚い,dirty
美しい,beautiful,恐ろしい,frightening,素早い,"quick, swift"
白い,white,忙しい,busy,望ましい,desirable
低い,"low, short",細い,"thin, slender",危ない,dangerous
楽しい,fun,恥ずかしい,embarrassed,悔しい,annoying
嬉しい,happy,悲しい,sad,柔らかい,"soft, tender"
酷い,"cruel, unjust",宜しい,"good, fine",等しい,"equal, identical"
古い,old,濃い,"thick, deep",大人しい,obedient
安い,cheap,苦しい,"painful, hard",暖かい,"warm, mild"
美味しい,delicious,熱い,hot (thing),堅い,"hard, solid"
正しい,"right, correct",細かい,small,めでたい,auspicious
詳しい,detailed,太い,fat,軟らかい,"soft, tender"
激しい,furious,偉い,great,浅い,shallow
怖い,scary,速い,fast,凄まじい,fierce
厳しい,"severe, strict",鋭い,"sharp, keen",黄色い,yellow
辛い,"spicy, hot",青い,blue,情けない,miserable
