Adjective,Meaning
無い,"not, no"
良い,good
多い,many
高い,"high, expensive"
大きい,big
悪い,bad
強い,strong
少ない,"small, little"
長い,long
新しい,new
早い,"early, fast"
甘い,sweet
若い,young
欲しい,want
深い,deep
近い,near
小さい,small
難しい,difficult
凄い,terrific
面白い,interesting
広い,wide
美しい,beautiful
白い,white
低い,"low, short"
楽しい,fun
嬉しい,happy
酷い,"cruel, unjust"
古い,old
安い,cheap
美味しい,delicious
正しい,"right, correct"
詳しい,detailed
激しい,furious
怖い,scary
厳しい,"severe, strict"
辛い,"spicy, hot"
軽い,light
優しい,kind
可愛い,cute
重い,heavy
可笑しい,funny
明るい,bright
痛い,painful
赤い,red
短い,short
暗い,dark
遅い,"slow, late"
弱い,weak
黒い,black
遠い,"far, distant"
薄い,thin
狭い,narrow
素晴らしい,wonderful
珍しい,rare
寂しい,lonely
冷たい,cold (touch)
寒い,cold (weather)
恐ろしい,frightening
忙しい,busy
細い,"thin, slender"
恥ずかしい,embarrassed
悲しい,sad
宜しい,"good, fine"
濃い,"thick, deep"
苦しい,"painful, hard"
熱い,hot (thing)
細かい,small
太い,fat
偉い,great
速い,fast
鋭い,"sharp, keen"
青い,blue
仕方無い,can’t be help
厚い,"thick, deep"
親しい,close
暑い,hot (weather)
幼い,childish
相応しい,appropriate
久しい,"long, old"
有り難い,grateful
固い,"hard, tough"
物凄い,tremendous
懐かしい,"beloved, missed"
丸い,"round, circular"
貧しい,"poor, needy"
硬い,"hard, solid"
著しい,striking
きつい,"tough, hard"
怪しい,suspicious
煩い,"noisy, loud"
不味い,bad (taste)
温かい,warm
汚い,dirty
素早い,"quick, swift"
望ましい,desirable
危ない,dangerous
悔しい,annoying
柔らかい,"soft, tender"
等しい,"equal, identical"
大人しい,obedient
暖かい,"warm, mild"
堅い,"hard, solid"
めでたい,auspicious
軟らかい,"soft, tender"
浅い,shallow
凄まじい,fierce
黄色い,yellow
情けない,miserable
