Time,Script,Translation1,Translation2
0s,みなさん、KimonoMon's　kitchenへようこそ！,Hey guys! Welcome to Kimono Mom's Kitchen,"Welcome to KimonoMon's kitchen, everyone!"
2s,私はMOE です。 そして、スータン。,I'm MOE and this is SUTAN,I'm MOE And Sutan.
4s,今日は「おでん」の作り方を紹介します。,"Today we're going to show you how to make ""Oden""","Today I will introduce how to make ""oden""."
7s,「おでん」,Oden,Oden
8s,おでんは日本のシチューの一種で、スープは一般的に鰹節と昆布だしで作られていますが、,Oden is a type of Japanese stew and the soup is generally made from bonito flakes and kelp,"Oden is a type of Japanese stew, and soup is generally made from dried bonito and kelp soup stock."
15s,今日は海外でも手軽に 手に入る 粉末だしととオイスターソースを使ってスープを作ります。,But today I'm going to make the soup using Dashi powder and oyster sauce which are easily available in overseas,"Today, I make soup using powdered soup stock and oyster sauce, which are easily available overseas."
22s,では、始めましょう！,"All right, let's get started!",Let's get started!
28s,日本特有の食材がいっぱい使われているので もし、なければ省いてください。,"Oden in general uses ingredients that are unique to Japan, but you can replace them with any vegetable and meat and seafood that are familiar to you","If you don't have a lot of Japanese ingredients, please omit them."
33s,逆に言うと、なんでもいれて大丈夫です。,"Because even in Japan, they are depends on region and family","To put it the other way around, it's okay to put anything in it."
36s,今日は比較的、海外でも手に入りやすいものを 中心に作っていきます。,So today I've prepared ingredients that would be to get overseas,"Today, I will mainly make things that are relatively easy to obtain overseas."
41s,今日の具材,Here is today's ingredients,Today's ingredients
43s,これは鶏肉ですが、お肉なら何でも使えます,"I use chicken, but you can use any meat","This is chicken, but you can use any meat"
45s,海老と豆腐 大根、もち、豆腐揚げ,And I'm gonna make fried shrimp dumplings using shrimps and Tofu,"Shrimp and tofu radish, rice cake, fried tofu"
49s,ジャガイモ、卵、,"Daikon radish, Mochi, and deep fried tofu","Potatoes, eggs,"
52s,こんにゃく,"Potatoes, eggs, Konjac",Konjac
54s,お大根,Cut and peel,Radish
1:00,長時間煮るため、大根が端から崩れないように,Then cut off the corner of the radish ends to prevent them from falling apart while simmering for a long time,"Because it is boiled for a long time, do not let the radish crumble from the edge"
1:07,面取りをします,Look,Chamfer
1:09,大根を覆うのに十分な量の水を注ぎ、沸騰させます,Pour in just enough water to cover radish and boil them,Pour enough water to cover the radish and bring to a boil.
1:13,もしあれば、お米も一緒に湯がきます。 あくをとりながら、茹でます。,Put a handful of rice into the pot. It will work to remove bitterness of radish,"If there is, the rice will be boiled together. Boil while removing the lye."
1:19,ゆで卵,Make boiled eggs,Boiled egg
1:23,じゃがいもの皮をむいて半分に,Peel the potatoes and cut in half,Peel the potatoes and halve
1:29,皮をむいたら、水に浸します,"After cutting, soak them in water","After peeling, soak in water"
1:31,おこんにゃ（こんにゃく）。 もしアジアマーケットで売っていれば、 おでんらしいと思います。,"This is Konjac. If you find it in asian supermarket, you should buy it","Konnyaku. If you sell it in the Asian market, I think it's oden."
1:42,油揚げの中に、お餅をいれて、 餅巾着にします。,I put Mochi into Deep fried Tofu then it is called 'Mochikinnchaku',Put the mochi in the fried tofu to make a mochi purse.
1:46,お箸で油揚げをコロコロ、コロコロ（笑）,Make deep fried tofu into a pouch by a chopstick. Roll it like this,"Fried fried tofu with chopsticks, rolling (laughs)"
1:51,コロコロ、コロコロとすると（笑）,Roll roll roll..,"Rolling, rolling (laughs)"
1:56,切って,Right,cut
1:58,袋にしました。,Peel off and make a pouch,I made it into a bag.
2:04,はいったぁ。,Put Mochi into tofu pouch,Yes.
2:06,本当は、このかんぴょうというもので口をきゅっと閉じて,"We use Kampyo that is dried gourd shavings to close the tofu pouch,","Actually, close your mouth tightly with this Kanpyo"
2:10,一緒にゆでるんですが,Kanpyooo!,I'm boiling it together
2:11,でも海外ではないと思います。,But I don't think this is overseas..,But I don't think it's overseas.
2:13,「ワウワウワウ！…シッ！」,Wah wah wah! ...shhh!,Wow Wow Wow! ... Shhh!
2:15,ああ！えらいね。 シーッ、ってやった？,Oh! Now you can say shh! to yourself! Genius!,Oh! you're good. Did you do it?
2:18,「シーッ〜！」,Shh~!,Shhh!
2:22,かんぴょうの代わりに凧糸やつまようじを使って閉じることもできます。,Well you can use some thread or toothpick instead of Kanpyo to close the pouch,You can also use a kite string or toothpick instead of Kanpyo to close it.
2:26,パスタみたいなもので,I recommend you to use pasta,It ’s like pasta
2:29,じゃばらにして 刺してもいいです,Close the mouth of the pouch like this and point to the pasta,You can stab it in a bellows
2:39,見て？わかる？,Look at this,look? Understand?
2:41,半分に折ったパスタで、刺す,"Pasta folded in half, and pierce",Stab with pasta folded in half
2:47,じゃぁ、このように巾着になります,Look at this! Mochikinnchaku,"Then, it will be a purse like this"
2:51,電子レンジでチンします,Microwave it for 3minutes,Chin in the microwave
2:56,エビ（えび）,Shrimps (Ebi),Shrimp
2:57,「えび〜！」,Ebi~!,Shrimp~!
2:58,そう！シュリンプ！,Right! It's shrimp!,so! shrimp!
2:59,「shweee〜！」,shweee~!,Shweee ~!
3:00,細かく切っていきます。,Cut into small pieces,I will cut it into small pieces.
3:03,ちょっと、食感が残るぐらいに 荒みじんぎりに,Do not cut them too small. It ’s good to leave the texture of them,Roughly chopped to the extent that the texture remains
3:06,チンしたら、お豆腐からお水が出るので、 お水をすて,"When you microwave tofu, water come out so drain it","When you chin, water will come out from the tofu, so drain the water."
3:10,くずし入れます。 くずし入れたら、,Crush it until smooth,I'll put it in. If you put it in
3:15,くるくるしたい？ くるくるしたいの？,Want to use a whisk?,Want to spin around? Do you want to spin around?
3:17,くるくるしてみ？ できる？,"Okay, try it",Do you want to spin it around? it can?
3:26,お豆腐の中に、エビをいれます。,Add shrimps into tofu,Put the shrimp in the tofu.
3:29,お塩もいれて、卵！,A pinch of salt in,Add salt and eggs!
3:33,片栗粉,And 2tbsp of potato starch in,Starch
3:35,また作りすぎたなぁ。 半分の量でいいなぁ,"Oh I made a lot again.. (I wrote half the amount in the recipe, so you can follow it)",I made too much again. Half the amount is fine 
3:44,おやつが欲しいですか？,Want some snack?,Do you want a snack?
3:47,さて、冷蔵庫の中を見てみましょ,"Ok, let's look in the fridge","Now, let's take a look inside the refrigerator"
3:49,ううわー..アイス？,Wow.. I found some frozen fruits,Wow .. ice cream?
3:51,「アイス」,frozen fruits,ice
4:06,そう？数えれた？ 数えてから、食べよ？,Good work! Let's count again from 1 to 10,so? Did you count? Count and then eat?
