Time,Subtitle,Translation
12s,（ﾄﾘﾝﾄﾞﾙ）こんばんは （一同）こんばんは,-Good evening. -Good evening.
14s,（YOU(ユウ)）テラスハウスは 見ず知らずの男女６人が,"Terrace House is a show about six strangers living together,"
16s,共同生活する様子を ただただ 記録したものです,"Terrace House is a show about six strangers living together, and we observe how they interact with each other."
20s,用意したのはステキなおウチと ステキな車だけです,All that we've prepared is a beautiful home and automobile.
24s,台本は一切ございません （ﾄﾘﾝﾄﾞﾙ）はい,-There is no script at all. -Yes.
26s,ついに今夜から ハワイを舞台にした新シーズン,"Tonight, we start a new season in Hawaii."
29s,「TERRACE HOUSE ALOHA STATE」が スタートします,Terrace House: Aloha State!
36s,（ﾄﾘﾝﾄﾞﾙ）ハワイ 楽しかったですね,"-Hawaii was fun, wasn't it? -So much fun."
37s,楽しかったねえ （山里）行かしてもらいましたね 我々も,"-Hawaii was fun, wasn't it? -So much fun. We went, too."
40s,（徳井(とくい)）今まで仕事で行った 海外の中でも 断トツ楽しかったもんな,It was the most fun I had on a work trip.
44s,（徳井）ほんま楽しかったな （山里）ええ,It was really fun.
46s,胸を張って言える 楽しかった！,I can say it with confidence that I had fun.
49s,ハワイ やっぱいいですね,"-Hawaii. -Hawaii. -It was nice, wasn't it? -It was."
51s,よかった （馬場園）いいですね,"-It was nice, wasn't it? -It was."
53s,ただね 最終日に山ちゃんが… （YOU）そうですね,"-But on our last day, Yamachan... -That's right."
56s,アラモアナショッピングセンターで ええ年こいて迷子になるっていう,He got lost at Ala Moana Center.
59s,（馬場園）勘弁してよ （山里）本当に,"-It was, like, give us a break. -Seriously."
1:00,そこだけ ちょっとね （山里）YOUさんに,That was the only hiccup.
1:02,婿にしたいランキング ぶっちぎりのビリという,Yu told me that I was definitely the least eligible bachelor.
1:05,婿ランキング 今１位なんでね,You're the number one bachelor right now.
1:08,（馬場園）１位です 徳井さんは本当に （ﾄﾘﾝﾄﾞﾙ）徳井さんは優しい,"-Yes, he's number one right now. -Tokui is so sweet."
1:11,（YOU）毎日ほら うちらが おいしいハンバーグ…,Every day... he'd find out what's the best burger place for us to go to.
1:14,ハンバーガーとかも全部,he'd find out what's the best burger place for us to go to.
1:17,ちゃっちゃと調べてくれて （馬場園）そうなんですよ,"he'd find out what's the best burger place for us to go to. -Yes, thank you. -It's easy with the Internet."
1:19,ネット見たら すぐ分かったから…,"-Yes, thank you. -It's easy with the Internet."
1:21,（ﾄﾘﾝﾄﾞﾙ）確かに この差はすごい,"-Yes, thank you. -It's easy with the Internet. -Yes, the difference was astounding. -Torichan!"
1:23,（山里）トリちゃん！ （ﾄﾘﾝﾄﾞﾙ）…と思いました,"-Yes, the difference was astounding. -Torichan!"
1:24,（笑い声） （ﾄﾘﾝﾄﾞﾙ）改めてハワイで こんなにも同じ男性でも違うんだ （YOU）分かる （山里）トリちゃん！,"In Hawaii, I realized how different men can be from one another."
1:29,税関で外国人に 死ぬほど怒られ （YOU）そうだ,-I got in trouble at customs. -That's right.
1:34,入ったら入ったで迷子になり,"And one time, I got lost..."
1:37,泥酔して （馬場園）泥酔してね,"-You got plastered. -Yes, very."
1:38,ホテルのチェックインができず,You couldn't check in.
1:41,ロビーで荷物をぶちまけ,You opened your luggage in the lobby.
1:43,自分の部屋だと思ってね 荷物 全部出したもんね ロビーで,You opened all your luggage in the lobby thinking it was your room.
1:47,（健太郎(けんたろう)）結局 チェックインは したんですか？ チェックインはした,-Did you check in? -I did.
1:50,“した”じゃねーよ,-What are you talking about? -What?
1:51,（山里）僕しました？ え？ （YOU）馬場ちゃんがしたの,-What are you talking about? -What? -I did it for you. -I'm sorry.
1:53,すいません （馬場園）YOUさんと一緒にね （YOU）ねー！ チェックインの カウンターまで行って,Yu and I went to the front desk together.
1:57,“あいつが まだ チェックインしてないんです”,"We said, ""That guy hasn't checked in yet."""
2:00,“こんな夜中なのに” （YOU）“午前３時すぎに”,"-It was so late. -They said, ""You're checking in at 3:00 a.m.? Are you serious?"""
2:03,“チェックインってマジなのか？” って聞かれましたよ,You're checking in at 3:00 a.m.? Are you serious?
2:06,本当に楽しくて,It was so fun. I was happy to be with everyone.
2:07,みんなに会えたのが うれしくて （YOU）楽しかったね 本当に,It was so fun. I was happy to be with everyone. It really was fun.
2:09,ちなみにテラスハウスは 世界190か国で （馬場園）すごい （ﾄﾘﾝﾄﾞﾙ）配信されていまして,"Terrace House is currently available in 190 countries, by the way."
2:14,海外でも人気が出てきたため 初の海外進出,"Since it's been gaining popularity, we have our first season abroad."
2:19,全24話予定でございます,Twenty-four episodes have been ordered.
2:21,また続けばいいね ずっとね （馬場園･YOU）ねー,-I hope it continues further. -Yes.
2:24,（山里）ドロドロした感じに なるんですかね？ ハワイのカラッとした空の下ね,But how could Hawaii's clear sky provoke any drama?
2:28,（YOU）どうなんだろう （山里） 何か ならなさそうだよね,"-It seems unlikely. -Yeah, very unlikely."
2:31,思ったこと ちゃんと言いそう,It'll let them be more candid.
2:32,ちゃんとした会話で 解決しそうやもんな,And resolve their issues rationally.
2:34,スピード感ありそうですね 恋まで （ﾄﾘﾝﾄﾞﾙ）そうですね,It might go quickly.
2:37,いやー ハワイちょっと （ﾄﾘﾝﾄﾞﾙ）見てみましょっか （YOU）ねっ 楽しみ　見よっか,-Hawaii! I'm looking forward to it. -Let's watch.
3:49,（ﾛｰﾚﾝ）私は１番目…？,Am I the first one here?
4:59,こんにちは （侑哉）よいしょ,Hello.
5:01,こんにちは,Hello.
5:05,（侑哉）初めまして （ﾛｰﾚﾝ）初めまして,-Nice to meet you. -Nice to meet you.
5:08,澁澤(しぶさわ)侑哉　18歳です,I'm Yuya Shibusawa. I'm 18 years old.
5:10,（ﾛｰﾚﾝ）私は ローレン･サイです,-I'm Lauren Tsai. -Nice to meet you.
5:12,（侑哉）お願いします （ﾛｰﾚﾝ）18,-I'm Lauren Tsai. -Nice to meet you. -I'm 18. -You're 18?
5:14,（侑哉）18？ （ﾛｰﾚﾝ）はい 一緒,"-I'm 18. -You're 18? -Yes, the same. -The same?"
5:15,（侑哉）一緒　よし （ﾛｰﾚﾝ）一緒,"-Yes, the same. -The same? -Yes. -Nice."
5:18,一緒か,"The same, huh?"
5:24,（侑哉）ローレン？ ローレンです,"-Lauren? -Yes, Lauren."
5:26,（侑哉）ローレン… （ﾛｰﾚﾝ）サイ,-Lauren? -Tsai.
5:28,（侑哉）サイ （ﾛｰﾚﾝ）はい,-Tsai? -Yes.
5:29,こっち出身？ こっちは えっと 生まれたのはマサチューセッツで,-Are you from here? -I was born in Massachusetts.
5:34,７歳の時に ハワイに引っ越して 11年ぐらい ここにいて,I moved to Hawaii when I was seven and I've been here for about 11 years.
5:40,でも結構 白くない？ 肌,You're pretty pale though.
5:42,（ﾛｰﾚﾝ）みんな… （侑哉）あんま焼けない？,-Everyone... -You don't tan?
5:43,みんな言ってる いつも フフフ,Everyone always tells me that.
5:46,（侑哉）白いよね （ﾛｰﾚﾝ）白い 引きこもりです フフフ,"-That you're pale? -Yeah, I am. I stay in a lot."
5:49,あー 外 出ないね 太陽あんまり好きじゃない,-You don't go outside much? -I don't really like the sun.
5:53,生まれたのは ここですか？ いや 生まれ日本 育ち日本,-Were you born here? -I was born and raised in Japan.
5:58,（ﾛｰﾚﾝ）日本のどこ？ 日本の横須賀(よこすか)のほう 知ってますか？,-Where in Japan? -In the Yokosuka area. Do you know it?
6:01,ちょっと分かんない （侑哉）分かんない？ ごめん エヘヘ,"-I don't, sorry. -You don't?"
6:04,お父さんが アメリカ人だったから,My dad is American.
6:05,あっ オーケー じゃあ ハーフ？,"-Oh, okay. So you're a half? -Yes, a half."
6:07,ハーフ （ﾛｰﾚﾝ）だね,"-Oh, okay. So you're a half? -Yes, a half. Yeah."
6:09,（侑哉）そう 高校卒業して アクティングスクール行きたくて,I just graduated from high school. I want to go to acting school.
6:12,（ﾛｰﾚﾝ）ああ そうだね 俳優の （侑哉）そうそう…,"-Ah, to be an actor. -Yes."
6:15,そのために 英語学んでとかやってるから 時間かかるけど,"So I'm trying to learn English, but I know it'll take time."
6:19,オーケー オーケー （侑哉）そう,-I see. -Yeah.
6:21,家で英語覚えられるじゃん そしたら,I can learn here.
6:23,英語 教えてもらって 日本語 教えるみたいな,"You teach me English, I teach you Japanese."
6:25,オーケー オーケー お願いします お願いします （ﾛｰﾚﾝ）お願いします,"-Oh, okay, please do. -Please teach me, too."
6:29,すごいね プールもあるし,"Wow, there's a pool."
6:32,何か プール （侑哉）ウソ プールあるの？ …の下にTERRACE HOUSEって書いてる,"-It even says ""Terrace House"" on it. -There's a pool?"
6:37,（侑哉）おっ すげえ,"Oh, wow!"
6:41,プール入りてえな,I want to go in the pool.
6:43,（ﾛｰﾚﾝ）すごいね （侑哉）すごいね,-It's amazing. -It is.
6:44,（ﾛｰﾚﾝ）何かホテルみたい,It's like a hotel.
6:46,（侑哉）確かに,Definitely.
6:48,いや 豪華すぎでしょ ホテルにしても,"Even for a hotel, it's pretty luxurious."
6:59,ハーイ （ｴﾋﾞｱﾝ）ハーイ,-Hi. -Hi.
7:07,（ｴﾋﾞｱﾝ）ハーイ （侑哉･ﾛｰﾚﾝ）ハーイ （ｴﾋﾞｱﾝ）初めまして （ﾛｰﾚﾝ）初めまして,"-Hi, it's nice to meet you. -Nice to meet you."
7:11,（侑哉）初めまして （ｴﾋﾞｱﾝ）エビアンです,-I'm Avian. -Nice to meet you.
7:13,初めまして ローレン･サイです,-It's nice to meet you. -I'm Lauren Tsai.
7:16,ローレンさん？ （ﾛｰﾚﾝ）はい ローレンです,"-Lauren? -Yes, Lauren."
7:17,澁澤です 澁澤さん （侑哉）はい エビアンです,-I'm Shibusawa. -Shibusawa? I'm Avian.
7:21,ハーフですか？ （ｴﾋﾞｱﾝ）いや こっち生まれですね （侑哉）こっち生まれ,"-Are you half Japanese? -No, I was born here."
7:25,こっち生まれ こっち出身 はい,"-Oh, you were born here. -Yes, born and raised here."
7:27,（ｴﾋﾞｱﾝ）私は… （侑哉）めっちゃ日本語 （ｴﾋﾞｱﾝ）中高は もうこっちで,I've been here for both middle school and high school.
7:31,ビッグアイランドだったんですけど,I was on the Big Island before.
7:34,昔 日本に住んでて ちょっと 小学校６年ぐらい 住んでました,I lived in Japan for about six years while I was in elementary school.
