Words,Translation
休日はつもり遅く起きる,I plan to wake up late on holidays.
毎朝母に起こしてもらっている,I have my mother wake me up every morning.
昨夜小さな地震が起こった,There was a small earthquake last night.
寝室に新しいベッドを置いた,I put a new bed in the bedroom.
寝台車を利用して旅をする,Traveling in a sleeper car
ジョギング後にシャワー浴びる,Take a shower after jogging
ベランダで日光浴をする,Sunbathing on the balcony
浴室のリフォームに百万円かかった,The renovation of the bathroom cost a million yen.
お湯を沸かしてコーヒーを入れる,Boil water and add coffee
熱湯を入れて3分待ってください,Add boiling water and wait for 3 minutes
早起きするのは気持ちがいい,It feels good to wake up early.
子供が昼寝をする,The kids take a nap.
川で水浴びをする,Taking a dip in the river.
家族で海水浴に行く,Go swimming in the ocean with your family
パソコンを再起動する,Reboot the computer.
子供を寝かすのは私の役目だ,It's my job to get the kids to bed.
クリスマス気分に水冷を浴びる,Bathe in the Christmas spirit with water cooling
ゆっくり湯船に浸かる,Soak in a hot tub slowly
食器をきれいに洗う,Wash the dishes cleanly.
昔は水洗トイレが珍しかった,"In the past, flush toilets were rare."
天気がいい日は布団を干す,Dry the bedding on a sunny day.
社員を若干名さいようする,Use a few employees.
富士山の火山活動を調査する,Investigating the volcanic activity of Mt.
新発売の洗剤が安く売っていた,The new detergent was on sale at a discount.
週に3回選択する,Choose three times a week.
釣った魚で干物を作る,Make dried fish from the fish you catch.
生活のためアルバイトをする,Work part-time for a living.
赤ちゃんが活発に動きまわる,Babies are very active.
毎日うがいと手洗いをしている,I gargle and wash my hands every day.
洗濯物を畳む,Fold your laundry
食生活に気をつける,Pay attention to your diet
通学の時間を活用して単語を覚える,Use the time you spend commuting to school to learn vocabulary.
洗面所で歯を磨く,Brush my teeth in the washroom
シャツのしわを伸ばして干す,Stretch the wrinkles out of your shirt and hang it up
活気のある職場,A Vibrant Workplace
ボランデイア活動に参加する,Participate in volunteer activities
海岸で貝を拾う,Picking up shells on the beach
結婚祝いのつつみに拾万円と書く,"Writing ""10,000 yen"" on a wedding gift box"
小数点第一位を四捨五入する,Round off to the first decimal place.
落ち葉を集めて燃やす,Collect and burn fallen leaves
買った商品を袋に入れてもらう,Have them put the items you bought in a bag.
拾得物を交番に届けた,Delivered found items to the police station.
いらなくなった書類を捨てる,Throwing away documents that are no longer needed.
火事で隣のアパートか燃えた,The fire burned down the apartment next door.
燃料を補給する,Refueling.
雨に濡れて紙袋が破れそうだ,It's going to get wet in the rain and tear the paper bag.
近所のゴミ拾いをする,Pick up trash in the neighborhood.
道にゴミを捨ててはいけない,Don't throw trash in the street.
今年はストーブの燃料費が高い,Stove fuel costs are high this year.
寒い日は手袋をはめて出かける,Wear gloves on cold days and go out
道でタクシーを拾った,I picked up a cab on the street.
空き缶の投げ捨て禁止,No throwing away empty cans
彼にライバル心を燃やす,Create a rivalry with him
ビニール袋に濡れた傘を入れた,Putting a wet umbrella in a plastic bag
休みは日曜日しかない,My only day off is Sunday.
