,,
とき,母は本を読むとき、めがねをかけます。,My mother wears glasses when she reads.
ながら,わたしはいつも料理の本を見ながら料理を作ります。,I always cook while looking at cookbooks.
あいだ,わたしは夏の間、ずっと北海道にいました。,I spent the entire summer in Hokkaido.
あいだに,夏休みの間に引っ越ししたいです。,I want to move during the summer vacation.
ところだ,時刻は間もなく3時になるところです。,It is almost three o'clock in the morning.
おり(に),このことは今度お目にかかった折に詳しくお話しいたします。,I will tell you more about this the next time I see you.
さい(に),非常の際はエレベーターを使わずに、階段をご利用ください。,"In case of emergency, please use the stairs instead of the elevator."
にさいして,来日に際していろいろな方のお世話になった,Thank you for all the help you gave me when I came to Japan.
において,式典はA会館において行われる予定。,The ceremony will be held at Hall A.
にあたって,新学期にあたって、皆さんに言っておきたいことがあります。,There is something I would like to say to all of you for the new school year.
うちに,今は上手に話せなくても練習を重ねるうちに上手になります。,"You may not be able to speak well now, but you will get better as you practice."
さいちゅう(に),新入社員の小林さんは、会議の最中にいねむりを始めてしまった。,"Mr. Kobayashi, a new employee, started to doze off during a meeting."
つつ,電車に揺られつつ、2時間ほどいい気持ちで眠 った。,"He slept for about two hours on the train, with a good feeling."
にあって,今、A国は経済成長期にあって、人々の表情も生き生きとしている。,"Country A is now in a period of economic growth, and people's faces are full of life."
