Time,Script,Translation
0s,こんにちはさゆりです,"Hello, my name is Sayuri"
2s,皆さんお元気ですか,"Guys, how do you do"
4s,もうすっかり春になりました,It's already spring
10s,今日は家の近くの公園,Today is a park near my house
14s,栗林公園っていう日本庭園を歩きながら,While walking in a Japanese garden called Ritsurin Garden
19s,最近思ったこと,What I thought recently
21s,考えたことを話したいと思います,I would like to tell you what I thought
27s,今、切符買ってますね。入園料・・・入園券を買ってます。,You are buying a ticket now. Admission fee: I'm buying an admission ticket.
39s,春といえば,Speaking of spring
40s,日本では新しいことを始める季節・時期です,"In Japan, it ’s the season and time to start new things."
48s,学校だと卒業式があったり,There is a graduation ceremony at school
51s,入学式があります,There is an entrance ceremony
57s,私はかなり新しいことが好きなんですよ,I like pretty new things
1:02,で、いつも新しいことをしたくて,And I always want to do something new
1:05,でも今年は特に新しいことを,"But this year, especially new things"
1:11,この春に始めそうにないんで,I'm not going to start this spring
1:16,少し落ち込んでいました,I was a little depressed
1:19,周りの友達は新しい仕事が決まって就職したり,Friends around me get a new job
1:31,ワーキングホリデーのビザが取れて,Get a working holiday visa
1:34,また海外に行くことになったり,I will go abroad again
1:39,他の人と比べてしまって,Compared to other people
1:41,正直ちょっと落ち込んでしまいました,"To be honest, I'm a little depressed"
1:47,でも考えてみると,But when you think about it
1:52,特に新しいこと、今したくないんですね,"Especially new things, I don't want to do it now"
1:57,今の生活がすごく楽しいし,I really enjoy my life now
2:01,今の場所でやりたいこともたくさんあるし,I have a lot of things I want to do in my current location
2:05,だから私と同じように考えている人,So someone who thinks like me
2:09,同じような考えがある人は,If you have a similar idea
2:12,別に新しいことを始めなくてもいいと思います,I think you don't have to start something new
2:18,無理してなんか春だからとか,Forcibly because it's spring
2:22,他の人がやってるからとか言っても始めなくてもいいと思います,I think you don't have to start because other people are doing it
2:30,多分何か始めたいなって,Maybe I want to start something
2:32,思った時が始めるタイミングだと思うので,I think it's time to start when I think
2:37,人と比べたり,Compared to people
2:39,そういう時期（季節・タイミング）だからって言って,Just because it's such a time (season / timing)
2:41,焦って始めなくてもいいかなって思ってます,I'm wondering if I don't have to rush to start
2:45,はい、でもこれから新しいことを始める人は,"Yes, but for those who are about to start something new"
2:51,頑張って欲しいです,I want you to do your best
2:53,新しいことをするっていうのは,To do something new
2:56,すごくエネルギー、体力がいることなので,Because it requires a lot of energy and physical strength
3:01,結構大変ですね,It's quite difficult
3:03,楽しいぶん。（大変）なので,It's fun. Because it is (difficult)
