Word,Reading,Meaning
会社,かいしゃ,"① company, corporation ② workplace"
外国,がいこく,foreign country
学校,がっこう,school
学生,がくせい,student (esp. a university student)
午後,ごご,"afternoon, p.m."
午前,ごぜん,"morning, a.m."
時間,じかん,① time ② hours
週間,しゅうかん,"week, weekly"
新聞,しんぶん,newspaper
大学,だいがく,"① post-secondary education institution, incl. university, college, etc. ② the Great Learning - one of the Four Books"
電気,でんき,① electricity ② (electric) light
意味,いみ,"meaning, significance"
映画,えいが,"movie, film"
音楽,おんがく,"music, musical movement"
家族,かぞく,"family, members of a family"
銀行,ぎんこう,bank
仕事,しごと,"① work, job, business, occupation, employment, vocation, task ② work"
自分,じぶん,"① myself, yourself, oneself, himself, herself ② I, me"
質問,しつもん,"question, inquiry, enquiry"
病院,びょういん,hospital
問題,もんだい,"problem, question"
家庭,かてい,"home, family, household"
全部,ぜんぶ,"all, entire, whole, altogether"
子供,こども,"child, children"
生徒,せいと,pupil
必要,ひつよう,"① necessary, needed, essential, indispensable ② necessity, need, requirement"
以下,いか,"① not exceeding, and downward, ... and below ② below (e.g. standard), under (e.g. a level) ③ the below-mentioned, the following, the rest"
以外,いがい,"with the exception of, excepting"
以上,いじょう,"① not less than, ... and more, ... and upwards ② beyond ... (e.g. one's means), further (e.g. nothing further to say), more than ... (e.g. cannot pay more than that) ③ above-mentioned, foregoing ④ since ..., seeing that ... ⑤ this is all,"
意見,いけん,"opinion, view"
運転,うんてん,"operation, motion, driving"
運動,うんどう,"motion, exercise"
計画,けいかく,"plan, project, schedule, scheme, program, programme"
研究,けんきゅう,"study, research, investigation"
工業,こうぎょう,(manufacturing) industry
校長,こうちょう,"principal, headmaster"
高校,こうこう,senior high school
試験,しけん,"examination, test, study, trial, experiment"
試合,しあい,"match, game, bout, contest"
時代,じだい,"① period, epoch, era, age ② the times, those days ③ oldness, ancientness, antiquity ④ antique, period piece"
社会,しゃかい,"society, public"
社長,しゃちょう,"company president, manager, director"
十分,じゅうぶん,"① plenty, enough, sufficient, satisfactory, adequate ② division into ten ③ perfectly, thoroughly, fully, in full"
少年,しょうねん,"boys, juveniles"
場合,ばあい,"case, situation"
世界,せかい,"the world, society, the universe"
説明,せつめい,"explanation, exposition"
大体,だいたい,"general, substantially, outline, main point, approximately, about"
特別,とくべつ,special
工場,こうじょう,"factory, plant, mill, workshop"
科学,かがく,science
教育,きょういく,"training, education"
交通,こうつう,"communication, transportation, traffic, intercourse"
自由,じゆう,"freedom, liberty, as it pleases you"
生活,せいかつ,"living, life (one's daily existence), livelihood"
相談,そうだん,"consultation, discussion"
反対,はんたい,"opposition, resistance, antagonism, hostility, contrast, objection, dissension, reverse, opposite, vice versa"
部長,ぶちょう,"① head (chief, director) of a section or department ② head of a (school) club, head of a (school) team"
文化,ぶんか,"① culture, civilization, civilisation ② Bunka era (1804.2.11-1818.4.22)"
放送,ほうそう,"broadcast, broadcasting"
貿易,ぼうえき,trade (foreign)
予定,よてい,"plans, arrangement, schedule, program, programme, expectation, estimate"
理由,りゆう,"reason, pretext, motive"
課長,かちょう,"section manager, section chief"
会議,かいぎ,"meeting, conference, session, assembly, council, convention, congress"
関係,かんけい,"relation, connection"
危険,きけん,"① danger, peril, hazard ② dangerous, hazardous"
機械,きかい,"① machine, mechanism ② instrument, appliance, apparatus"
技術,ぎじゅつ,"art, craft, technique, technology, engineering, skill"
経済,けいざい,"economics, business, finance, economy"
警察,けいさつ,police
原因,げんいん,"cause, origin, source"
国際,こくさい,international
最近,さいきん,"latest, most recent, nowadays"
最後,さいご,"① last, end, conclusion ② (after -tara form or -ta form followed by ""ga"") no sooner than, right after (often having negative consequences)"
最初,さいしょ,"beginning, outset, first, onset"
産業,さんぎょう,industry
市民,しみん,"citizen, townspeople"
準備,じゅんび,"preparation, setup, arrangements, provision, reserve"
将来,しょうらい,"future (usually near), prospects"
政治,せいじ,"politics, government"
専門,せんもん,"speciality, specialty, subject of study, expert"
戦争,せんそう,war
法律,ほうりつ,law
輸出,ゆしゅつ,① export ② efferent (medical)
利用,りよう,"use, utilization, utilisation, application"
連絡,れんらく,"① to contact, to get in touch ② contacting, getting in touch, communication, call, message ③ connection, coordination, junction ④ intercalary, intercalaris, internuncial"
今後,こんご,"from now on, hereafter"
中学,ちゅうがく,"middle school, junior high school"
以来,いらい,"since, henceforth"
一方,いっぽう,"① one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party ② on the one hand, on the other hand ③ whereas, although, but at the same time, meanwhile, in"
会計,かいけい,"account, finance, accountant, treasurer, paymaster, reckoning, bill"
開始,かいし,"start, commencement, beginning, initiation"
