Words,Reading,Meaning,Type,S1,S2,S3,W1,W2,W3
だ,だ,"be, is",,彼は野球選手だ,今日は暑いですね,昨日はとてもきれいな日だった,,,
である,である,"be, is",,彼女は教師である,彼は大阪大学の学生である,トムはアルコールアレルギーである,,,
言う,いう,"to say, to utter, to declare, to name, to call",godan,もう一度言ってくださいませんか,彼女は言いたいことを言った,あの子はまだものが言えない,助言,助言,予言
行く,いく,"to go, to move, to head towards, to proceed, to take place, to do in a specific way",intrans.,一緒に行きます,私は明朝大阪へ行きます,学校へは歩いて行きます,行政,急行,発行
見る,みる,"to see, to look, to watch, to view, to observe, to examine, to look over, to look after",trans.,じろじろ見る,子供たちは蝶々をよく見た,語の授業を見に行った,発見,見物,見事
来る,くる,"to come, to approach, to arrive, to come back",intrans.,バスが来ましたよ,夏が例年より早く来た,いつ来るか来るかと待っていたんだ,未来,以来,本来
思う,おもう,"to think, to consider, to believe",trans.,それを思うとわくわくした,まっすぐ家に帰ろうと思った,彼が本当に理解するかしらと思った,思考,思惑,意思
持つ,もつ,"to hold, to take, to carry, to possess, to have, to own, to maintain, to keep, to last, to be durable",trans.,彼は本を手に持っている,このすばらしい収集物はだれが持っているの,彼は激しい気質を持っている,維持,持参,支持
取る,とる,"to take, to pick up, to harvest, to earn, to choose, to have",trans.,お手に取ってご覧ください,紙を取ってくださいますか,箱のふたを取る,取引,取り消す,取っ手
受ける,うける,"to receive, to get, to catch a ball, to struck by, to sustain damage, to incur loss, to suffer injury, to undergo, to take, to accept (challenge)",trans.,彼は大学から奨学金を受けている,彼は帽子でその球を受けた,家の修理代金の請求を受けた,受験,受付,受身
考える,かんがえる,"to think about, to think over, to ponder, to reflect, to consider, to bear in mind",trans.,そんな発言をしたらどうなるか考えてみなさい,この問題はもっとよく考える必要がある,もっと気楽に考えなさい,思考,考慮,参考
過ぎる,すぎる,"to pass through, to pass by, to go beyond, to pass (time), to elapse. to have expired, to exceed, to surpass, to be excessive",,,,,,,
始める,はじめる,"to start, to begin, to commence, to initiate, to originate, to start up, to establish",,,,,,,
与える,あたえる,"to give someone (to lower status), to grant, to bestow, to present, to award, to provide, to afford, to supply, to assign, to cause",,,,,,,
となる,となる,"to become, to amount to",,,,,,,
起こる,おこる,"to occur, to happen",,,,,,,
付ける,つける,"to attach, to join, to add, to append, to affix, to stick, to furnish, to wear, to put on, to allot, to bring alongside",,,,,,,
送る,おくる,"to send, to dispatch, to transmit, to take or escort, to send off, to spend (time), to pass down the line",,,,,,,
続ける,つずける,"to continue, to keep up, to keep on",,,,,,,
感じる,かんじる,"to feel, to sense, to experience",,,,,,,
探す,さがす,"to search, to look for, to seek",,,,,,,
合う,あう,"to come together, to merge, to unite, to meet, to fit, to match, to suit, to agree with, to be correct, to be profitable",,,,,,,
信じる,しんじる,"to believe, to believe in, to place trust in, to confide in, to have faith in",,,,,,,
求める,もとめる,"to want, to wish for, to request, to demand, to seek, to search for, to pursue, to hunt, to purchase, to buy",,,,,,,
落ちる,おちる,"to fall down, to drop, to fall, to sink, to fall onto, to be used in a certain place, to be omitted, to decrease, to fail, to crash",,,,,,,
見つける,みつける,"to discover, to find, to come across, to detect, to spot, to locate, to find fault, to be familiar with",,,,,,,
選ぶ,えらぶ,"to choose, to select",,,,,,,
向かう,むかう,"to face, to go towards, to head towards",,,,,,,
払う,はらう,"to pay, to brush off, to wipe away, to clear away, to drive away, to sell off",,,,,,,
付く,つく,"to be attached, to be connected with, to adhere, to stick, to cling, to accompany, to attend, to side with",,,,,,,
遅れる,おくれる,"to be late, to be delayed, to fall behind, to be overdue, to be outdated",,,,,,,
進む,すすむ,"to advance, to go forward, to precede, to go ahead, to make progress, to improve, to be ahead",,,,,,,
驚く,おどろく,"to be surprised, to be astonished",,,,,,,
起こす,おこす,"to raise, to raise up, to set up, to pick up, to wake up, to cause, to bring about, to lead to, to start, to begin",,,,,,,
失う,うしなう,"to lose, to miss, to concede",,,,,,,
守る,まもる,"to protect, to guard, to defend, to keep, to abide, to obey, to observe, to follow",,,,,,,
勝つ,かつ,"to win, to gain victory",,,,,,,
決める,きめる,"to decide, to choose, to determine, to resolve, to clinch",,,,,,,
生きる,いきる,"to live, to exist, to make a living, to be in effect, to be in use, to function",,,,,,,
上がる,あがる,"to rise, to go up, to come up, to ascend, to be raised, to enter, to come in, to improve, to increase, to be finished, to be donate be deep fried, to turn up",,,,,,,
変わる,かわる,"to change, to be transformed, to be altered, to vary, to move to, to be different, to be uncommon, to be unusual",,,,,,,
示す,しめす,"to take out and show, to demonstrate, to tell, to make apparent, to exemplify, to point out, to indicate, to show, to represent, to signify, to display",,,,,,,
怒る,おこる,"to get angry, to get mad, to tell someone off, to scold",,,,,,,
残る,のこる,"to remain, to be left",,,,,,,
過ごす,すごす,"to pass (time), to spend, to overdo, to drink, to take care of, to support, to do too much",,,,,,,
調べる,しらべる,"to examine, to look up, to investigate to check up, to sense, to study, to inquire, to search",,,,,,,
学ぶ,まなぶ,"to study (in depth), yo learn, to take lessons in",,,,,,,
聞こえる,きこえる,"to be heard, to be audible",,,,,,,
楽しむ,たのしむ,to enjoy (oneself),,,,,,,
扱う,あつかう,"to deal with, to treat, to handle, to take care of, to entertain, to operate, to deal in, to sell, to cover, to discuss, to take up",,,,,,,
とする,とする,"to try to, to be about to, to decide to, take as, to treat as, to regard asm to use for, to assume, to make into, to change into",,,,,,,
変える,かえる,"to change, to alter, to transform, to convert, to turn, to vary, to reform, to revise, to amend",,,,,,,
盗む,ぬすむ,to steal,,,,,,,
続く,つずく,"to continue, to last on, to go one to be unbroken, to occur again and again to lead to, to connect to, to adjoin, to come after, to follow, to hold out",,,,,,,
運ぶ,はこぶ,"to carry, to transport, to move, to convey",,,,,,,
当たる,あたる,"to be hit, to strike, to touch, to be in contact, to be affixed, to be applicable, to apply to, to be selected, to go well, to be stricken, to be afflicted",,,,,,,
眠る,ねむる,"to sleep (not necessarily lying down), to lie idle, to be dormant",,,,,,,
表す,あらわす,"to represent, to signify, to stand for, to reveal, to show, to display, to express, to make widely known",,,,,,,
受け取る,うけとる,"to receive, to get, to accept, to take, to interpret, to understand",,,,,,,
鳴る,なる,"to sound, to ring, to resound, to echo, to roar, to rumble",,,,,,,
現れる,あらわれる,"to appear, to come in sight, to become visible, to come out, to materialise, to be expressed, to become apparent",,,,,,,
負ける,まける,"to lose, to be defeated, to succumb, to give in, to surrender, to yield, to be inferior to",,,,,,,
暮らす,くらす,"to live, to get along, to spend (time)",,,,,,,
許す,ゆるす,"to permit, to allow, to approve, to consent to, to forgive, to pardon, to excuse, to tolerate, to exempt from, to release, to acknowledge, to admit",,,,,,,
戦う,たたかう,"to make war, to wage war, to got to war with, to fight with, to do battle, to compete, to struggle, tonight, to resist",,,,,,,
慣れる,なれる,"to get used to, to grow accustomed, to become familiar with, to become skilled in, to become experienced at, to become tame",,,,,,,
ようになる,ようになる,"to reach the point that, to come to be that, to turn into",,,,,,,
行う,おこなう,"to perform, to do, to conduct oneself, to carry out",,,,,,,
助ける,たすける,"to save, to rescue, to help, to assist, to support, to provide aid, to contribute, to facilitate",,,,,,,
ようにする,ようにする,"to make sure to, to try to",,,,,,,
喜ぶ,よろこぶ,"to be delighted, to be glad, to be pleased, to congratulate, to gratefully accept",,,,,,,
泣く,なく,"to cry, to weep, to sob, to howl",,,,,,,
終える,おえる,to finish,,,,,,,
訪れる,おとずれる,"to visit, to call, to arrive, to come, to appear",,,,,,,
耐える,たえる,"to bear, to stand, to endure, to put up with, to withstand, to support, to resist, to be fit for",,,,,,,
落とす,おとす,"to drop, to lose, to let fall, to shed, to cast, to pour in, to clean off",,,,,,,
増える,ふえる,"to increase, to multiply",,,,,,,
動く,うごく,"to move, to stir, to shift, to shake, to operate, to make a move, to take an action, to be touched, to be influenced",,,,,,,
備える,そなえる,"to furnish with, to equip with, to provide, to prepare for,  to possess",,,,,,,
逃げる,にげる,"to escape, to run away",,,,,,,
戻る,もどる,"to turn back, to return, to recover, to rebound",,,,,,,
従う,したがう,"to obey, to abide by, to follow, to serve",,,,,,,
奪う,うばう,"to snatch away, to dispossess, to steal",,,,,,,
近づく,ちかずく,"to approach, to draw near, to get closer",,,,,,,
達する,たっする,"to reach, to get to, to arrive at",,,,,,,
間に合う,まにあう,"to be intimate for, to serve, to be good enough",,,,,,,
知る,しる,"to know, to be aware of, to cognise, to notice, to comprehend",,,,,,,
買う,かう,"to buy, to purchase, to value",,,,,,,
聞く,きく,"to hear, to listen, to ask, to enquire, to query, to learn of, to hear about",,,,,,,
出る,でる,"to leave, to exit, to go out, to come out, to get out",,,,,,,
会う,あう,"to meet, to encounter, to see",,,,,,,
作る,つくる,"to make, to produce, to manufacture, to build, to construct, to prepare, to create",,,,,,,
置く,置く,"to put, to place, to leave behind, to establish, to set up, to appoint, to place (trust, faith), to bear (in mind)",,,,,,,
使う,つかう,"to use, to make use of, to put to use",,,,,,,
書く,かく,"to write, to compose, to draw, to paint",,,,,,,
読む,よむ,"to read, to count",,,,,,,
食べる,たべる,to eat,,,,,,,
話す,はなす,"to talk, to speak, to converse, to chat, to tell, to explain, to narrate, to mention, to describe, to discuss",,,,,,,
上げる,あげる,"to raise, to elevate, to do up, to fly a kite, to launch, to surface, to land (a boat), to deep-fry, to show someone, to increase, to complete do",,,,,,,
住む,すむ,"to live, to reside, to inhabit, to dwell, to abide",,,,,,,
歩く,あるく,to walk,,,,,,,
働く,はたらく,"to work, to labor, labour, to function, to operate, to be effective, to come into a play",,,,,,,
飲む,のむ,"to drink, to gulp, to swallow, to take (medicine)",,,,,,,
終わる,おわる,"to finish, to end, to close",,,,,,,
死ぬ,しぬ,"to die, to pass away, to lose spirit, to lose vigor",,,,,,,
出す,だす,"to take out, to get out, to put out, to reveal, to show, to submit, to turn in, to publish, to make public, to send, to serve (food), to start (fire), to begin to, to suddenly do",,,,,,,
入れる,いれる,"to put in, to let in, to take in, to bring on, to install (software), to set, to ink, to include, to cast, to make (tea, coffee)",,,,,,,
教える,おしえる,"to teach, to instruct, to tell, to inform, to preach",,,,,,,
乗る,のる,"to get on, to get in, to board, to take to embark",,,,,,,
着る,きる,to wear,,,,,,,
走る,はしる,"to run, to travel, to hurry to",,,,,,,
忘れる,わすれる,"to forget, to leave carelessly",,,,,,,
見える,みえる,"to be seen, to be insight, to look, to seem, to appear",,,,,,,
立つ,たつ,"to stand, to rise, to stand up, to find oneself (in a difficult position), to depart (on a plain, train, etc.)",,,,,,,
座る,すわる,"to sit, to squat, to assume (a position), to hold steady, to hold still",,,,,,,
待つ,まつ,to wait,,,,,,,
出かける,でかける,"to go out, to leave, to depart, to set out",,,,,,,
帰る,かえる,"to return, to come home, to go home, to go back",,,,,,,
寝る,ねる,"to lie down, to go to bed, to sleep",,,,,,,
始まる,はじまる,"to begin, to start, to commence, to happen",,,,,,,
見せる,みせる,"to show, to display",,,,,,,
笑う,わらう,"to laugh, to smile, to sneer to redicule",,,,,,,
入る,はいる,"to enrol, to go into, to break into, to join, to enrol, to contain, to hold, to accommodate, to have",,,,,,,
飛ぶ,とぶ,"to fly, to soar, to jump, to leap, to spring, to bund, to hop, to rush somewhere",,,,,,,
失う,うしなう,"to lose, to miss (chance), to concede",,,,,,,
呼ぶ,よぶ,"to call out, to call, to summon, to invoke, to invite, to designate",,,,,,,
売る,うる,to sell,,,,,,,
残る,のこる,"to remain, to left",,,,,,,
歌う,うたう,to sing,,,,,,,
通る,とおる,"to go by, to go past, to go along, to pass through, to take a route, to go via, to go by eat of, to run between to be ushered in, to penetrate",,,,,,,
頼む,たのむ,"to request, to beg, to ask, to call, to order, to reserve, to entrust to, to rely on",,,,,,,
降りる,おりる,"to descend, to go down, to alight, to get off, to disembark, to step down, to be issued, to be given",,,,,,,
渡る,わたる,"to cross over, to go across, to extend, to cove, to range, to span",,,,,,,
困る,こまる,"to be troubled, to have difficulty, to be at a loss, to be bothered, to be annoyed",,,,,,,
急ぐ,いそぐ,"to hurry, to rush, to hasten",,,,,,,
泳ぐ,およぐ,to swim,,,,,,,
着く,つく,"to arrive, to reach, to sit on, to sit at",,,,,,,
覚える,おぼえる,"to memorize, to learn, to bear in mind, to pick up, to acquire",,,,,,,
切る,きる,"to cut, to cu through, to perform, to sever, to turn off, to terminate, to set a limit",,,,,,,
止まる,とまる,"to stop moving, to come to a stop, to alight, to perch on",,,,,,,
借りる,かりる,"to borrow, to rent, to hire",,,,,,,
喜ぶ,よろこぶ,"to be delighted, to be glad, to be pleased, to congratulate, to gratefully accept",,,,,,,
泣く,なく,"to cry, to weep, to sob, to howl",,,,,,,
増える,ふえる,"to increase, to multiply",,,,,,,
動く,うごく,"to move, to stir, to shift, to shake, to operate, to make a move, to take an action, to be touched, to be influenced",,,,,,,
戻る,もどる,"to turn back, to return, to recover, to rebound",,,,,,,
従う,したがう,"to obey, to abide by, to follow, to serve",,,,,,,
生まれる,うまれる,to be born,,,,,,,
