Verb,Meaning,Reading,Words
寄る,"1〔近付く〕 come near  2〔端に近付く〕 approaching the edge  3〔集まる〕 gather  4〔訪れる〕 visit, drop by  5〔重なり増える〕 increase in multiples  6〔もたれる〕 lean on ",よる,"寄越す よこす to send, to forward  近寄る ちかよる to approach, to draw near  寄港する 寄港する stoping at port  寄り道する よりみちする dropping on the way  寄せ集め よせあつめ mishmash "
隠す,"1〔見つからないようにする〕 hide, conceal  2〔知られないようにする〕 keep, secret, hide   ",かくす,"隠れ家 かくれが hideout, hiding place  隠居 いんきょ retirement from work  隠れる かくれる to be hidden"
湧く,"1〔わき出る〕gush out, spring out  2〔発生する〕outbreak, occurrence  3〔急に起こる〕suddenly occurs, appears  4〔心の中に起こる〕to feel emotions  5〔孵る〕to hatch out ",わく,"湧水 ゆうすい spring, welling of water "
挿す,"1〔差し挟む〕insert, put in  2〔生ける〕arrange  3〔挿し木をする〕plant ((a cutting)) ",さす,"挿絵 さしえ illustration (e.g. book), picture  挿入する そうにゅう insertion, incorporation "
継ぐ,"1〔受け継ぐ〕inherit  2〔繕う〕mend, patch  3〔足す〕add, replenish ",つぐ,"継続すること けいぞくする continuation  受け継ぐ うけつぐ to inherit, to succeed  継ぎ目 つぎめ joint, seam "
敷く,"1〔布団などを広げる〕spread, lay out  2〔一面に散らす〕cover, spread all around  3〔敷設する〕lay  4〔上にのる〕sit on  5〔行きわたらせる〕disseminate ",しく,"敷地 しきち site, plot, lot  屋敷 やしき residence, estate  敷設 ふせつ laying (a railroad, pipes, etc.)  座敷 ざしき tatami room "
蹴る,"1〔足ではねとばす〕kick, give a kick  2〔席を立つ〕stomped out, stamp on  3〔要求などをはねつける〕refuse, reject, turn down ",ける,一蹴 いっしゅう flatly rejecting
狙う,"1〔目標物に当てようとする〕aim ((at))  2〔目を付けてうかがう〕 keep an eye  3〔機会をうかがう〕watch for  4〔求める〕seek, be after  5〔目標とする〕targeted ",ねらう,"狙撃 そげき shooting, sniping  狙撃兵 そげきへい sniper "
狂う,"1〔心の動きがおかしくなる〕go mad [insane], lose one's senses [mind]  2〔正常でなくなる〕to get out of order, to go amiss, to malfunction  3〔予想しない状態になる〕to go wrong (plan, expectation, etc), to fall through  4〔夢中になる〕to go crazy  about, to get enthusiastic ",くるう,"狂気 きょうき madness  熱狂する ねっきょうする wild enthusiasm  "
散る,"1〔ばらばらに落ちる〕fall, scatter   2〔離れ離れに去る〕disperse, scatter   3〔きれぎれに広がって消える〕spread out and disappear, lift   4〔染みて広がる〕penetrate and spread, blurred   5〔はれ物が〕swell   6〔心が他に向かう〕 distracts   7〔知れ渡る〕be known   8〔いさぎよく死ぬ〕die  ",ちる,"散歩する さんぽする walk, stroll  拡散する かくさんする spreading, disseminating  解散する かいさんする breaking up, disperse  散らかる ちらかる to be in disorder  散らかす ちらかす to scatter around  散らす ちらす to scatter  発散する はっさんする emission "
扇ぐ,"1〔扇ぐ〕to fan, to incite, to instigate ",あおぐ,"扇風機 せんぷうき electric fan  扇子 せんす folding fan "
仰ぐ,"1〔見上げる〕look up ((at))  2〔尊敬する〕look up to ((a person)), respect  3〔求める〕ask ((for)), seek  3〔頼りにする〕rely [depend] on  4〔飲む〕to gulp down ",あおぐ,"信仰 しんこう faith, belief  仰る おっしゃる to say, to speak  仰向け あおむけ facing upward "
偏る,"1〔一部分だけに集まる〕to concentrate on, gather in one side  2〔一方に傾く〕lean, incline ((toward(s)))  3〔不公平である〕be partial  4〔偏見がある〕be prejudiced ",かたよる,"偏見 へんけん prejudice  偏差値 へんさち deviate value  偏重 へんちょう putting too much emphasis "
片寄る ,"1〔一部分だけに集まる〕to concentrate on, gather in one side  2〔一方に傾く〕lean, incline ((toward(s)))  3〔不公平である〕be partial  4〔偏見がある〕be prejudiced ",かたよる,"破片 はへん fragment  片道 かたみち one-way (trip)  片隅 かたすみ corner, nook  寄付する きふする contribution  年寄り としより old person  最寄り もより nearest"
傾ける,"1〔端を持ち上げて斜めにする〕tilt  2〔立っている物を〕lean  3〔衰えさせる〕ruin  4〔集中する〕to devote on, to concentrate on ",かたむける,"傾向 けいこう tendency, trend  傾く かたむく to incline toward, to slant  傾斜する けいしゃする inclination, slant, slope "
試す,"1〔試験する〕test 2〔やってみる〕try ((doing))，have a try ((at))",ためす,"試験 しけん examination  試合 しあい game, match  試し ためし trial  試み こころみ attempt  試みる こころみる to try, to attempt  入試 にゅうし entrance examination  試練 しれん trial, probation  試行錯誤 しこうさくご trial and error  試食する ししょくする sampling food, tasting  試写する ししゃする preview, private showing "
拭く,"1〔ぬぐう〕wipe  2〔水分を取る〕dry ",ふく,"手ぬぐい てぬぐい hand towel  拭き取る ふきとる wipe off  払拭する ふっしょくする wiping out  手拭き てふき hand towel, handkerchief"
離す,"1〔分離する〕part, separate ((from))  2〔間をおく〕to keep apart ",はなす,"分離する ぶんりする separation, partition  離婚する りこんする divorce  距離 きょり distance, range, interval, gap  長距離 ちょうきょり long distance, long haul  離陸する りりくする takeoff  隔離する かくりする isolation, segregation  離脱する りだつする withdrawal  離着陸する りちゃくりくする takeoff and landing  引き離す ひきはなす to pull apart  離れる はなれる to be separated "
