Sentence,Grammar,Words
母は本を読むとき、めがねをかけます,When,とき
わたしはいつも料理の本を見ながら料理を作ります,While,ながら
わたしは夏の間、ずっと北海道にいました,Throughout the time,あいだ
夏休みの間に引っ越ししたいです,"During, When",あいだに
時刻は間もなく３時になるところです,"About to, In the midst of, Just",ところだ
このことは今度お目にかかった折に詳しくお話しいたします,Whenever there is an occasion,おり（に）
非常の際はエレベーターを使わずに、階段をご利用ください,"When, On the occasion of",さい（に）
式典は４あ会館において行われる予定,"In, At",において
新学期にあたって、皆さんに言っておきたいことがあります,On the occasion of,にあたって
今は上手に話せなくても練習を重ねるうちに上手になります,Before you know it,うちに
新入社員の小林さんは、会議の最中にいねむりを始めてしまった,In the middle of,さいちゅう（に）
電車に揺られつつ、２時間ほどいい気持ちで眠った,While,つつ
今、国は経済成長期にあって、人々の表情も生き生きとしている,"In, At",にあって
地震のときは、すぐに火を消しなさい,⚭ Vplain.I.Na+na.N+no,とき
発音のテープを聞きながら、日本語の勉強をした,⚭ Vnn,ながら
両親が旅行をしている間、ぼくが毎日食事を作りました,⚭ Vru.Vteiru.I.Na+na.N+no,あいだ
暇な間に本だなをかたづけてしまおう,⚭ Vru.Vteiru.I.Na+na.N+no,あいだに
ご飯を食べているところに電話がかかってきた,⚭ Vru.Vteiru.Vta.Vteita,ところだ
このことは今度お目にかかった折に詳しくお話しいたします,⚭ Vplain.I.Na+na.N+no,おり（に）
国を出る際に、友人、知人からたくさんのお金を借りたのです,⚭ Vplain.I.Na+na.N+no,さい（に）
この植物は、ある一定の環境においてしか花を咲かせない,⚭ N,において
研究発表をするにあたって、しっかり準備をすることが必要だ,⚭ Vru.N,にあたって
ふと外を見ると、気がつかないうちに雨が降り出していた,⚭ Vru.Vteiru.Vnai.N+no,うちに
今考えごとをしている最中だから、少し静かにしてください,⚭ Vteiru.N+no,さいちゅう（に）
山に登りつつ、人は人生についてさまざまなことを考える,⚭ Vnn,つつ
数学は高度情報社会にあって、必要な学問的教養となっている,⚭ N,にあって
食事の前に手を洗いましょう,Before,まえに
食事の後で、少し散歩しませんか,After,あとで
電気を消して、部屋を出ます,Then,て
この仕事をぜんぶやってからビールを飲みます,After,てから
わたしが日本に来てから、もう４年たちました,Since,てから
今うちに帰ってきたばかりなのでもう見ましたか,"Just finished, Just did",たばかりだ
夏休みになったら、国へ帰ります,After,たら
独身のうちに、いろいろなことをやってみたいです,While,うちに
出発に先立って、大きい荷物は全部送っておきました,"As a precursor to, Before",にさきだって
ずっと本を読んでいて急に立ち上がったとたん、めまいがしました,"At the very moment, As soon as",たとたん（に）
ベルが鳴るとともに、子どもたちはいっせいに運動場へ飛び出した,"At the same time, Together with",とともに
急に空が暗くなったかと思うと、激しく雨が降り始めた,"No sooner than, Just when",とおもうと
授業が終わるか終わらないかのうちに彼は教室を出た,"Just barely when, As soon as",か〜ないかのうちに
スケジュールが決まり次第、すぐ知らせてください,"As soon as, the moment that",しだい
野菜を生で食べるなら、よく洗ってからでないと、農薬が心配だ,Not until after,てからでないと
入院してはじめて健康のありがたさがわかりました,"It is/was not until..that, Only after",てはじめて
詳しいことはお目にかかった上で、説明いたします,After having,うえで
大学を卒業して以来、田中さんには１度も会っていません,Ever since,ていらい
先月、禁煙してからは、１度もたばこを吸っていません,Ever since,てからは
小田先生はチャイムが鳴るが早いか、教室に入ってきます,"No sooner than, As soon as",がはやいか
ドアを開けるやいなやその猫は飛び出していった,"No sooner than, As soon as, themoment that",やいなや
子どもは母親の顔を見るなり、ワッと泣き出しました,As soon as,なり
私は聞いたそばから人の名前を忘れてしまう,As soon as,そばから
たばこを止めてからというもの、食欲が出て体の調子がとてもいい,"From the time.., After, Since",てからというもの
寝る前に歯をみがきなさい,⚭ Vru.N+no,まえに
この薬はご飯を食べる前に飲みますか、食べた後で飲みますか,⚭ Vta.N+no,あとで
スーパーへ行って、たまごを買った,⚭ Vte,て
新しい家を買うときは、よく調べてから買いましょう,⚭ Vte,てから
たばこをやめてから、体重が急に増えた,⚭ Vte,てから
去年日本に来たばかりなので、まだ敬語がじょうずに使えません,⚭ Vta,たばかりだ
今撮った写真ができたら、わたしにも１枚ください,⚭ Vta,たら
暗くならならないうちに家に帰らなければなりません,⚭ Vru.Vnai.I.Na+na.N+no,うちに
計画実行に先立って、周りの人たちの許可を求める必要がある,⚭ Vru.N,にさきだって
出かけようと思って家を出たとたんに、雨が降ってきた,⚭ Vta,たとたん（に）
佐藤さんはわたしの親友であるとともに、人生の大先輩でもある,⚭ Vru.I.Na+dearu.N+dearu,とともに
あの子はやっと勉強を始めたかと思ったら、もういねむりをしている,⚭ Vta,とおもうと
娘が出かけるか出かけないかのうちに雨が降り出した,⚭ Vru.Vnai.Vta,か〜ないかのうちに
向こうから連絡があり次第、出発しましょう,⚭ Vnn,しだい
田中さんは出張中だから、来週からでないと出社しません,⚭ Vte,てからでないと
大きな仕事は十分な準備があってはじめて成功するのだ,⚭ Vte,てはじめて
どの大学を受験するか、両親との相談の上で、決めます,⚭ Vta.N+no,うえで
来日以来、父の友人のお宅にホームステイしています,⚭ Vte+irai.N+irai,ていらい
２年前に社会人になってからは、ひまな時間はほとんどありません,⚭ Vte,てからは
ひろ子は自転車に乗るが早いか、どんどん行ってしまった,⚭ Vru,がはやいか
その男の人は部屋に入るや否や、いきなり大声で怒鳴り始めた,⚭ Vru,やいなや
今度は横になるなりほぼ即座に寝ついていた,⚭ Vru,なり
片付けるそばから子供がおもちゃを散らかす,⚭ Vru.Vta,そばから
息子が大学に入り家を出ていってからというもの、寂しくなった,⚭ Vte,てからというもの
