Time,Script,Translation1,Translation2
0s,やっぱりこう気持ちよかったですね ボキッと音しちゃいましたけれども,Shoulder blade stretches to improve shoulder stiffness,After all it was comfortable like this Although it made a popping sound
4s,実際にちょっとやっていきますか？,Shall I actually demonstrate?,Do you really want to do it?
6s,ではちょっと椅子をね、用意していただいので座ってやってみますか。,"Now, the staff has prepared a chair for me, so I'll sit down and try it.","Then, I'd like you to prepare a chair for a while, so why don't you sit down and try it?"
12s,まずは、❶,Let's start with 1.,"First of all, ❶"
13s,大木を抱えるように両腕で大きな輪を作り、背中を後ろに引いて丸める。,"Make a large circle with both arms as if you were holding a large tree, and pull your back backward and round.","Make a big ring with both arms like holding a big tree, and pull your back back to roll it up."
20s,この時、肩甲骨は離れて広がっている。,"At this time, the shoulder blades are separated and spread apart.","At this time, the scapula is spread apart."
23s,これでいいのかな？,Is this correct?,Is this OK?
25s,どうですか？見えてます？,What do you think? Do you see me?,how is it? Can you see
27s,みなさんもぜひ、オフィスワークの方は、ちょっとやってみて下さいね。,I hope you all will try it. Especially those who work in an office.,"If you are an office worker, please give it a try."
33s,こもまき？,Komomaki?,Komomaki?
34s,といったコメントも届いてますけれども,I have received that comments.,Although I received comments such as
36s,...丸めてください。,Round your back.,... please roll it up.
38s,そして、二つめ。,And Number 2.,And the second.
40s,❷ 両手を後ろでつなぎ背筋を伸ばしながら斜め上を見る。,Connect your hands behind your back and look diagonally upward while keeping your back straight.,❷ Hold your hands behind you and look diagonally upward while stretching your back.
45s,斜め上を見る。,Looking diagonally upward.,Look diagonally above.
46s,この時、肩甲骨は閉じられている。,"At this time, the shoulder blades are closed.","At this time, the scapula is closed."
49s,こんな感じですねー,It's like this,It looks like this
51s,あー気持ちいい,Ahh... feels good (Kimochii),Ah it feels good
53s,❷ 両手を後ろでつなぎ背筋を伸ばしながら斜め上を見る。,Connect your hands behind your back and look diagonally upward while keeping your back straight.,❷ Hold your hands behind you and look diagonally upward while stretching your back.
56s,天井を見る感じですね,Just like looking at the ceiling.,It's like looking at the ceiling
58s,これすごく...気持ちいいですねー,This feels so good~ (Sugoku Kimochii desune~),This is really ... it feels good
1:02,この１、２、を繰り返すということでミソなのが 肩甲骨を離して 広げてから、今度,The main point of repeating this 1 and 2 is to spread the shoulder blades apart and then close them afterwards.,"The miso is that repeating these 1 and 2 Separate the shoulder blades After unfolding, this time"
