Time,Subtitle,Translation1,Translation2
0s,6日火曜日のお天気をお伝えします。,Here's what the weather will be like on Tuesday the 6th.,I will tell you the weather on Tuesday the 6th.
3s,まずは天気図を見ていきます。,"First, let's look at the weather map.","First, let's look at the weather map."
6s,6日火曜日9時の予想天気図です。,This is the forecast weather map for Tuesday the 6th at 9:00 a.m.,"It is a forecast weather map at 9:00 on Tuesday, 6th."
8s,高気圧に覆われて晴れる所が広がりそうです。,High pressure will cover the area and clear skies will prevail.,It seems that the place covered with high pressure and sunny will spread.
12s,ただ、一部、天気の崩れがありそうです。,"However, there will be a partial break in the weather.","However, there seems to be some weather collapse."
15s,詳しく見ていきます。,Let's take a closer look.,Let's take a closer look.
18s,8時から時間を進めていきます。,We'll start moving forward in time at 8:00.,We will advance the time from 8 o'clock.
20s,広く晴れるところがほとんどですが、,Mostly sunny over a large area.,"Most of the places are sunny, but"
22s,四国、太平洋側や、紀伊半島南部,"Shikoku, the Pacific Ocean, and the southern part of the Kii Peninsula","Shikoku, Pacific side and southern Kii Peninsula"
25s,東海は雲が広がりやすくなりそうです。,Clouds are likely to spread over the Tokai region.,Clouds are likely to spread in Tokai.
28s,大気の状態が不安定となり、,Atmospheric conditions are becoming unstable.,Atmospheric conditions become unstable and
31s,こちらの地域,This area,This area
33s,東海、甲信の山沿いを中心に、,In the mountains of the Tokai and Koshin regions.,"Mainly along the mountains of Tokai and Koshin,"
35s,急な雨の可能性があります。,There is a possibility of sudden rain.,There is a possibility of sudden rain.
38s,ザッと強まる雨に注意してください。,Please watch out for rain that will intensify.,Watch out for the quick rain.
41s,続いて、気温予想です。,Next is the temperature forecast.,Next is the temperature forecast.
45s,朝6時から見ていきますと、,We'll start at 6:00 a.m.,"Looking at it from 6 am,"
47s,東日本や北日本の内陸を中心に冷え込みが増しそうです。,It is likely to get colder mainly in inland areas of eastern and northern Japan.,"The cold weather is likely to increase, especially in the inland areas of eastern and northern Japan."
52s,ここ最近は暖かい日が続いておりましたが、平年並みの気温となりそうです。,"The weather has been warm recently, but the temperature is expected to be around normal.","It has been warm days these days, but it seems that the temperature will be about the same as normal."
57s,暖かさに体が慣れている方も多いかと思いますので、,I'm sure many of you are getting used to the warmth.,"I think many people are accustomed to the warmth, so"
1:02,気温がガクッと下がります。,The temperature drops precipitously.,The temperature drops sharply.
1:03,体調には気をつけてお過ごしください。,Please take care of yourself.,Please be careful about your physical condition.
1:28,明日のお天気についてご覧いただきました。,We have seen about tomorrow's weather.,You saw about tomorrow's weather.
1:31,明日は広く日差しが届きそうですね。日差しを有効にお使いください。,It looks like we'll get sunshine over a wide area tomorrow. Please make the most of the sunshine.,It looks like the sun will reach wide tomorrow. Please use the sunlight effectively.
0s,最初私の直感「新緑」だったんですよねえ,"My intuition told me that the answer was ""fresh green"".","At first it was my intuition ""fresh green"", right?"
3s,でも新緑じゃないかなぁ,But maybe it's not fresh greeeeeeeen,But I think it's fresh green
5s,むずかしいですねぇ。,It's a difficult quiz.,It's difficult.
7s,最近...,Lately...,Recently...
8s,ちょっと自分の、、 センスを疑うようになっちゃいました。,I began to doubt my six sense.,A little my own ... I have come to doubt my sense.
13s,最近あの、,"And Recently,",Recently that
14s,直感でも当たることが少なくなってきてしまったので,Even my intuition is rarely right anymore.,I'm less likely to hit it with my intuition
18s,「新緑」かなと思ったんですけれども,"I thought the answer might be ""fresh green"".","I thought it was ""fresh green"""
20s,いかがですかみなさん？,But what do you think?,How are you guys?
22s,コメント：「直感を信じよう！」,"Comment : ""Trust your Intuition!""","Comment: ""Believe intuition!"""
23s,きっとそうですよ。,I'm sure it must be.,I'm sure it is.
25s,「新緑」にしましょう！,"Let's go with ""fresh green"" !","Let's make it ""fresh green""!"
26s,では、見ていきます！,"Now, let's look at the answer!",Let's see!
