Time,Subtitle,Translation1,Translation2
0s,こんにちは！,Hey guys!,Hello!
1s,Kimono mom’ｓKitchen へようこそ,Welcome to Kimono mom’s Kitchen,Welcome to Kimono mom's Kitchen
2s,MOE と SUTAN です,I’m Moe and this is Sutan,MOE and SUTAN
5s,今日は,Today we’re going to show you,today
7s,牛丼！,how to make GYUDON,beef bowl!
9s,牛丼は牛肉と玉ねぎの具をのせた丼で,Gyudon is a rice bowl topped with beef and onions,Gyudon is a bowl with beef and onion ingredients
15s,日本で最も人気のあるファーストフードの一つです,It’s one of the most popular fast food in Japan,One of the most popular fast food in Japan
17s,牛丼を作るのはとても簡単です,So making Gyudon is really easy,Making beef bowl is very easy
19s,やってみてください,Please try it,Please try it
21s,それでは,All right,Well then
21s,始めましょう,Let’s get started,let's start
33s,まずはご飯を洗います,"First of all, rinse the rice","First, wash the rice"
39s,最初の水をすぐに捨てます お米についた汚れを吸収しないためにです,Then throw the first water immediately so that it doesn't absorb dirt with it,Throw away the first water immediately so as not to absorb the dirt on the rice
45s,優しく軽く洗います,Gently wash the rice,Gently and lightly wash
52s,30分以上浸水しましょう,Then soak it in water more than 30minutes,Let's flood for 30 minutes or more
58s,タマネギをくし切り,Cut the onion into wedges,Chop the onion
1:05,生姜をすりおろす,Grate the ginger,Grate ginger
1:10,向こう行く？行っといでよ,Do you wanna get off the tower?,Are you going over there? Come on
1:12,はーい行っといで、行ってらっしゃい,Do you wanna go over there?,"Come on, go"
1:18,ここ登る？,Get on the tower?,Climb here?
1:20,抱っこがいいの？,Do you want me to hold you?,Do you want to hug me?
1:23,ねえ、,"Hey,","Hey you,"
1:24,ちょっと、抱っこがいいの？,Do I have to hold you while cooking?,Is it a good hug?
1:29,お願いしまーす,Here you are,please
1:32,「おいし」,OISHI,Delicious
1:36,「おいし」,OISHI,Delicious
1:37,美味しい？,OISHI?,delicious?
1:38,よかったぁ,Good for you,I'm glad
1:45,なくなった？,Empty?,lost?
1:50,だし200ml,200ml of Dashi,Dashi 200ml
1:53,だし粉末や他のだしを使ってもいいです,it’s ok to use Dashi powder or other soup stock,You can use dashi powder or other dashi
1:58,砂糖大さじ2,2tbsps of sugar,2 tablespoons sugar
2:02,日本酒大さじ2,2tbsps of Sake,2 tablespoons of sake
