Expression,Reading,Meaning
N5,,
ああ,ああ,"Ah!, Oh!"
会う,あう,"to meet, to see"
青,あお,blue
青い,あおい,blue
赤,あか,red
赤い,あかい,red
明るい,あかるい,bright (personality or weather); cheerful
秋,あき,fall (season)
開く,あく,"to open, to become open"
開ける,あける,to open (v.t.)
上げる,あげる,"to raise, to lift"
朝,あさ,morning
朝御飯,あさごはん,breakfast
明後日,あさって,day after tomorrow
足; 脚,あし,foot; leg
明日,あした,tomorrow
あそこ,あそこ,"there, over there, that place"
遊ぶ,あそぶ,to play; to spend time; to hang out
暖かい,あたたかい,warm
頭,あたま,head
新しい,あたらしい,new
あちら,あちら,this way (polite)
暑い,あつい,"hot (weather), warm"
熱い,あつい,hot (objects)
厚い,あつい,"kind, warm(hearted), thick, deep"
あっち,あっち,over there
後,あと,afterwards (later); in the future; since then
あなた,あなた,you
兄,あに,(my) older brother (humble)
姉,あね,(my) older sister (humble)
アパート,アパート,apartment (abbr.)
あの,あの,"that over there; like that, that way; um..."
浴びる,あびる,"to bathe, to shower"
危ない,あぶない,"dangerous, critical"
甘い,あまい,"generous, sweet"
余り,あまり,not very; surplus
雨,あめ,rain
飴,あめ,(hard) candy
洗う,あらう,to wash
在る,ある,"to be, to have"
有る,ある,"to be, to have"
歩く,あるく,to walk
あれ,あれ,that one (over there)
いい; よい,いい; よい,good
いいえ,いいえ,"no, not at all"
言う,いう,to say
家,いえ,"house, home"
いかが,いかが,"how, in what way"
行く,いく; ゆく,to go
いくつ,いくつ,"how many, how old"
いくら,いくら,"how much, how many"
池,いけ,pond
医者,いしゃ,doctor; physician
椅子,いす,chair
忙しい,いそがしい,"busy (people, days)"
痛い,いたい,hurt; painful; sore
一,いち,one
一日,いちにち,one day (duration)
一番,いちばん,"best (most), first, number one"
いつ,いつ,when
五日,いつか,five days; fifth day of the month
一緒,いっしょ,together
五つ,いつつ,five things
いつも,いつも,"always, usually, every time, never (neg. verb)"
犬,いぬ,dog
今,いま,now
意味,いみ,"meaning, significance"
妹,いもうと,younger sister (humble)
嫌,いや,"disagreeable, detestable, unpleasant"
入口,いりぐち,entrance
居る,いる,"(humble) to be (animate), to exist"
要る,いる,to need
入れる,いれる,to put in
色,いろ,color
色々,いろいろ,various
上,うえ,"above (up, top, etc.), over, on top of"
後ろ,うしろ,"back, behind, rear"
薄い,うすい,"thin, weak"
歌,うた,a song
歌う,うたう,to sing
うち,うち,home; house; my place
生まれる,うまれる,to be born
海,うみ,"sea, beach"
売る,うる,to sell (v.t.)
うるさい,うるさい,noisy; annoying
上着,うわぎ,"coat, jacket"
絵,え,a painting; a picture; a drawing
映画,えいが,"movie, film"
映画館,えいがかん,"movie theater, cinema"
英語,えいご,English (language)
ええ,ええ,yes
駅,えき,station
エレベーター,エレベーター,elevator
～円,～えん,Yen
鉛筆,えんぴつ,pencil
お～,お～,honorable ~ (honorific)
美味しい,おいしい,"delicious, tasty"
多い,おおい,many; there are a lot
大きい,おおきい,"big, large"
大きな,おおきな,big
大勢,おおぜい,great number of people
お母さん,おかあさん,mother (formal)
お菓子,おかし,"confections, sweets, snack"
お金,おかね,money
起きる,おきる,to get up (from sleeping); to happen
置く,おく,to put; to lay; to place
奥さん,おくさん,(someone else's) wife (hon.)
お酒,おさけ,sake; alcohol
お皿,おさら,"plate, dish"
伯父; 叔父さん,おじさん,"uncle, middle-aged man"
おじいさん,おじいさん,"grandfather, male senior citizen"
教える,おしえる,"to teach, to inform, to instruct"
押す,おす,"to push, to press, to stamp (a passport)"
遅い,おそい,slow; (to be) late
お茶,おちゃ,(green) tea
お手洗い,おてあらい,"toilet, restroom, bathroom"
お父さん,おとうさん,father (formal)
弟,おとうと,younger brother
男,おとこ,"man, male"
男の子,おとこのこ,boy
一昨日,おととい,the day before yesterday
おととし,おととし,year before last
大人,おとな,adult
お腹,おなか,stomach
同じ,おなじ,"same, identical"
お兄さん,おにいさん,(someone else's) older brother (formal)
お姉さん,おねえさん,older sister (formal)
伯母さん; 叔母さん,おばさん,aunt
おばあさん,おばあさん,"grandmother, female senior-citizen"
お風呂,おふろ,a bath
お弁当,おべんとう,a boxed lunch
覚える,おぼえる,"to learn, to remember, to memorize"
おまわりさん,おまわりさん,policeman (friendly term)
重い,おもい,heavy; serious
面白い,おもしろい,"interesting, amusing"
泳ぐ,およぐ,to swim
降りる,おりる,to get off
終る,おわる,"to finish, to close"
音楽,おんがく,Music
女,おんな,"woman, female"
女の子,おんなのこ,girl
～回,～かい,counter for occurrences (~ times)
～階,～かい,counter for stories (floors) of a building
外国,がいこく,foreign country; abroad
外国人,がいこくじん,foreigner
会社,かいしゃ,"company, corporation"
階段,かいだん,stairs
買い物,かいもの,shopping
買う,かう,to buy
返す,かえす,to return something
帰る,かえる,"to go back, to go home, to return"
顔,かお,face (body part)
かかる,かかる,"it takes (amount of time, money) (v.i.)"
鍵,かぎ,a lock; a key
書く,かく,to write
学生,がくせい,student
～か月,～かげつ,(number of) months
掛ける,かける,to put on (glasses); to hang (on a wall)
かける,かける,"to dial/call (e.g., phone); to sit down"
傘,かさ,"umbrella, parasol"
貸す,かす,to lend
風,かぜ,"wind, breeze"
風邪,かぜ,"cold, flu"
方,かた,honorific form for hito ; way of doing
家族,かぞく,"family, members of a family"
片仮名,かたかな,katakana
～月,～がつ,month of year
学校,がっこう,a school
カップ,カップ,cup
家庭,かてい,home; family
角,かど,"corner (e.g., desk, pavement)"
かばん,かばん,"bag, basket"
花瓶,かびん,(flower) vase
かぶる,かぶる,"to wear, to put on (a hat on the head)"
紙,かみ,paper
カメラ,カメラ,camera
火曜日,かようび,Tuesday
辛い,からい,hot and spicy; salty
体,からだ,body; health
借りる,かりる,"to borrow, to owe"
～がる,～がる,feel
軽い,かるい,"light, non-serious, minor"
カレー,カレー,curry (abbr. for curry and rice)
カレンダー,カレンダー,calendar
川; 河,かわ,river
～側,～がわ,~ side
可愛い,かわいい,"cute, adorable"
漢字,かんじ,kanji; Chinese character
木,き,"tree, wood, timber"
黄色,きいろ,yellow
黄色い,きいろい,yellow
消える,きえる,"to vanish, to disappear"
聞く,きく,"to hear, to listen, to ask"
北,きた,north
ギター,ギター,guitar
汚い,きたない,"dirty, unclean, filthy"
喫茶店,きっさてん,café
切手,きって,postal (postage) stamps
切符,きっぷ,a ticket
昨日,きのう,yesterday
九,きゅう,nine
牛肉,ぎゅうにく,beef
牛乳,ぎゅうにゅう,milk
今日,きょう,"today, this day"
教室,きょうしつ,classroom
兄弟,きょうだい,"siblings (humble), brothers and sisters"
去年,きょねん,last year
嫌い,きらい,dislike
切る,きる,to cut; to hang up (a phone)
着る,きる,to put on (clothes above waist); to wear
綺麗,きれい,"pretty, clean, tidy"
キロ; キログラム,キロ; キログラム,(abbr.) kilo (kilogram)
キロ; キロメートル,キロ; キロメートル,(abbr.) kilo (kilometer)
銀行,ぎんこう,bank
金曜日,きんようび,Friday
九,く,nine
薬,くすり,medicine
下さい,ください,(with te-form verb) please do for me
果物,くだもの,fruit
口,くち,job opening; mouth
靴,くつ,"shoes, footwear"
靴下,くつした,socks
国,くに,country; place of origin
曇り,くもり,"cloudiness, cloudy weather"
曇る,くもる,"to become cloudy, to become dim"
暗い,くらい,"dark, gloomy"
～くらい; ぐらい,～くらい; ぐらい,approximate (quantity)
クラス,クラス,a class
グラム,グラム,gram
来る,くる,to come
車,くるま,"car, vehicle"
黒,くろ,black
黒い,くろい,black; dark
警官,けいかん,police officer
今朝,けさ,this morning
消す,けす,"to erase, to delete, to turn off power"
結構,けっこう,"splendid; enough, tolerably"
結婚,けっこん (する),marriage (get married)
月曜日,げつようび,Monday
玄関,げんかん,entrance (to a house or a building)
元気,げんき,"health(y), energetic"
～個,～こ,"counter for small items (fruits, cups)"
五,ご,five
～語,～ご,"word, language"
公園,こうえん,a park
交差点,こうさてん,intersection
紅茶,こうちゃ,black tea
交番,こうばん,police box
声,こえ,voice
コート,コート,"coat; court (e.g., tennis)"
コーヒー,コーヒー,coffee
ここ,ここ,"here, this place"
午後,ごご,"afternoon, P.M."
九日,ここのか,nine days; ninth day of the month
九つ,ここのつ,nine things
午前,ごぜん,"morning, A.M."
答える,こたえる,"to answer, to reply"
こちら,こちら,this person (polite); this way (polite)
こっち,こっち,this person; this direction; this side
コップ,コップ,a tumbler; a glass
今年,ことし,this year
言葉,ことば,language; word(s); expression(s)
子供,こども,child(ren)
この,この,this
御飯,ごはん,rice (cooked); meal
コピーする,コピーする,to copy
困る,こまる,"to be bothered, to have difficulty"
これ,これ,this one
～ころ; ～ごろ,～ころ; ～ごろ,"about, toward, approximately (time)"
今月,こんげつ,this month
今週,こんしゅう,this week
こんな,こんな,"such, like this"
今晩,こんばん,"tonight, this evening"
さあ,さあ,"come now, well"
～歳,～さい,~ years old
財布,さいふ,wallet
魚,さかな,fish
先,さき,"future; recent, previous"
咲く,さく,to bloom
作文,さくぶん,essay; composition
差す,さす,"to raise (stretch out) hands, to raise (umbrella)"
～冊,～さつ,counter for books
雑誌,ざっし,"magazine, journal"
砂糖,さとう,sugar
寒い,さむい,cold (in reference to weather)
さ来年,さらいねん,year after next
～さん,～さん,"Mr. ~, Ms. ~"
三,さん,three
散歩,さんぽ (する),"walk, stroll"
四,し,four
～時,～じ,~ o'clock (time)
塩,しお,salt
しかし,しかし,however; but
時間,じかん,time
～時間,～じかん,~ hours
仕事,しごと,"work, job, occupation, employment"
辞書,じしょ,dictionary
静か,しずか,"quiet, calm"
下,した,"under, below, beneath"
七,しち,seven
質問,しつもん,"question, inquiry"
自転車,じてんしゃ,bicycle
自動車,じどうしゃ,automobile
死ぬ,しぬ,to die
字引,じびき,dictionary
自分,じぶん,"myself, oneself"
閉まる,しまる,"to close, to be closed"
閉める,しめる,"to close, to shut"
締める,しめる,"to tie, to fasten, to tighten"
じゃ; じゃあ,じゃ; じゃあ,"well, well then"
写真,しゃしん,a picture; a photograph
シャツ,シャツ,shirt
シャワー,シャワー,shower
十,じゅう,ten
～中,～じゅう,"during, while"
～週間,～しゅうかん,~ weeks
授業,じゅぎょう,a class (of school)
宿題,しゅくだい,homework
上手,じょうず,"be good at, skillful"
丈夫,じょうぶ,"strong, solid, durable"
醤油,しょうゆ,soy sauce
食堂,しょくどう,"cafeteria, dining hall"
知る,しる,"to know, to understand"
白,しろ,white
白い,しろい,white
～人,～じん,counter for people
新聞,しんぶん,newspaper
水曜日,すいようび,Wednesday
吸う,すう,"to breathe in, to suck"
スカート,スカート,skirt
好き,すき,"liking, fondness, love"
～すぎ,～すぎ,"past; to exceed, ~ too much"
少ない,すくない,a little; a few
すぐに,すぐに,"immediately, soon"
少し,すこし,"little, few"
涼しい,すずしい,"cool, refreshing (weather)"
～ずつ,～ずつ,at a time
ストーブ,ストーブ,heater (lit: stove)
スプーン,スプーン,spoon
スポーツ,スポーツ,sport(s)
ズボン,ズボン,trousers
住む,すむ,"to reside, to live in"
する,する,"to do, to try; to wear small items"
座る,すわる,to sit
背,せい,"(one's) height, stature"
生徒,せいと,student; pupil
セーター,セーター,sweater
石鹸,せっけん,soap
背広,せびろ,men's suit
狭い,せまい,narrow; not spacious
ゼロ,ゼロ,zero
千,せん,thousand
先月,せんげつ,last month
先週,せんしゅう,last week
先生,せんせい,"teacher, professor; master; doctor"
洗濯,せんたく,"washing, laundry"
全部,ぜんぶ,"all, entire, whole"
そう; そうです,そう; そうです,"yes; appears, to be the case"
掃除,そうじ (する),"cleaning, sweeping"
そうして; そして,そうして; そして,"and, like that"
そこ,そこ,"that place, there; bottom, sole"
そちら,そちら,over there
