Verb,Type,Meaning,s1,s2,s3,s4,s5
あがる,intrans,"to go up, rises, get nervous, to finish, to enter 上がる",給料が上がりました,風邪で熱が３９度まであがった,スピーチおする時、いつもあがります,雨が上がったら、出かけましょうか,遠慮しないで、どうぞおあがりください
あげる,trans,"to raise, lift, give, to finish- (attached to a Verb) 上げる, to  fly 揚げる",かばんを棚に上げます,友達の誕生日にプレンゼントをあげました,質問があったら、手をあげてください,日本語を教えてあげましょうか,論文を書き上げたら連絡します
あける,trans,"to open 開ける, to empty / Free 空ける, the Day Breaks 明ける (intrans.)",窓を開けてもいいですか,ドアに鍵がかかっていて、開けられません,旅行に行くので、しばらく家を空けます,今度の日曜日おけておいてください,明けましておめでとございます
あきらめる,trans,to give up 諦める,寝坊したので朝ご飯を食べるのを諦めました,この企画は見込みがない。あきらめよう,あきらめてはいけません,ゴールはもう少しだ。あきらめるな,何を言われても、私はあきらめなかった
あきる,intrans,"to be tired of, fed up with 飽きる",毎日同じ仕事をするのに飽きました,息子はそのおもちゃにもう飽きたようだ,勉強に飽きたら散歩します,すぐに飽きるのはあなたの悪いくせだ,そんな説教は聞き飽きた
あく,intrans,"to open / begin 開く, to become vacant, be free 空く",このぼたんを押すとドアがあきます,鍵が壊れていて窓が開かない,銀行は9時に開くそうです,その席は空いていますか,土曜日は忙しいけど日曜日に空いています
あらそう,trans,to fight / compete / dispute / contend 争う,去年その二つのチイムは優勝を争った,鈴木さんは佐藤さんと昇進を争っている,その土地が誰のものか法廷で争われた,争うのは好きじゃない,今は一刻を争う時です
あらう,trans,to wash / inquire into / wash one’s hands of an affair 洗う,食事の前に手を洗いました,このセーターは洗えます,彼女は子供たちにお皿を表せます,何度洗ってもこのしみは落ちない,自然の中にいると心が洗われるようだ
あらわれる,intrans,"to appear 現れる, to become visible / show 表れる",森から熊が現れた,一時間待っても彼は現れなかった,彼はいら立ちが声に表れていた,彼女は気持ちがすぐ顔に表れる,雪が溶けて地面が現れ出しました
あらわす,trans,"to appear 現す, to show / express 表す, to write 著す",突然物陰から男姿を現れした,彼女は感情を態度に現しません,あの看板は何を現しているのでしょうか,その景色の美しさは言葉で合わせない,彼はなくなる一年前に自伝を著しました
ある,intrans,to be / have 有る 在る,郵便局は駅のそばにあります,時間とお金があれば京都へ行きたいです,田中さんから電話がありました,3時から会議あるので失礼します,昨夜遅くに地震がありました
あるく,intrans,To walk 歩く,銀座の街を歩きました,三十分歩いてやっと駅に着いた,ちょっと歩こうか,駅から家まで歩いて五分ぐらいです,足が痛くて歩けません
あそぶ,intrans,To play / enjoy oneself / to meet up / to hang out / to go to 遊ぶ,週末友達と六本木で遊んだ,弟とゲムをして遊ぶつもりです,遊んでばかりいないで、勉強しなさい,危険。この川で遊ぶな,うぞ近いうちに遊びに来て下さい
あたる,intrans,To hit / shines upon 当たる,ボールが窓に当たってガラスが割れた,天気予報が当たって午後から雪が降った,宝くじで百万円が当たった,その映画はとても当たった,私の部屋は日が当たらない
あてる,trans,"To hit / guess / put 当てる, to address to あてる",ダーツを的との中心位当てるのは難しい,クイズの答えを当てましょた,この箱の中は何か当ててみて下さい,額に手を当ててみたら、熱かった,これはあなたにあてた手紙です
あつまる,intrans,To get together / assemble 集まる,切手がたくさん集まった,明日は何時に集まればいいですか,十時に集まって下さい,またいつか集まりましょうか,コンサートに三千人ぐらいの人が集まった
あつめる,trans,To collect/ gather 集める,私は切手を集めています,生徒達は全員校庭に集められた,論文を書くために資料を集めておきます,集めたゴミを燃やしましょう,彼女の服は周りの人の注目を集めた
あう ,intrans,"To meet 会う, to fit / match 合う",仕事の後で友達と会って食事に行きます,明日三時に駅で会いましょう,どこかでお会いしませんでしたか,この靴はサイズがあいません,答えがあっているかどうか確かめて下さい
あやまる,trans,"To apologiZe 謝る, to make a mistake 誤る",遅れたことを彼に謝った方がいい,正直に謝ったら彼女は許して下さい,彼女はとても怒って彼に謝らせた,判断を誤ったかもしれない,誤って大切な書類を捨ててしまった
あずかる,trans,To keep / take charge of 預かる,あなたの荷物を預かっています,このかばんを預かってもらえますか,コートはどこで預かってくれますか,こちらでお預かりいたしまします,友達が子供を預かってくれた
あずける,trans,To leave a person or thing under someone’s care / deposit 預ける,荷物を受付に預けました,荷物を預けるところはどこですか,あそこに預けられますよ,彼は子供を保育園に預けて働いている,鈴木さん銀行百万円を預けている
ぶつかる,intrans,"To hit, face(difficulties), fall on dates ぶつかる, to strike against, encounter, meet 打つかる",肩がドアにぶつかりました,彼女は車をガードレールぶつけました,転んで頭を床にぶつけそうになった,山田さんはよく上司とぶつかっている,去年はクリスマスと日曜日がぶつかった
ぶつける,trans,"To hit against, strike, throw 打付ける",足を机の角にぶつけてしまった,交差点で車とバイクがぶつかった,この道は少し先で川とぶつかります,誰かにぶつけられた,イライラを人にぶつけるのはやめてください
ちがう,intrans,"To differ, be wrong　違う",あの人は日本人ですか。いいえ、違います,この部屋とあの部屋は大きさが違います,私は彼女と意見が違う,電話番号が違いますよ,習慣は国によって違うものです
ちかづける,trans,"To bring a thing close, allow a person to approach 近づける",椅子を机に近付けるください,鈴木さんは仕事中人を近付けない,彼は顔を窓に近づけて外を見た,子供をストーブに近づけないでください,悪い友人を近づけないようにしなさい
ちかづく,intrans,"To approach, get near, associate with 近づく",電車は駅に近づいた,危ないからその機会に近づいてはいけない,クリスマスが近づくと街はにぎやかになる,天気予報によると台風が近づいているそうだ,風邪をひているから近づかない方がいい
