Verb,Reading,Meaning
始まる,はじまる,it starts
プールに入る,プールにはいる,get in a pool
乗る,のる,"ride, get on"
会う,あう,meet
雨が降る,あめがふる,rain
絵を描く,えをかく,draw a picture
帰る,かえる,go back/home
歌う,うたう,sing
泳ぐ,およぐ,swim
体を動こ,からだをうごこ,exercise
着ていく,きていく,wear (to somewhere)
試験を受ける,しけんをうける,take a test
出かける,でかける,go out
集める,あつめる,collect
山を降りる,やまをおりる,go down a mountain
別れる,わかれる,break up
会社を辞める,かいしゃをやめる,quit a company
髪型を変える,かみがたをかえる,change one’s hairstyle
料理をする,りょうりをする,cook
連れてくる,つれてくる,bring someone
荷物を持つ,にもつをもつ,carry one’s bag
手伝う,てつだう,help
貸す,かす,lend
席を変わる,せきをかわる,switch seats
払う,はらう,pay
取る,とる,"get, take, catch, harvest, earn"
お金をおろす,おかねをおろす,withdraw cash
遊ぶ,あそぶ,"play, have fun"
働く,はたらく,work
犬を飼う,いぬをかう,have a dog
迎えにいく,むかえにいく,pick someone up
電気をつける,でんきをつける,turn on the lights
閉める,しめる,close
開ける,あける,open
片付ける,かたずける,tidy up
コショウをかける,コショウをかける,sprinkle with pepper
わさびをつける,わさびをつける,put wasabi on (something)
予約する,よやくする,reserve
注文する,ちゅうもんする,order
買ってくる,かってくる,go and buy (buy and comeback)
遊びに行く,あそびにいく,go hangout
遊びに来てください,あそびにきてください,come hangout
今迎えに行く,いまむかえにいく,I’ll pick him up
飲みに行く,のみにいく,go for a drink
迎えに来ました,むかえにきました,I’m here to pick him up
会いに行く,あいにいく,I'll come see you
会いに着てください,あいにきてください,Please come and see me
注文する,ちゅうもんする,order
登る,のぼる,climb
急ぐ,いそぐ,hurry
がっこうをサボる,がっこうをサボる,cut class
習う,ならう,learn
泊まる,とまる,stay
道に迷う,みちにまよう,get lost
謝る,あやまる,apologize
熱を測る,ねつをはかる,check ones temperature
横になる,よこになる,lie down
薬を飲む,くすりをのむ,take medicine
見つかる,みつかる,be found
飲みに行く,のみにいく,go for a drink
年を取る,としをとる,become older
風邪をひく,かぜをひく,catch a cold
ストレスが溜まる,ストレスがたまる,be stressed out
準備ができる,じゅんびができる,be ready
寝る,ねる,sleep
仕事を辞める,しごとをやめる,quit ones job 
町をぶらぶらする,まちをぶらぶらする,stroll around town
友達が来る,ともだちがくる,a friend comes
運転する,うんてんする,drive
起きる,おきる,wake up
走る,はしる,run
使う,つかう,use
下ろす、降ろす,おろす,take down、lower、dropoff、withdraw
落とす,おとす,to drop
落ちる,おちる,drops
店が開く,みせがあく,shop opens
鍵をなくす,かぎをなくす,lose a key
渡す,わたす,pass
咲く,さく,bloom
えあこんがつく,エアコンがつく,air conditioning is on
席が空く,せきがあく,the seat is available
入る,はいる,be in、enter、to go into
並べる,ならべる,to line up
並ぶ,ならぶ,lines up、stand in a line
間違える,まちがえる,to make a mistake
寝坊する,ねぼうする,oversleep、sleeping in late
申し込む,おしこむ,to apply
タクシーに乗る,タクシーにのる,take a taxi
許可をもらう,きょかをもらう,get permission
持っていく,もっていく,take (something)
払う,はらう,pay
出す,だす,submit
調べる,しらべる,look (something) up
取り替える,とりかえる,change
集める,あつめる,to collect、 to gather
集まる,あつまる,gathers、assemble
続ける,つずける,continue
優しくする,やさしくする,be kinder
留学する,りゅうがくする,study abroad
降らない,ふらない,not raining
食べない,たべない,don’t eat
練習しない,れんしゅうしない,don’t practice
言う,いう,say
急ぐ,いそぐ,hurry
送る,おくる,send
待つ,まつ,wait
飲む,のむ,drink
座る,すわる,sit
書く,かく,write
貸す,かす,lend
会う,あう,meet
歯を磨く,はをみがく,to brush ones teeth
たばこを吸う,たばこをすう,smoke cigarette
迎えに行く,むかえにいく,pickup someone
教える,おしえる,teach
取り替える,とりかえる,exchange
会議に出る,かいぎにでる,attend a meeting
見せる,みせる,show
来る,くる,come
連れてくる,つれてくる,bring someone
持ってくる,もってくる,bring something
連絡する,れんらくする,contact someone
卒業する,そつぎょうする,graduate
ご飯を作る,ごはんをつくる,cook a meal
聞く,きく,ask、listen
持つ,もつ,have、carry、hold
頼む,たのむ,ask、request
洗う,あらう,wash
働く,はたらく,work
住む,すむ,live
知る,しる,know
通う,かよう,commute、frequent
お風呂に入る,おふろにはいる,take a bath
宿題をやる,しゅくだいをやる,do homework
資料を直す,しりょうをなおす,correct a document
レポートを出す,レポートをだす,submit a report
待つ,まつ,wait
買う,かう,buy
話す,はなす,speak、talk
読む,よむ,read
アイロンをかける,アイロンをかける,do ironing
勤める,つとめる,work(for)
決める,きめる,decide
方付ける,かたつける,tidy up
食べる,たべる,eat
寝る,ねる,sleep
結婚する,けっこんする,get married
更新する,こうしんする,renew
掃除する,そうじする,clean
電話する,でんわする,call
座る,すわる,sit
置く,おく,put
迎えに行く,むかえにいく,go pick up
払う,はらう,pay
話す,はなす,speak
騒ぐ,さわぐ,make a lot of noise 
悪口を言う,わるくちをいう,insult someone
足を組む,あしをくむ,cross ones legs
急ぐ,いそぐ,hurry 
脱ぐ,ぬぐ,take off
会員になる,かいいんいなる,become a member
遅れる,おくれる,late
決める,きめる,decide
捨てる,すてる,throw away
覚える,おぼえる,memorize
忘れる,わすれる,forget
持ってくる,もってくる,bring something
気にする,きにする,mind、worry
無理する,むりする,work too hard
案内する,あんあいする,guide、show someone around
電話をかける,でんわをかける,make a call
申し込む,もうしこむ,apply
料理を作る,りょうりをつくる,cook
使用する,しようする,to use (use)、to apply (application)
予想する,よそうする,to expect (expectation)
ゴミを出す,ごみをだす,take out trash
零す,こぼす,spill
しまう,しまう,put away
転ぶ,ころぶ,fall
残る,のこる,remain
残す,のこす,left behind、undone
余る,あまる,to remain、be left over、be in excess
壊れる,こわれる,break
知らせる,しらせる,to inform
鍵がかかる,かぎがかかる,be locked
データが消える,データがきえる,data is lost
喧嘩する,けんかする,to fight、to quarrel
保存する,ほぞんする,save、preserve (preservation)
行く,いく,go
引っ越す,ひっこす,to move (house)
休みを取る,やすみをとる,take a vacation
歩く,あるく,walk
拭く,ふく,to wipe
吹く,ふく,to blow
聞く,きく,ask
試験を受ける,しけんをうける,take a test
テストに合格する,テストにごうかくする,pass the test
掃除機をかける,そうじきをかける,vacuum
見る,みる,see
セミナーに出る,セミナーにでる,attend a seminar
連れていく,つれていく,take someone
連れてくる,つれてくる,bring someone
残業する,ざんぎょうする,work overtime
変更する,へんこうする,change、modify
