Time,Script,Translation1,Translation2
4s,Tori：皆さんこんにちは,Tori: Hi everyone,Tori: Hello everyone
7s,"T：年越しに泉の実家の鹿児島に来ました Izumi：実家に帰る途中の寄り道で霧島の""石原荘""という",T: I came to Kagoshima where Izumi's parents' home was over the year.,"T: I came to Kagoshima, my parents'house in New Year's Eve. Izumi: On the way back to my parents' house, I called ""Ishiharaso"" in Kirishima."
14s,I：温泉がいっぱいあるところだね 貸切の露天風呂があるので行ってみましょう,"I: There is a lot of hot springs, so let's go because there is a private open-air bath","I: There are lots of hot springs, so let's go because there is a private open-air bath."
21s,I：おっと 危ない,I: Oops dangerous,I: Oops dangerous
24s,T：足湯がスゴい I：大自然やなぁ,T: Footbath is amazing I: Nature,T: The footbath is amazing I: Nature
29s,T：こんな自然の中で初めてかも,T: It may be the first time in such nature,T: Maybe it's the first time in such nature
32s,T：あそこの家も気になるね レストランかな？,"T: I wonder if the house over there is a restaurant, right?","T: I'm curious about the house over there, isn't it a restaurant?"
35s,T：ホテル？,T: Hotel?,T: Hotel?
43s,T：こんな綺麗な温泉初めてかも I：霧島は温泉の街ですから,T: Maybe this is a beautiful hot spring for the first time I: Kirishima is a hot spring town,T: Maybe it's the first time for such a beautiful hot spring I: Kirishima is a hot spring town
49s,T＆I：いいね！,T & I: Good!,T & I: Like!
51s,T：こんな家が欲しい！,T: I want a house like this!,T: I want a house like this!
55s,I：下が女性専用風呂 右が男性専用風呂,"I: Bath for women only below, bath for men right",I: The bottom is a women-only bath The right is a men-only bath
59s,"I：真ん中が貸切の""睦実の湯"" それぞれの男女専用のお風呂入って その後 貸切のお湯に入ろうと思います","I: The middle is reserved ""Mutomi no Yu"" I would like to take a bath for men and women and then take a private bath","I: ""Mutsumi no Yu"", which is reserved in the middle, I will take a bath exclusively for men and women, and then take a reserved hot water."
1:08,I：しばし さよなら T：さよなら,I: Goodbye T: Goodbye,I: Goodbye for a while T: Goodbye
1:13,男性専用お風呂へ,To men-only bath,To men-only bath
1:15,I：男性専用の露天風呂に行こうと思います,I: I'm going to a men-only open-air bath,I: I'm going to go to an open-air bath exclusively for men
1:20,I：結構受付から離れの方にあって,I: I'm quite far away from the reception,I: It's quite far from the reception
1:25,"I：""椋の木野天風呂"" ""ご自由にお入りください""","I: ""Mino Kino bath"" ""Please enter freely""","I: ""Ryo no Kino Tenburo"" ""Please feel free to enter"""
1:32,I：行ってみましょう,I: Let's go,I: Let's go
1:37,I：えっ？ こんな開放的な風呂？ うっそ,I: What? Such an open bath? Lie,I: What? Such an open bath? Lie
1:41,I：えっ ちょっと恥ずかしい,I: A little embarrassing,I: It's a little embarrassing
1:45,I：入ろうと思います,I: I'm going to enter,I: I'm going to enter
1:49,I：気持ちいいーー！,I: I feel good!,I: It feels good!
1:54,I：もう5分ぐらいしか経ってないんですけど 肌がキュッキュなってます,"I: It's only been about 5 minutes, but my skin is squeaky","I: It's only been about 5 minutes, but my skin is squeaky"
2:00,I：42度ぐらいかな そのぐらいのちょい熱めぐらいのお湯,I: Hot water of about 42 degrees,"I: About 42 degrees, a little hot water like that"
2:11,I：涼しい トリの方はどうなんでしょうかね...,I: What about cool birds ...,I: What about cool birds ...
2:16,女性専用お風呂へ,To a women-only bath,To a women-only bath
2:20,T：ここは女性の露天風呂ですね,T: This is a female open-air bath,T: This is a women's open-air bath
2:25,T：川が近くていいねー 綺麗ですねー,T: It's nice to be near the river,T: It's nice that the river is near-it's beautiful-
2:35,I：どうだった？ T：よかった...,I: How was it? T: Good ...,I: How was it? T: Good ...
2:38,I：めっちゃ体あったかいね T：誰にも会ってない,I: It's really warm T: I haven't seen anyone,I: It ’s really warm. T: I have n’t met anyone.
2:42,I：俺も　貸し切りだった,I: I was also a charter,I: I was also chartered
2:45,T：結構オープンだったでしょう？ I：丸見えだった でもそこまで恥ずかしくなったけど,"T: It was pretty open, right? I: I was barely visible, but I was ashamed so much","T: Was it quite open? I: It was completely visible, but I was so embarrassed"
