More,Categories,Time,Food,Home,Daily,Weather,Kitchen,Cooking,Supermarket,Health,Places,Transportation,Person,School,Nature,Interest,Work,Restaurant,Mastery,Adverbs,Verbs,Adjectives,Similars
"山形県# Yamagata Prefecture","年# year","年# year","食べ物# food","いつか広い家に住みたい# I’d like to live in a big house someday","起きる# to get up","天気# weather","台所# kitchen","鶏肉# chicken","自動ドア# automatic door","様子# situation, state, appearance, sign, indication","町# town, neighbourhood","交通# transportation","私は長男だ# I'm the eldest son","学校# school","自然# nature","スポーツジム# sports gym","仕事# job, work","何何名様ですか# How many people?","何気ない# casula, nonchalant","今にも雨降りそうだ# Looks as if it’s going to rain at any moment","知り合う# to get to know each other","基本的な知識# basic knowledge","熱心# zealous, enthusiastic, ardent, fervent, keen, eager"
"鶴岡市# Tsuruoka City","月# month","月# month","果物# fruits","家に電話しなければなりません# I have to call home","目が覚める# to wake up","明日の天気はどうですか# How’s the weather be like tomorrow?","電子レンジ# microwave","豚肉# pork","買い物# shopping","事態# situation, (present) state of affairs, circumstances ","街# town, city","交通事故# traffic accident","私は長女だ# I'm the eldest daughter","小学校# elementary school","山# mountain","スポーツ# sports","職業# occupation","2人です# what","何分# some, little","今に分かるでしょう# You understand now, right?","話し合う# to discuss together","重要な資料# important materials/data","熱中# being enthusiastic about; being wild about"
"農家# farmer","日# day","日# day","りんご# apple","部屋# room","今朝、地震で目が覚めました# I was woken up by the earthquake this morning","天気予報# weather forecast","ガスレンジ# gas stove","牛肉# beef","ショッピングカート# shopping cart","状態# situation, condition, state, appearance","市# market, city","交通の便# convenience/ease of access","私は末っ子だ# I'm the youngest","小学生# elementary student","川# river","運動# exercise","会社員# company employee","申し訳ございません。只今、満席です# We're sorry. We are full right now","何だが# little, somewhat","いよいよ結婚式だ# It's finally a wedding","お互い助け合う# to help one another","性格な情報# accurate information","情熱# passion, enthusiasm, zeal "
"幅# width, breadth","日にち# date","日にち# date","みかん# orange","トイレ# toilet","目覚まし時計# alarm clock","晴れ# sunny weather","冷蔵庫# refrigerator","海老# shrimp","棚# shelves","状況# state of affairs (around)","都会# city, metropolis","交通費# transportation fee, travelling expenses","彼は私の従兄弟だ# He's my cousin (male)","中学校# junior high school","海# sea","水泳# swimming",,"待ち時間はどのくらいですか# How long is the wait time?","何て# what","じきに終わるだろう# It'll probably be over soon ","抱き合う# to hug each other","完全なデータ# complete data","熱意# zeal, enthusiasm, ardor, ardour "
"ソーラーパネル# solar panel","曜日# day of the week","曜日# day of the week","レモン# lemon","お手洗い# restroom","目覚ましヲセットするのを忘れました# I forgot to set my alarm clock","週末の天気は晴れだって。よかったね# It’s going to be sunny this weekend. Great!","水道# water supply","かに# crab","値引き商品# clearance items","調子# tune, tone, way, manner, state of health","都市# city, municipal, urban","車# car","彼女は私の従姉妹だ# She's my cousin (female)","中学生# junior high school student","波# wave","マラソン# marathon",,"どのくらい待ちますか# How long will I have to wait?","何と# what, how","至急ご連絡ください# Please contact us as soon as possible","ベッドから起き上がる# to get out of bed","さまざまな料理# various dishes","意気込み# ardor, enthusiasm "
"太陽# sun","週# week","週# week","バナナ# banana","お風呂が付いている部屋がいいです# I’d like a room with an attached bath","食器を洗う# Wash the dishes","晴れる# to become sunny","蛇口# faucet, tap","野菜# vegetable","賞味期限# best before date","具合# condition, state, health (state)","区# ward, district","自動車# automobile","孫が生まれる# A grandchild is born","高校# high school","海岸# coast","ジョギング# jogging",,"ご予約はされていますか# Do you have a reservation?","何という# what, how","後で電話する# I'll call you later","テーマに取り上げる# to take as a theme","豊かな自然# abundant nature","気負い# eagerness, enthusiasm, fervor, excitement"
"光# light","週末# weekend","週末# weekend","メロン# melon","台所# kitchen","石けん# soap","雨# rain","レバー# lever","キャベジ# cabbage","消費期限# expiration date","用語# terminology, wording","首都# capital city, metropolis ","タクシー# taxi","そっくりな双子# Identical twins","高校生# high school student","空# sky","登山# mountain climbing",,"7時に予約している~です# I have a reservation at 7:00","何とか# somehow","いつか結婚する# We'll get married someday","箱を持ち上げる# to pick up a box","貧しい家庭# poor family","価格# price, value, cost "
"自動# automatic","時間# hours","時間# hours","いちご# strawberry","洗面所# washroom","洗剤でよく洗ったほうがいい# You should wash it properly with detergent","雨の場合は中止です# In case of rain, It will be cancelled","流し# sink","人参# carrot","ポイントカード# point card","全国# nationwide, countrywide","市内# (within a) city, local ","バス# bus","親戚が集まる# gather together with relatives","大学# college, university","雲# cloud","ハイキング# hiking",,"いいえ、予約はしていないです# No, I don't have a reservation","何としても# no matter what it takes","まず基本を覚える# Learn the basics first","論文を書き上げる# to finish writing a paper","親しい関係# close relation","値段# price, cost"
"邪魔# hindrance, obstacle, nuisance","日間# days","日間# days","ぶどう# grape","玄関# entryway","犬の散歩をする# Walking the dog","大雨# heavy rain","やかん# kettle","きゅうり# cucumber","クーポン# coupons","新た# new, fresh, novel","市立# municipal, city ","バス停# bus stop","仲のいい夫婦# intimate couple","大学生# college student","太陽# sun","釣り# fishing",,"ご案内いたします# Follow me, please","何となく# somehow or other","そろそろ帰る# I'm leaving soon","作品を生み出す# to create a work","詳しい地図# detailed map","代金# price, cost, charge, payment, bill, fee"
"濁ります# to become muddy, to become cloudy, to become dull","週間# weeks","週間# weeks","すいか# watermelon","門# gate","毎朝、犬の散歩しています# I walk my dog every morning","雪# snow","鍋# saucepan, pot ","ジャガイモ# potato","割引券# coupons","発生# outbreak, occurrence","市街# urban areas, the streets","観光バス# tour bus","彼女は私の親友だ# She's my best friend","大学院# graduate school","月# moon","キャンプ# camping",,"お好きな席どうぞ# Please have a seat anywhere you like","何とも~ない# not be able to","いきなり頼む# To request unexpectedly","箱から取り出す# to take out of the box","曖昧な返事# vague/ambiguous reply","代価# price, cost, charge, consideration (in a contract) "
