Script,Meaning
ミスコンお祝いということで,It's a celebration of Miss Congeniality
京都旅行に行ってきます,We`re going on a trip to Kyoto!
京都初めて?,First time in Kyoto?
いや、なんか年に4回くらい行ってます,"No, I go there about four times a year"
めちゃ京都に行ってる,You've been to Kyoto a lot
かこちんは地元が広島だからね,Kako-chin's hometown is Hiroshima
京都全然行ったことない,I've never been to Kyoto at all
そうなんですか,Oh really?
1回しか行ったことがないかも,Maybe I've only been there once
京都めちゃいいとこなんですよ,Kyoto is a very nice place!
今日はかこちんに案内任せましょ,Let Kakocin guide us today!
今日の意気込みを教えてください,What is your enthusiasm for today?
