Script,Meaning,Expression,Concept
サッカーを見るのが好きです,I like to watch soccer,⚭ Vdict + no ga suki desu,I like to
自転車に乗るのが嫌いです,I don’t like riding a bicycle,⚭ Vdict + no ga kirai desu,I don’t like to
ピアノを弾くのが得意です,I am good at playing piano,⚭ Vdict + no ga tokui desu,I am good at (one’s forte)
ピアノを弾くのが上手です,I am good at playing piano,⚭ Vdict + no ga jouzu desu,I am good at
絵を描くのが苦手です,I am not good at drawing a picture,⚭ Vdict + no ga nigate desu,I am not good at
絵を描くのが下手です,I am bad at drawing a picture,⚭ Vdict + no ga heta desu,I am bad at
パーティーに行くつもりです,I intend to go to the party,⚭ Vdict + tsumori,I intend to
寝る前に本を読みます,I read a book before going to sleep,⚭ Vdict + mae ni,Before doing
荷物を持ちましょうか,Shall I carry your bag,⚭ Vnoun + mashouka,Shall I / Shall we
新宿に映画を見に行きます,I’ll go to Shinjuku to see a movie,⚭ Vnoun + ni ikimasu,Go to do
昨日ケーキを食べすぎました,I ate too much cake yesterday,⚭ Vnoun + sugiru,Too much
ラーメンが食べたいです,I want to eat ramen,⚭ Vnoun + tai,I want to
ラーメンが食べて欲しいです,I want you to eat ramen,⚭ Vte + hoshii,I want you to
ゆっくり話してください,Please speak slowly,⚭ Vte + kudasai,Please do
ひらがなで書いてもらえませんか,Could I have you write it in hiragana,⚭ Vte + moraemasen ka,Could I have you
渋谷に行ってご飯を食べる,I’ll go to Shibuya and eat some food,⚭ Vte + .. Verb,do and do
今日早く帰ってもいいですか,May I leave early today,⚭ Vte + mo ii desu ka,May I
充電器を借りってもいいですか,May I borrow a charger,⚭ Vte + mo ii desu ka,Is it ok to
今日本語を勉強している,I’m studying Japanese now,⚭ Vte + iru,-ing (continuous action)
埼玉に住んでいる,I’m living in Saitama,⚭ Vte + iru,-ing (continuous state)
昨日の夜８時ごろお風呂に入っていた,I was taking a bath about 8pm last night,⚭ Vte + ita,I was -ing (continuous action in the past) 
10年前パリに住んでいた,I used to live in Paris ten years ago,⚭ Vte + ita,I used to (continuous state in the past)
まだ昼ごはんを食べていません,I haven’t eaten lunch yet,⚭ mada ~ Vte + imasen,I haven’t yet
富士山位登ったことがあります,I have climbed Mount Fuji,⚭ Vta + koto ga arimasu,I have been to / have done
駅まではバス行ったほうがいいですよ,It’s better to go by bus to the station,⚭ Vta + hou ga ii desu,Its better to
映画を見たり、買い物をしたりします,I do things like watching movies and going shopping,⚭ Vtari + .. Vtari shimasu,"I do things like -ing, -ing"
お金があったら、世界中旅行します,"If I had the money, I would travel around the world",⚭ Vtara (conditional form),If I Verb (conditional form)
