Word,Reading,Meaning
確信,かくしん ,"conviction, belief, confidence"
安全,あんぜん ,"safety, security​"
補給する,ほきゅうする,"supply, supplying, replenishment​"
挽く,ひく,"to saw, to grind, to mill"
世界一,せかいいち ,best in the world​
災害,さいがい ,"calamity, disaster, misfortune​"
探索する,たんさくする,"search, lookup, hunt, (item of) research, exploration"
初日,しょにち ,"first day, opening day​"
適度,てきど,"moderate (degree), proper (amount), temperate, suitable​"
海側,うみがわ ,seaward side
給料,きゅうりょう ,"salary, wages, pay​"
勧告する,かんこくする,"advice, counsel, remonstrance, recommendation"
義務感,ぎむかん ,sense of duty (obligation)​
返上する,へんじょうする,"give up, relinquish, serve up, let loose"
血液型,けつえきがた,"blood type, blood group​"
痩せすぎ,やせすぎ,"too thin, underweight​"
結構,けっこう,"splendid, nice, wonderful, delicious, sweet, quite, fairly"
車中泊,しゃちゅうはく ,"spending the night in a car, train, bus, etc."
ついつい ,ついつい ,"unintentionally, unconsciously, by mistake"
古典的,こてんてき ,"classical, classic​"
焼きたて,やきたて,"fresh made, freshly baked, freshly roasted​"
放置,ほうち ,"leaving as is, leaving alone, leaving to chance"
