w1,w2,w3,w4,w5,w6,w7,w8
高い,注意,低い,電子,女の子,歴史,歌手,私
毎年,会う,病院,友人,気分,出会う,記事,全国
休む,三つ,事故,作品,子,活動,線,聞く
関係,川,時計,いつ,大いに,計画,お金,牛
文字,送る,作る,危険,最初,人間,怪しい,料金
険しい,天気,母親,重要,友達,全体,絶対,道路
立つ,入学,失敗,着る,場所,自然,間,残る
犬,面食い,今月,有名,政治,半,階段,残す
練習,北,肉,必要,近い,足,中止,部分
少女,言う,庭,です,雑誌,機能,行く,帰り
最近,科学,弟,生活,地下,夢,複雑,行き
文学,息子,早い,見つかる,産業,電気,表現,つまり
明らか,考え,雪,用意,今度,一般,下り,技術
文化,待つ,当時,花,歌,連絡,状況,週
国,賢い,公園,銀行,赤い,日本,探す,方向
同じ,七,少し,彼女,無理,八,最も,判断
午前,分かる,音楽,工場,位置,箱,以外,ある
南,地図,生徒,不満,春,卒業,日記,無料
意見,野菜,一緒,料理,西,上がる,相談,商品
外国,読む,番号,木,六,一体,効果的,再び
予定,安全,知る,場合,全部,便利,非常,乗る
長男,変わる,普通,発見,世界,一,国民,酒
九,会場,恐ろしい,確認,厳しい,地球,期間,光
呼ぶ,少ない,黒い,質問,校長,一生,天,楽しみ
今日,例えば,新聞,起こる,男性,代表,確か,詳しい
兄弟,今年,十分,千,新しい,食品,直接,機械
難しい,試験,年間,物語,出身,上げる,物質,実際
学校,読書,写真,休み,十,今回,国会,集中
元気,一人,年,分野,建物,始まる,発行,文章
比べる,運ぶ,教会,授業,特に,良い,書く,父
同時,男の子,使う,注目,最後,結婚,学習,茶
電話,部屋,行動,耳,男子,以下,都市,将来
黒,みんな,映画,豊かな,町,走る,森,馬
現在,切る,人口,重い,種類,日,時期,可能
語る,見る,英語,本人,過去,発表,責任,経済
来る,入院,意味,地震,人物,緑,東,後
売る,窓,始め,広い,相手,地域,努力,大事
自由,長い,車,人生,勉強,合わせる,静か,合う
一つ,選手,法律,動物,自身,道,年代,どこ
買う,番組,面白い,気,村,出る,昔,簡単
一般的,先生,友,半ば,きつい,子供,寝る,試合
冬,本来,食べる,立場,手紙,会議,記録,約束
言葉,きっかけ,開始,以上,時代,上り,決して,昼間
時間,社長,家族,内容,青,青い,出発,優しい
夏休み,白い,歌う,旅行,国家,激しい,同様,読み
教室,気持ち,話す,四つ,話,船,不足,起きる
出す,音,急,四,魚,来年,期待,国語
午後,土地,二人,食べ物,不安,目的,生きる,方法
紹介,大半,手,台風,必ず,昼,つもり,守る
理由,問題,教育,横,駅,右,遅い,市民
何,後ろ,大会,五つ,日時,二つ,作家,発売
名前,百,取る,参加,大好き,高校,人気,住所
明日,雨,作業,集める,女性,偉い,数字,頼む
会話,楽しい,仕方,新た,思う,母,言語,火
電車,家庭,中学,原因,学ぶ,通る,大変,程度
運転,自分,鳥,持つ,小説,説明,事実,深い
選ぶ,会社,仕事,食事,病気,おかしい,違い,終わる
今,毎月,父親,今後,押す,通う,交通,時
見せる,誰,空気,運動,空港,靴,報告,美しい
毎日,長女,声,海外,なお,見学,七つ,以来
特別,学生,反対,医者,海,小学校,身長,情報
行う,使用,漢字,夕方,外す,大きい,経験,本当
三,警察,毎週,以前,少年,神社,渡す,飲む
研究,利用,戦争,途中,両親,決定,遊び,協力
