Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
トマトジュース一缶、コンソメー個、野菜はあらかじめカットしておく,"One can of tomato juice, one consommé, pre-cut vegetables.",ない、ない、ない、ない、ない、ない、ない,"No, no, no, no, no, no, no.",ようし、おまえらよくきけ,"All right, girls, listen up.",そう言えば、テレビの旅番組で、たまに紹介されとるね,"Oh, by the way, it's often featured in TV travel programs.",そろそろ閉めなきゃだけど、,"I should probably close the door, but...",四尾連湖。本栖湖の北西に位置する小さなカルデラ湖。,Lake Yotsuoren. A small caldera lake located northwest of Lake Motosu.,あき見せたい物がある言うてたけど、何なんやろう?,"She said she wanted to show me something, but I don't know what it is.",リン、おはよう,"Good morning, Lynn.",やばい、やばい、もう5時過ぎてる,"Oh no, oh no, it's past 5:00.",わー、めっちゃ広え,"Wow, it's so spacious!",遅くなっちゃった,I'm late.
コッヘル1個あればできるのか、今度やってみようかな,"I can make it with just a cocoon, maybe I'll try it next time.",あれ？あった、テント,Huh? There it is. The tent.,野クルも三人になったことだ,Now that there are three of us in the camp.,まあ、有名な温泉だしな,"Well, it's a famous hot spring.",暖かくて出られん,But it's too warm to go out.,江戸時代には富士八海の1つとして数えられた紅葉の名所,"In the Edo period (1603-1868), it was one of the eight seas of Fuji, and is famous for its autumn foliage.",明後日からテストやし、はよ帰らなあかんのになあ,"I've got a test the day after tomorrow, and I've got to get home soon.",お、こんな時間に起きてるなんて珍しい,"Oh, it's so rare to see you awake at this hour.",まさか寝過ごすなんて,I didn't expect to oversleep.,先生,"Hey, Doc.",千明たちもう始めてるかな,I wonder if Chiaki and the others have already started.
ラーメンも飽きたし,I'm tired of ramen.,なんか違う,Something's wrong.,本格的に冬キャンの準備を始める,We'll start preparing for winter camp in earnest.,早朝からやってて、日の出見ながら入れるんだろうな,"I guess they open early in the morning, so you can watch the sunrise while bathing.",今年も後１ヶ月ちょっとか,Only a month to go this year.,ここでは丑三つ時になると、昔、牛に倒された牛鬼の亡霊が湖面に現れるという言い伝えが,"There is a legend that at three o'clock in the morning, the ghost of a cow demon who was killed by a cow appears on the surface of the lake.",寒いから入ってみたけど,"It was cold, so I went in.",今から寝るんです,I'm going to bed now.,確か、ここからキャンプ場まで1時間半だから,It's only an hour and a half from here to the campground.,テント張るところ決まりました,I've decided where to pitch the tent.,おい、リン、こっちこっち,"Hey, Lin, over here"
ラーメン...あいつ、うまそうに食ってたな,Ramen... I'm tired of ramen.,寒寒う,It's cold.,オッス!,Oss!,日の出か、いいね,Sunrise. That's nice.,長野よかったな,Nagano was great.,あるとかないとか。,Please help me.,こん中も冷たえ,It's cold in there too.,今日はどこ行ってんの？,Where are you going today?,到着6時半じゃんか,It's 6:30.,じゃ、あたしは荷物運んでおきますので,I'll take care of the luggage.,しまさん,Mr. Shima
今度ちゃんとキャンプやろうね,Let's camp properly next time.,これじゃキャンプできないよ,We can't camp like this.,オッス!,Oss!,あぁ、シャワー温かい,"Yeah, the shower is warm.",いろいろ回れたし、,We got to see a lot of places.,お願いします。今夜は出ないでください、出ないでください！,"I beg you. Please don't come out tonight, please don't come out tonight!",中で動いて摩擦で温めれば,I'll just have to move inside and let the friction warm me up.,今日はソロで上伊那,Today I'm going solo to Kamiina,そうだ！,That's it!,2人は受付お願いします,"You two, take care of the reception.",待ってたぞ,I've been waiting for you
一回ぐらい誘った方がいいんだろうか,I wonder if I should ask him out at least once,富士山,Mt Fuji.,部長、いつキャンプやるんですか。,"Chief, when are you going to camp?",あおいちゃん、露天風呂行く？,"Aoi, do you want to take an open-air bath?",温泉気持ちよかったし,The hot spring was nice.,なんの石碑に拝んでるの？,What stone monument are you worshipping at?,あき、おるか？,"Akki, are you there?",また長野かー寒そー,"Nagano again, it's so cold",あれ買っておかないと,I have to buy something.,了解です,"Yes, sir.",リン、久しぶり,"Lin, long time no see"
部室棟！部室棟！,The clubhouse! The clubhouse building!,斉藤さんだ,It's Mr. Saito.,今週は流石に厳しいから,We can't do it this week.,うん、行こか,"Yeah, let's go.",お土産渡そうと思ってたのに放課後になってしまった,"I was going to give her a souvenir, but it was after school.",読めん,I can't read it.,芋虫がのたうっとる,There's a caterpillar wandering around.,あれ？ソロって一人なの？,Huh? Solo? You mean you're alone?,いらっしゃいませ,Welcome!,先生、さっき道の駅で超でっかいベーコン買っていましたよね,"Sensei, you bought a huge piece of bacon at the roadside station earlier, didn't you?",みんな久しぶり,Long time no see
暖かくなるまでまだいっか。,Let's wait until it gets warmer.,お姉ちゃん,"Hey, Sis.",まあ、来週かその辺りだ,"Well, next week or thereabouts.",あと４０キロか,Only 40 kilometers to go.,クラス違うけど、どこかで見かけると思ったんだけどなあ,"We're in different classes, but I thought I'd see you around...",おい、どこへ行く？,"Hey, where are you going?",いてててて,"Whoa, whoa, whoa.",なでしこちゃんとキャンプって言ってなかったっけ？,Didn't you say you were going camping with Nadeshiko?,ジューシー豚まん１つください,"One juicy pork bun, please.",今日はあれでお酒飲むんですか？,Are you going to drink alcohol with that today?,遅くなってごめんね,Sorry I'm late.
あった！部室棟！,There it is! The clubhouse building!,車出すの？,Are you taking the car out?,部長、どこでキャンプやるんですか。,"Chief, where are we going to camp?",免許取り立てでこの距離はちょっと無謀だったかも。寒い,"I've just gotten my license, so this distance might have been a bit reckless. It's cold.",なんだこれ？,What's this?,そう、今日は高校の友達とキャンプしてるのよ,"Yeah, I'm camping with some friends from high school today.",何やっとるの？,What are you doing?,試験休みにキャンプ？,Camping during exam break?,町の明かりを抜けると一気に寂しくなるな,"Once you get past the lights of the town, it gets lonely.",え？お酒は夜に少して見てたんですか？,What? You're going to drink a little at night?,高速込んでて,The highway was crowded.
ここだ！,Here it is!,出すけど何その荷物？,"Yes, but what's with the luggage?",これから決めていくぞ！,We'll decide now!,そう言えば、なでしこは温泉入ってくるって言ってたな。温泉。,"Oh, by the way, Nadeshiko said she was going to take a bath in the hot spring. Hot springs.",私こんなの入れたっけ?,Did I put this in here?,絶対父さんに似たのよ、あの子。,"She's definitely like her dad, you know?",って言うか見せたい物て何なん？,"I mean, what is it you want to show me?",うん、行く行く,"Yeah, I'll go!",くら（＝暗い）めっちゃくら,It's so dark in here.,私たちに遠慮しなくてええですよ,Don't be shy with us.,名古屋から寒かったやろう,It must have been cold coming from Nagoya.
