Script,Meaning
ボトルを打つ,Hit the Bottle
くぎを打つ,Hitting the nail
打者,Batter
屋根を打つ雨の音,The sound of rain hitting the roof
打ち合わせる,Meeting
石を投げる,Throwing stones
さじを投げる,Throwing a spoon
投手,Pitcher
株に投資する,Invest in stocks
新聞に投書する,Write a letter to a newspaper
録音ボタンを押す,Press the record button
判を押す,Stamp a seal
押し入れ,Closet
扉を押さえる,Hold a door
押印,Affix a seal
辞書を引く,look up a word in a dictionary
文を引用する,Cite a sentence
引き算,Subtraction
地球の引力,Earth's gravitational pull
引退する,Retire
海岸で貝を拾う,Picking up shells on the beach
タクシーを拾う,Picking up a cab
拾得物の係,Picking up an item
拾万円,"Picking up 10,000 yen"
拾い出す,Picking up
ごみを捨てる,Throwing away trash
空き缶を投げ捨てる,Throwing away an empty can
四捨五入する,Round up
吐き捨てる,Spit out
使い捨てる,Use and throw away
ナプキンを折る,Fold a napkin
折り紙,Origami
木の枝が折れる,Break a tree branch
角を右折する,Turn the corner to the right
折り合い,Fold together
くぎを抜く,Pull out a nail
腰を抜かす,Break the back
手抜かりはない,Do a good job
抜群の成績,Outstanding performance
抜け出す,Get out of bed
布団を掛ける,To hang up a futon
掛け算,Multiply
絵が掛かっている,A picture is hanging on the wall
手掛かりがない,No clue
切っ掛け,A clue
名前を呼ぶ,Call someone's name
教室の外へ呼び出す,Call out of the classroom
呼吸をする,Breathe
点呼する,Roll call
呼気,Exhalation
息を吸う,Breathe in
スポンジが水を吸う,Sponge absorbs water
土が雨水を吸収する,Soil absorbs rainwater
深呼吸する,Take a deep breath
吸い込む,Inhale
口笛を吹く,Whistling
強い風が吹く,A strong wind blows
吹奏楽,Blowing music
吹雪,Blowing snow
吹き付ける,Blowing
「火事だ」と叫ぶ,"Shouting, ""Fire!"""
叫び声,Scream
絶叫する,Scream
泣き叫ぶ,Crying out
叫び,Scream
7時に起きる,I wake up at seven
戦争が起こる,War is coming
起床する,Rise and shine
全員起立,All rise
起工式,Groundbreaking ceremony
ベッドに寝る,Lying in bed
昼寝をする,Take a nap
子どもを寝かす,Putting the children to bed
寝室,Bedrooms
寝台車,Sleeping car
赤ん坊が泣く,Baby crying
泣き声,Crying
悔し泣き,Crying in frustration
妹は泣き虫だ,My sister is a crybaby
母の死に号泣する,Crying over mother's death
笑い話,Laughing
笑い声,Laughing
笑顔がかわいい,I have a cute smile on my face
顔に笑みが浮かぶ,A smile appears on her face
微笑を浮かべる,A smile on the face
ころぼうを追う,Follow the rolls
料理を追加する,Add some food
猫がねずみを追いかける,Cat chasing a mouse
追放する,Banishing
追いつく,Catching up
追い越す,Overtake
山を越える,Over the mountain
年越しそば,New Year's Eve soba
前の車を追い越す,Overtake the car in front
優越感を待つ,Wait for superiority
引っ越してくる,Moving in
引っ越していく,Moving out
世俗を超越する,Transcending the mundane
富士山に登る,Climbing Mt.
山登り,Mountain Climbing
映画の登場人物,Characters in a movie
登山道,Mountain Trail
登校する,Going to School
空を飛ぶ,Flying in the sky
紙飛行機を飛ばす,Flying a paper plane
大空を飛行する,Flying in the sky
おりの中から飛び出す,Jumping out of a cage
水中に飛び込む,Jumping into the water
この町を去る,Leave this town
危険が去る,Danger leaving
去年,Last year
過去の出来事,Past events
逃げ去る,Running away
犯人を逃がす,Letting the criminal go
難を逃れる,Escape from danger
車で逃走する,Escaping in a car
逃亡を図る,Attempting to flee
見逃す,To miss
目が回る,To be dizzy
