Script.EP1,Translation.EP1,Script.EP2,Translation.EP2
（シンゾウ）おっ こんにちは あれ？,Hello. Huh?,（シンゾウ）おっ こんにちは あれ？,Hello. Huh?
（ナレーション）商店街から― 一本入った路地にある その居酒屋には…,In the alley next to the shopping street is a Japanese izakaya-style pub…,（ナレーション）商店街から― 一本入った路地にある その居酒屋には…,In the alley next to the shopping street is a Japanese izakaya-style pub…
（ヒロシ） どうも ありがとうございました,Thank you.,（ヒロシ） どうも ありがとうございました,Thank you.
（ナレーション） 物騒な名前が入った のれんが掛けられている,…that has an unsettling name on its shop curtain.,（ナレーション） 物騒な名前が入った のれんが掛けられている,…that has an unsettling name on its shop curtain.
しかし 勇気を持ってくぐった者は 気づくだろう,"However, those who have the courage to enter will come to realize",しかし 勇気を持ってくぐった者は 気づくだろう,"However, those who have the courage to enter will come to realize"
うまい酒とおいしい料理,that this place has good drinks and good food.,うまい酒とおいしい料理,that this place has good drinks and good food.
そして優しい人たちが ここにいることを… そして優しい人たちが ここにいることを… （馨(かおる)）あっ いらっしゃい そして優しい人たちが ここにいることを…,-And the company of warm-hearted people. -Welcome.,そして優しい人たちが ここにいることを… そして優しい人たちが ここにいることを… （馨(かおる)）あっ いらっしゃい そして優しい人たちが ここにいることを…,-And the company of warm-hearted people. -Welcome.
（美音(みね)）いらっしゃい,Welcome.,（美音(みね)）いらっしゃい,Welcome.
（馨）あっ じゃあ カウンターどうぞ,Have a seat at the counter.,（馨）あっ じゃあ カウンターどうぞ,Have a seat at the counter.
（ウメ）どうぞ,-Please come in. -Just a moment.,（ウメ）どうぞ,-Please come in. -Just a moment.
（馨）はい コート お預かりしますね,I'll take your coat.,（馨）はい コート お預かりしますね,I'll take your coat.
（美音）この店の店主だった父は よく言っていた,My father who used to own this pub would often say…,（アキ）私ですか 美音美音なんです 美音です 美音です （美音）ん？,Let me out. I'm Mine…
（健吾）どこの家庭でも 出てくるような料理で―,"We serve food that can be found in any household,",（アキ）美音ちゃん,Mine?
金取ってる うちの店は もう それだけでぼったくりだ,"We serve food that can be found in any household, and that in itself makes us a rip-off, a bottakuri.",美音ちゃん 美音美音ちゃん,Mine? -Mine-Mine? -Huh?
でもな 美音 たとえ ありきたりの料理でもな,"But Mine, even though they may be common recipes,",（美音）ん？ （アキ）みみみみ…,-Mine-Mine? -Huh? Mi-mi-mi-mi-ne-ne-ne.
一つ一つ丁寧に心込めて作んだ,cook every single dish with all your heart.,ねねねね… ちゃ～ん,Mi-mi-mi-mi-ne-ne-ne.
料理食べた人が 思わず笑みを浮かべるような一皿,A dish that unexpectedly brings smiles to people's faces…,（美音）はーい フフフ…,Yes?
それができて初めて―,"Once you can make that,",今度 ニンジンの葉っぱ 食べさせて,Let me have carrot leaves next time.
払った金 惜しくねえって 客が思ってくれるようになんだ,our customers will not regret the money they spend.,アキさん ニンジンの葉っぱが 食べたいの？,"Aki, you want to eat the carrot leaves?"
でも まだ父さんは そこまでじゃない,But I haven't reached that point yet.,うん… 油で炒めて―,Yes. I want it stir-fried with sugar and soy sauce so it's sweet and spicy
だから この店の名前は “ぼったくり”でいいんだよ,That's why Bottakuri is the right name for this place.,おしょうゆと お砂糖で 甘辛～く味付けて―,I want it stir-fried with sugar and soy sauce so it's sweet and spicy
（トク）美音坊 一番高い酒くれ！,"Mine-bo, pour me your best sake!",ゴマをたっぷり振ったやつ,with a lot of sesame seeds!
トクさん いらっしゃい,"Welcome, Toku.",はいはい 炊きたてご飯と一緒に… でしょ？,"I know it. It goes so well with freshly cooked rice, right?"
（馨）いらっしゃい カウンターどうぞ,Welcome. Have a seat at the counter.,そう！　そうなの！ やっぱり分かってるわ～,"Yes, that's the one! You sure know your cooking."
おいおい おいおい 殴り込みじゃねえんだからさ 現場で何かあったのかい？,"Hey now, don't come in throwing fists. Did something happen at work?",（馨）あれ おいしいよね （アキ）うん！ でも 食べたことある人 意外と少ないかも あれ,"I love it, too. But not a lot of people have had it."
（トク）あ？ （シンゾウ）“あ？”じゃないよ,Huh? Don't give me that. You really look like you could blow off some stream.,そうだよね すっごく貧乏くさいもん,True. It's a poor family's dish.
何だよ 憂さ晴らししたくて しょうがねえって顔してるよ,Don't give me that. You really look like you could blow off some stream.,アキさんの思い出の味なの？,Is it a memorable dish of yours?
（美音）じゃあ “ぼったくり”の 名にふさわしく― 一番高いお酒で ぱーっと…,"Well then, true to our Bottakuri namesake, I shall get you the most expensive drink…",うーん お母さんの味 もう死んじゃったけど…,It's my mom's cooking. She's passed away though.
と言いたいところですが,Is what I would like to say but…,季節の変わり目にね よく豚汁を作ってくれて…,"At the change of seasons, she'd often cook tonjiru for me."
何だ 美音坊 “言いたいところですが”ってよ,"Why do you have to say it like that, Mine-bo?",そのニンジンに葉っぱが ついてたんだろうなあ,The carrots she used probably had leaves on them.
今日のおすすめには 違うお酒のほうが合いそうなんです,I believe a different drink will pair better with today's special.,おいしかったな,It was so good.
おっ おでんか,"Oh, it's oden.",豚汁と炊きたてのご飯と ニンジンの葉っぱ,"Tonjiru, freshly cooked rice and carrot leaves."
ああ 今日は寒の戻りって 感じだから いいかもね,It got cold all of a sudden again so that sounds good.,自分で作ったりしないの？,Don't you cook it yourself?
うん 熱いおでんを 頂こうじゃねえの,"Yes, I'll have the hot oden please.",ニンジンの葉っぱなんて 売ってるの見たことないよ,I can't find carrot leaves at the store.
（美音）はい （シンゾウ）はい 俺も,"-Sure. -Me, too.",そっか そこからか…,"Right, you have to start there."
はい じゃあ お酒はどうします？,Yes. What are you drinking?,美音ちゃんなら 作ってくれるかなあってさ,"I was hoping you would make it for me, Mine."
美音坊に お任せだ,I'll leave it up to you.,じゃあ今度 葉っぱつきのニンジン 仕入れておくね,Then I'll buy carrots with leaves next time.
分かりました,Okay.,あ･り･が･と～,Thank you.
（シンゾウ）来ましたよっと,Here it is.,どういたしまし… （アキ･美音）て～！,-You are… Welcome! -Welcome!
（馨）おでんもどうぞ （トク）おおっ,-Here is your oden. -Whoa.,（アキ）うん （美音）もう少し飲む？,Do you want some more?
（トク）おお これ… うまそうじゃねえかよ え？,"Oh wow, it looks so good. Wow.",ん～ 大丈夫 （美音）うん スペシャル茶漬け お願い,I'm good. Could I have the special ochazuke?
（シンゾウ）はいはい じゃあ はい いただきやす,"Okay then, let's dig in.",はいはい だしをうんと熱くしましょうね,"Sure, I'll make it with steaming hot dashi."
おいおい トクさん トクさん おい まずは乾杯じゃねえのかよ おい,"Hey, Toku. What about our toast?",うん！,Yes.
でもよ この分厚い大根が どうにもこうにも― 食ってくれってよお,But this plump daikon radish is just begging me to eat it.,いい香りだね～,It smells good.
一口だけ お先,Let me have one bite.,うん ちょうどいい,It's just right.
（馨）ありがとうございました,Thank you very much.,（馨）はい お待たせ,Here you go.
飲みやがった この野郎 （美音）ウフフ…,This bastard took a sip.,（アキ）ありがと～,Thank you.
人が せっかく待ってんのに,And here I was waiting for you!,ん～ おいしそう,Looks tasty. Thank you for the food!
アハッ すまねえ シンさん,"I'm sorry, Shin!",ウフッ いただきます （美音）はい,Looks tasty. Thank you for the food! Enjoy.
しょうがねえな このおやじ,This old man can't be helped.,あ～ フフッ 幸せ ぜいたくすぎるわ これ もう,I'm so happy. This is too luxurious.
この酒は…,This sake is…,ん～ うまい！,It's good.
分かりますか？,Do you know what it is?,おやすみ フフ…,Good night.
うん,Yes…,アキちゃん 今日 いつもより疲れてたみたいね,Aki seemed more tired than usual.
ちゃんと米の香りが残っているのに 重さがないね,It has a proper aroma of rice but the taste is light.,うん 仕事が忙しかったのかな…,Yeah. Maybe she had a busy day at work.
で この熟成のうまみと― 後切れもさっぱり,And it has a mature flavor as well as a refreshing aftertaste.,やだ 風邪？ （馨）ん？　ううん 大丈夫,"Is that a cold? No, I'm fine."
うん…,Yeah.,（美音）今日は もういいから 休みなさい 季節の変わり目は気をつけないと,Go home and rest. You have to be careful around the change of seasons.
おっ またシンさんの勝ちかい？,Oh? Has Shin won again?,（馨）うん はーい,Okay.
まだ分かりませんってば,We don't know yet.,（美音）いらっしゃい,Welcome.
お姉ちゃん 諦めなよ シンゾウさんには かなわないって,"Let it go, Sis. You can't beat Shinzo.",（要(かなめ)）もう閉めるとこかな？,Are you about to close?
俺はね 美音坊が生まれるずっと前から 酒 飲んでんだよ,I've been drinking sake since years before Mine-bo was born.,（美音）ああ びちょびちょ,You're soaking wet.
あれこれ知ってて当然ですよ,Of course I know a lot of things.,少し雨宿りをさせてほしいんだけど,Could I take shelter from the rain a bit?
（美音）そりゃあ そうでしょうけど…,"That may be true, but…",（美音）あ もちろんです コート お預かりしますね はい,"Of course, let me take your coat. Here."
まあ 年寄りに花持たしてやりなよ,Let the old man have his glory.,よければ カウンターどうぞ はい,Have a seat at the counter.
で シンさん 今日の酒は？,"So Shin, what is it?",タオル 使ってください,Please use this towel.
ずばり… “諏訪泉(すわいずみ)”,I've got to say it's Suwaizumi.,（要）あ どうも （美音）はい,-Thanks. -Sure.
