Time,Script,Translation
21s,（繭子(まゆこ)）よし 完璧,Perfect.
26s,行きますか,Time to go.
33s,絹よし！,"Silk, okay."
2:30,（由梨）マユ！,Mayu!
2:32,（繭子）由梨？,Yuri.
2:35,やっぱりね 忘れてたんでしょ,I knew it. You forgot.
2:38,（繭子）ごめん ごめんごめん,Sorry.
2:39,朝 一緒にお茶してから 行こうって言ったよね？,We were supposed to have tea before work.
2:42,電話くれたらよかったのに,You should have called me.
2:44,（由梨）うん なんかさ 隣の人と仲良くなっちゃって,"Well, I hit it off with a guy sitting next to me."
2:48,しゃべってたら 時間たっちゃった,"We started talking, and time flew by."
2:50,もう知り合い？,Friends already?
2:52,なんか やってけそうな気がしてきた！,I'm starting to feel like I can make it here.
2:56,えっ 変？ すっごい悩んだの 何着て行こうかなって,"Hey, do I look okay? I had a really hard time deciding what to wear."
3:01,浮いてる？ おかしい？ 田舎者ってバレる？ ううん,-Do I look weird? Like a hick? -No.
3:05,なんか すごく努力してるって 感じがして 好感持てる,You look like you've made an effort. You'll make a good impression.
3:09,（由梨）普通に かわいいって言ってよ,Can't you just say I look cute?
3:11,ていうかさ 私たち シルクとか繊維の勉強してきたのに,"You know, we studied textile at college,"
3:15,マユ なんで社会人デビューが そんな格好なの？,and you chose to wear that on your first day?
3:18,え？ いや だって スーツだよ？,What? But it's a suit.
3:22,まあいっか,"Well, whatever."
3:24,あっ うちの会社こっち じゃあね,"Oh, my office is this way. Bye."
3:29,社会人 頑張ろうね 東京に負けるな,We're off to a good start on our new lives!
3:31,なんてね またメールする！,We won't let Tokyo stop us! I'll e-mail you later.
5:01,おはようございます,Good morning.
5:05,（史香） あっ おはようございます （猿橋）おはよう,-Good morning. -Morning.
5:08,（宗介）新しい人…,-The new hire? -Ms. Tokita.
5:09,（麗子）時田(ときた)さん 場所 迷わなかった？,-The new hire? -Ms. Tokita. Found this place all right?
5:13,時田繭子です 今日から お世話になります,I'm Mayuko Tokita. Pleased to meet you.
5:16,あの… 私 遅刻ですか？,"Um, am I late?"
5:19,そうじゃないのよ 今 うち…,It's not that. Just--
5:21,（瑞希）時田さん さっそくだけど 仕事お願いしてもいいかしら,"Ms. Tokita. You just got here, but I need to give you a task."
5:24,あっ はい,Yes.
5:26,（瑞希）この生地見本を 日暮里にある 関口商店っていうお店に 届けてもらえる？,Could you take this fabric sample to Sekiguchi in Nippori?
5:31,場所は教えるから 輸入生地のお店,I'll give you the address. It's a fabric store.
5:33,日暮里って繊維の街ですよね？,"Nippori, the fabric district."
5:36,来て早々 悪いわね,Sorry for rushing you like this.
5:38,ヒメ （宗介）はい,-Hime. -Yes?
5:39,（瑞希）地図 渡して （宗介）はい！,-Give her the map. -Okay.
5:40,（麗子） バタバタしてて ごめんなさいね たまたま この週末に トランクショーがあるのよ,Sorry for the chaos. We're having a trunk show this weekend.
5:44,トランクショー？,-Trunk show? -Unveiling of our new products.
5:46,新作の発表会　ショーをやるの この お店の中で,-Trunk show? -Unveiling of our new products. We'll put on a show here in the store. 2015 FALL-WINTER PRODUCT LAUNCH
5:51,ねえ フィッティングの写真は？ ああ はい！,"-Hey, photos of the fitting? -Yes."
5:55,すいません,Sorry about that.
5:57,（猿橋）きれいでしょう,Isn't this gorgeous?
5:58,こんなのが目の前 歩くんだから 男は たまらんよ,These walk right in front of you. Heaven for men.
6:02,なあ？,Right?
6:03,いやいや 下着っていっても 僕は あくまでもプロフェッショナルからの スタンスで…,I look at those strictly from a professional--
6:06,言えてないよ,You are mumbling.
6:07,遊んでないで！,-Stop fooling around. -Mizuki's edgy.
6:08,瑞希さん デビュー戦だから 殺気立ってるの,-Stop fooling around. -Mizuki's edgy. It's her debut.
6:11,キャラも変えてるんですよね？,"Changed your style too, right?"
6:13,形から入るタイプ 根が真面目だから,She designs shapes first. Straight as an arrow.
6:15,何とでも言って 今回に私は命を懸けてるの,Say what you like. I'm staking my whole life on this.
6:20,急いで！,Hurry up.
6:22,い… いってきます！,I'm off.
6:24,（メールの着信音）,"Wait, the map!"
6:27,（麗子）デザインの変更？ あと５日しかないのに,Design change? We only have five days. THESE THREE DESIGNS WILL BE CHANGED FOR THE APRIL 11 TRUNK SHOW
6:36,（猿橋）あー！ やっぱ変更ですよ,"Ah, the design change, as expected."
6:40,社長 そんな空気出してたもんな しかも… ３つもか！,"The boss seemed to be in that kind of mood. And what's more, three of them!"
6:45,（宗介）ショーまで あと５日ですよ？,Only five days until the show.
6:47,まー あれだ そう いつものこと,"Well, what's that saying? Nothing new. We'll just move on."
6:50,淡々といきましょう,Nothing new. We'll just move on.
6:54,フミちゃん 変更後のデザインは来てる？,"Fumi, do we have the new designs?"
6:56,あー ３つのうち ２つは来てますね,Um... We have two out of the three.
7:01,（瑞希）これ全部 私の…,All these are my design.
7:05,（麗子）社長 また なんか思いついちゃったのね,"She came up with something, again."
7:07,じゃまず この２つ作って あと１つは…,"So we'll make these two, and the last one..."
7:12,ギリギリまで待つとしますか,We'll just wait. NEW HIRE TRUNK SHOW
7:14,（史香）ショーの進行も変えるとか イヤですよ,Will she change the staging too?
7:16,猿橋さん 社長に言ってくださいよ？,Talk to the boss.
7:18,そこはキープでしょう 何も言ってきてないんだし,I don't think she'll change that.
7:20,さすがに もう延期できないしね,We can't postpone it now.
7:22,招待状も出した アナウンスもした,We've already sent out the invitation.
7:24,５日後 ４月11日の トランクショーは決行,We'll go on with the show on the 11th.
7:28,これで行きましょう,That's our schedule.
7:29,（麗子･史香･宗介）はい,Okay.
7:38,貸して あっ はい,-Give it to me. -Yes.
7:41,いろいろあると思うけど 一緒に頑張ろうね,"I'm sure you'll go through a lot, but we'll do this together, okay?"
7:48,はい,Okay.
7:51,“Emotion(エモーション)はオーダーメードの 下着メーカーで”,"""Emotion is a made-to-order lingerie maker."
7:54,“お客様の体のサイズを 細かく採寸して”,"We take detailed measurements of our customers,"
7:57,“お客様のご要望を伺い その方のためだけの”,"listen to their requests, and make the one and only lingerie in the world for each of them."
8:00,“世界で たった１つの ランジェリーを作ります”,and make the one and only lingerie in the world for each of them.
8:04,“ですからこれは 社長 南上(なんじょう)マユミが提案するイメージで”,"So, these are just images that our president Mayumi Nanjo offers."
8:07,“売り物ではありません”,"They're not for sale."""
8:10,完璧ねえ,Perfect.
8:12,私 そんな スラスラ言えないわよ,I couldn't say it so smoothly.
8:14,こういうの “オートクチュール”って いうんですよね,"These are called haute couture, right?"
8:18,えーと まあ 厳密には違うんだけど,"Well, strictly speaking, they're not."
8:22,一点物ってことよね 贅沢よねえ,"They're one of a kind. Lavish, isn't it?"
8:25,本当 すごいですよね 繊維から開発するなんて,"It's really amazing, creating all the way from fabric."
8:29,そうね,Indeed.
8:31,えっ 繊維？,"What, fabric?"
8:33,ワクワクします,I'm so excited. I studied textile at college.
8:34,私 大学で繊維の勉強をしてて 自分でも卒業したら,I'm so excited. I studied textile at college. It's my dream to develop new materials like microfiber or carbon fiber.
8:37,マイクロ繊維とか炭素繊維みたいな 新素材の開発をやってみたくて,It's my dream to develop new materials like microfiber or carbon fiber.
8:41,待って待って うちは繊維の開発までは やってないわよ？,Wait. We don't develop new fabrics.
8:46,え？,Huh?
8:47,いやでも 南上社長が 一から作るって,But Ms. Nanjo said we create from scratch.
8:52,あなたが思ってる仕事とは 少〜し違うみたい,I think you have the wrong idea about our job.
8:55,ちゃんと社長と 話したほうがいいわよ,You should have a talk with her.
9:00,あそこが社長のアトリエ,That's her atelier.
9:12,（繭子）あっ これ…,This material...
9:16,レーヨンとポリウレタンの ベア天竺(てんじく)…,Bare jersey made with rayon and polyurethane.
9:19,伸縮性があって この滑らかさ…,Stretchable and so sleek.
9:22,優秀！,I'm in heaven!
9:25,（南上）独り言の多い子ね,Quite a soliloquist.
9:32,あ… 社長！ お… おはようございます,Ms. Nanjo... Good morning.
9:42,かわいいー,You're cute.
9:45,いいわね 若い子は もう いるだけでかわいい,I envy young girls. They don't need any effort to be cute.
9:49,てか まぶしいわよ お肌ピッチピチで,"Such radiant, firm skin."
9:52,何食べたら そんなツルツルになるの？,What do you eat to keep it?
9:54,あー 違うのよね 何食べたってそうなるのよ,"No, I'm wrong. It doesn't matter what you eat."
9:58,殺す気かってくらいしょっぱくて 油っぽいもん食べたって 次の日にはツルンよ,"You eat salty and greasy food to death, but it stays smooth."
10:03,蚊が滑るでしょ キメが整いすぎて 刺すとこないって？,I'll bet mosquitoes just slide off it. Nowhere for them to bite.
10:07,そんなわけないか,Just joking.
10:10,その生地の利点は何？,What's good about that fabric?
10:12,え？ （南上）それ レーヨンベア天竺,That. Rayon bare jersey.
10:15,ああ… ああ えっと,Oh. Um...
10:18,伸縮性があって発色が鮮やか,"Stretchable, produces great colors,"
10:21,吸湿性も優れているので 肌着としての機能性もあります,"and absorbs moisture well, very functional as underwear."
