Time,Script,Translation
17s,いやいや　まさか…,No... no way!
20s,（高木）ねえ 西片 （西片）ウッ…,"Hey, Nishikata."
23s,（高木）何してんの？,What's wrong?
25s,な… なに？　高木さん　別に何も,Takagi-san! Nothing's wrong.
32s,（西片）や… やってしまった！,I'm in trouble.
38s,う… うまく ごまかさなければ,I can't let her know.
41s,じゃなきゃ また 高木さんに からかわれる！,Or else... Takagi-san will tease me.
45s,もしかして 教科書 忘れた？,Forgot your textbook?
49s,次の英語の,It's English next.
50s,（西片）全部バレてる…,She knows!
57s,うん,Yeah.
1:00,じゃ 机くっつけて 見せてあげよっか？,"Well, let's put the desks together so you can see mine."
1:06,いいよ！　借りてくるから！,"No, thanks! I'll go borrow one."
1:09,誰からも借りられないほうに 賭けるよ,I bet nobody will lend you one.
1:13,クッ…　絶対 借りてくる！,I'll get one myself!
1:16,（高木）頑張って,Good luck.
2:57,（西片）なんとしてでも 英語の教科書を借りなければ！,"I have to borrow an English textbook, no matter what!"
3:02,机をくっつけるなんて 恥ずかしい！,It's too embarrassing to share one!
3:06,いつも 夜にチェックしていたのに—,Sixty-seven... I always double-check.
3:08,腕立てで疲れて 寝てしまったせいだ！,But last night I was too tired and fell asleep!
3:13,高木さんめ！,"Screw you, Takagi-san!"
3:15,（男子生徒） 英語の教科書？　持ってないぞ,English textbook? I don't have it.
3:18,（男子生徒）ないな　すまん,"Sorry, don't have it."
3:20,（浜口(はまぐち)） 悪い　今日は英語がないんだ,I don't have English today.
3:23,（木村(きむら)）持ってるよ （高尾(たかお)）俺も,I have one.
3:25,（西片）えっ？　ホントに？,"Me, too. Really?"
3:27,（木村）同じクラスだろう,-You're in my class. -Duh.
3:29,（高尾）バ〜カ （西片）ウッ…　そうだった,"-You're in my class. -Duh. Oh, yeah..."
3:32,ヤバイ！ なんてこった！ 今日 英語があるのは ウチのクラスだけとは…,"Oh, no! My class is the only one that has English today!"
3:40,（西片） このままでは恥ずかしいことに…,I'm going to end up... getting humiliated...
3:44,（女子生徒） じゃ 今度 持ってくるね,Please bring it next time.
3:45,（高木）あっ 西片 （西片）うん？,Nishikata.
3:48,（高木）借りられた？ （西片）ウッ…　いや…,Did you get one? No.
3:51,今日 英語あるの ウチのクラスだけだもんね,We're the only class that has English today.
3:57,あっ チャイムだ,Here's the bell.
4:01,ク〜ッ！ 初めから知ってたんだね 高木さん,She knew that from the beginning!
4:07,（田辺(たなべ)）いいか？,Okay.
4:09,じゃ あの…,Can I...
4:11,（田辺）授業 始めるぞ （西片）よろしく…,-Class is starting. -Please...
4:14,どうぞ,Go ahead.
4:16,（田辺）エブリバディー,Are you ready?
4:19,オープン･ユア･テキストブック,Open your textbook.
4:20,（高木）はい （西片）アア…,Page 37.
4:22,ンンッ…　あ… ありがとう,Okay? Thank you.
4:26,なんか 西片 恥ずかしがってる？,"Are you embarrassed, Nishikata?"
4:29,（西片）えっ？　べ… 別に （高木）ふ〜ん…,"What? N, no."
4:51,いやいや 待て待て！ 絶対 また からかうつもりなんだ！,No way! She's just teasing me as usual.
4:55,このあとに 〝からかえるし 〞とか 書き足して,"She's gonna add, ""Because I can tease you."""
5:05,からかってるわけじゃなくて—,She's not teasing me?
5:08,高木さん 俺のこと… （ツバを飲む音）,Takagi-san likes...
5:15,（西片）ウワッ！,BECAUSE I CAN TEASE YOU.
5:21,どうしたの？　西片,"What's wrong, Nishikata?"
5:23,いいや　何でも,Nothing.
5:25,（西片）くそ〜 高木さんめ！,"I knew it, Takagi-san!"
5:27,何か からかい返す方法は ないものか…,How can I tease her back?
5:31,（田辺）じゃ ここを西片 （西片）う〜ん…,"Nishikata, read this."
5:34,（田辺）うん？　おい　西片！,"Hey, Nishikata!"
5:36,（西片）えっ!?　は… はい！,Yes!
5:38,問３のどれかを英語で言ってみろ,Read Q3 in English.
5:43,（高木）はい （西片）あっ…　え〜っと…,Here. Um...
5:46,問３…,Q3...
5:51,ビクトリー,Victory.
5:53,ＯＫ “勝利”は英語で“ビクトリー”だ,"Okay. ""Shōri"" is ""victory"" in English."
5:59,良かったね 簡単な問題で,Thank God it was an easy question.
6:01,（西片）ああ　当然かな （高木）ふ〜ん…,Of course.
6:04,とんでもないことに 気づいてしまった！,I realized something awesome!
6:07,今の問題 いろんな 単語が並んでいたが—,Those random sets of words...
6:10,縦に読むと 〝アホか お前 〞になる,"The first letters read, ""What a dummy""!"
6:13,この技を使って 高木さんを からかってやる,I'm going to tease Takagi-san with this!
6:21,（西片）高木さん （高木）うん？,Takagi-san.
6:23,（西片）これを （高木）あっ…,Open this.
6:29,手紙…　ラブレターかな？,A letter? Is it a love letter?
6:32,なっ… ちち… 違うって！　普通の！,No! It's just a normal...
6:35,フフフフッ… 分かってるよ それぐらい,I know that.
6:39,じゃ 読ませてもらおうかな,Let me see.
6:53,どうだい？　高木さん 気づくまい,I bet she won't notice the secret message!
6:55,普通に読んで 〝いいと思うよ 〞って 返事をするだろう,"She'll just answer, ""Yeah, I think so."""
6:58,そこで ネタばらし,And then I'll tell her.
7:00,縦に読むと— 〝俺の勝ちでいい？ 〞と なっているのさ！,"If you read the first letters, it says, ""Does this mean I win?"""
7:04,しまった！,"Oh, no!"
7:05,（西片） 悔しがる高木さんが目に浮かぶ！,She'll be totally frustrated!
7:09,英語の教科書から縦読みを発見し すぐに応用する この機転,How clever to find vertical reading and use it on her!
7:13,教科書は忘れたが 今日の俺は冴(さ)えているぞ,"I forgot my textbook, but I'm quick-witted today!"
7:17,ついに高木さんにビクトリー！,"Finally, my victory over Takagi-san."
7:24,はい　返事,Here's my reply.
7:25,あ… ありがとう,Thanks.
7:28,フッ…　さてさて…,Let's see...
7:39,ふむ… 思ってた答えとは違うが,"It's different from what I thought,"
7:42,こじつけて 俺の勝ちに…,but it's my win...
7:45,（高木） 〝私の勝ち 〞,I win.
7:50,バレていた！,She knew it!
7:52,どうしたのかな？　西片 手紙の返事 書いただけだけど,"What's wrong, Nishikata? I just wrote a reply."
7:57,いや 別に…,Nothing.
7:59,分かりやすすぎるよ 西片 フフフフッ…,"You're too obvious, Nishikata."
8:02,（高木の笑い声） また勝てなかった…,I lost again!
8:05,高木さんめ！,Takagi-san!
8:13,はい　これ,Here.
8:26,どうかした？　顔赤いよ,What's wrong? You're turning red.
8:29,い… いや,No...
8:30,西片　それ 縦読みないよ,That's not meant for vertical reading.
8:42,…な〜んて どこかに縦読みあるかもね,Or there might be a secret message somewhere.
8:45,アア…　どこだ？　どこに…,Where? Where?
8:49,（西片）どこ!? （高木）フッ！,What is it?
8:51,（笑い声） （西片）えっと これを こうし…,This way?
9:01,（鳥の鳴き声）,BE BRIGHT AND ENERGETIC
9:08,ハァ…　できた,Ta-da.
9:10,（戸の開く音） （高木）おはよう 西片,"Good morning, Nishikata."
9:13,（西片）お… おはよう　高木さん （高木）なに？　それ,Good morning. What's that?
9:16,ああ… なんとなく作ってみただけだよ,What's that? I'm just playing around.
9:20,昨日 テレビで催眠術やっててさ,I watched hypnosis on TV yesterday.
9:23,（催眠術師）ユラユラと…,Swaying...
9:25,（吉田(よしだ)）俺 そういうの かからない人なんで,I never get hypnotized by this kind of thing.
9:33,（ナレーター） 衝撃の展開に！,Unbelievable ending!
9:35,おお！　いいねえ,This is great!
9:41,誰かに試すの？,Trying it on someone?
9:42,いやいや 高木さん あんなのヤラセなんだよ,No way. That's just staged.
9:46,俺だってバカじゃないんだ,I'm not that stupid.
9:48,ふ〜ん… じゃあさ 西片　私にかけてみてよ,Then try it on me.
