Script,Translation
駅への道を教える,I'll show you the way to the station
仕事のコツを教える,Teach you the tricks of the trade
思い出す作品があって,There's a work I remember
毎年この時期言ってる気がします,I feel like saying this time every year
カッコいいですよねえ,"It's cool, isn't it?"
岩に衝突する,Crashing into a rock
電柱に衝突する,Crashing into a telephone pole
彼の車はその踏切で列車と衝突した,His car collided with a train at that crossing
この煙突は通りがいい,This chimney draws freely
突然訪問する,Visit suddenly
突然の悲報であった,The sad news was totally unexpected
魚を突きに行く,go spearfishing
書類に判を突く,stamp one's seal on a document
ぐさりと心臓を突く,thrust something hard into one's heart
両手をポケットに突っ込む,Shove your hands in your pockets
車が商店のウインドーに突っ込んだ,A car crashed into a store window
人の話に首を突っ込む,butt into someone else's conversation
少し突っ込んで調べる,I'll have to dig a little deeper
かばんに書類を突っ込む,Shove papers in your bag
塀に突き当たる,run into a wall
電柱に突き当たる,run into a telephone pole
車が街路樹に突き当たった,The car hit a tree on the street
入試の難関を突破する,pass a difficult entrance examination
"志願者は 1,000 人を突破した",The number of applicants exceeded one thousand
重大な段階に突入する,We're entering a critical phase
突進してくる車,Cars rushing towards you
向こう見ずに突進する,rush in without looking ahead
ガスのにおいが鼻を突いた,The smell of gas stung my nose
だれかに背中をつつかれた,Someone poked me in the back
キツツキが幹をつついている,A woodpecker is pecking at the trunk
指先でちょんちょんとつつく,poke with one's fingertips
あいつをつつけばやってくれるさ,"If you give him a nudge, he'll do it for us"
微妙な味わい,subtle flavor
微妙な言い回し,subtle phrase
微妙に揺れる心の内,The subtleties of the mind
足が震えた,My legs trembled
手が震えて字が書けない,My hands shake and I can't write
家が揺れるのを感じた,I felt the house shaking
風に揺れる木々,Trees swaying in the wind
微妙に異なっていた,It was slightly different
人の意見に全面的に賛成する,Totally agree with other people's opinions
賛成の意見を述べる,Speak in favor of
賛成の方はご起立願います,"All those in favor of the motion, please rise"
着席したままでいる,Remain seated
どうぞご着席ください、みなさん,"Please be seated, everyone"
強めの薬,stronger medicine
突風で壊れた家,A house destroyed by a gust of wind
半分に割る,split in half
クルミを割る,crack open a walnut
竹を割る,split bamboo
仕入れ値を割って売る,Sell at a discount to the purchase price
窓ガラスを割る,break a window
めちゃめちゃに壊す,totally destroy
古い体制を壊すべきときだ,It's time to break the old system
住んでいた家を壊して新築する,Demolish the house you were living in and build a new one
息子に家を新築してあげた,I built my son a new house
そうするよりほかに何とも仕様がない,I don't know what else to do
仕様を変える,change the specification
しぶしぶ承知する,reluctantly agree
実験の条件を一定する,standardize the conditions of an experiment
一定の手続きを取る,follow the established procedures
一定の書式,a prescribed form (for a document)
一定の金額,a specified sum (of money)
一定の期間内に,within a given period
一定の時期に,at fixed times
一定の間隔を置いて,at regular intervals
部屋の温度を一定に保つ,keep a room at a constant temperature
水が一定量たまるとブザーが鳴る,When the water level rises past a certain point a buzzer sounds
投手を交代させる,change pitchers
あの会社は最近社長が交代した,There's been a change of presidents at that company recently
当直の医者は 8 時間ごとに交代する,The doctor on duty changes every eight hours
1 日 3交代で働く,work in three shifts of eight hours 
二人が交代で車を運転した,The two of them took turns driving
社員は交代で休暇を取る,Employees take leave in rotation
この工場は 8 時間交代で操業しています,The factory operates on eight-hour shifts
1 時間交代にしよう,Let's change over every hour
ちょっと代わってもらえませんか,Would you mind taking over for me for a bit?
母に代わって厚く御礼申し上げます,"On my mother's behalf, allow me to express my deepest thanks"
父に代わって私がご案内いたしましょう,I will act as (a) guide for you in place of my father
しばらく運転を代わろう,Let me take over the driving for a while
投手が山田から小野に代わった,Ono replaced Yamada on the mound
電気がガソリンに代わった,Electricity has replaced gasoline
宿直を代わってくれませんか,Would you mind swapping night duty with me?
意見が変わる,change opinion
時代が変わる,times change
満潮の時刻は毎日変わる,The time of high tide changes from day to day
信号が青に変わった,The traffic light turned green
この町は昔とすっかり変わった,This town is drastically changed from what it was
雲の形がだんだん変わってきた,The cloud shapes have gradually changed
急激に変化する,change suddenly
微妙に変化する,vary very slightly
大きく変化す,major changes
めまぐるしく変化する,change at a hectic pace
刻々と変化する,change hour by hou
山は天候が変化しやすい,The weather in the mountains is changeable
毎日の料理にも少し変化を持たせたい,I want to introduce some variety into our daily meals
熱で変化しにくい物質,a material (that is) resistant to change by heating
日本は四季の変化がはっきりしている,In Japan there are clear variations in the four seasons
すると試験管の液体に驚くべき変化が起こった,Then a remarkable change took place in the liquid in the test tube
この登山ルートは変化があって面白い,This route up the mountain is interesting for its variety
暗証番号を変更する,change one's PIN number
講義の内容を変更する,make alterations to the contents of a course of lectures
価格は予告なく変更されることがあります,Prices are subject to change without notice
現金に交換できますか？,Can I exchange it for cash?
現金に変更できますか？,Can I change to cash?
宿泊先が変更になった,My accommodation has changed
円をドルに両替できますか,Can I exchange yen for dollars?
ドルに両替して、お願いします,"Exchange them for dollars, please"
