Time,Script,Translation
8s,こんにちはさゆりです,"Hello, this is Sayuri."
10s,今回は西日本で一番高い山,This time I climbed the highest mountain in western Japan
14s,石鎚山に登ってきました,I climbed Mt. Ishizuchi.
19s,実は私が住んでいるのは,"Actually, I live in"
22s,香川県四国にある香川県なんですけど,"I live in Kagawa Prefecture, which is on Shikoku Island."
27s,石鎚山があるのは隣の県の愛媛県です,But Mt. Ishizuchi is in the neighboring prefecture of Ehime.
34s,実は自転車で行きました,I actually went there by bicycle.
38s,香川県から愛媛県まで,From Kagawa Prefecture to Ehime Prefecture
41s,自転車で行きました,I rode my bicycle from Kagawa to Ehime.
43s,2日ぐらいかかったんですけど,It took me about two days.
48s,はい。（私、何やっているんだろう笑）自転車と登山の旅です,"Yes, it did. (I don't know what I'm doing lol) It was a trip of biking and mountain climbing."
54s,今からゴンドラに,I'm going to the gondola now.
56s,本当はゴンドラに乗らなくても,I heard that you don't need to take the gondola to go up.
1:06,登れるらしいんですけど,I heard that you can climb without taking the gondola.
1:08,（ゴンドラに乗らないと）２時間ぐらいかかるそうです,"But if you don't take the gondola, it will take about two hours."
1:10,なので今回はゴンドラに乗って行きました（２時間の時間短縮！）,So I took the gondola this time (saving 2 hours!)
1:15,いいですね,That's nice.
1:27,香川県からこの愛媛県の石鎚山があるところまで,It's about 110 kilometers from Kagawa Prefecture to where Ishizuchi-san is located in Ehime Prefecture.
1:31,大体１１０Kmぐらいです,It's about 110 kilometers.
1:35,なので二日かけて,So it takes two days.
1:37,ゆっくり自転車で,Slowly by bicycle.
1:39,"1日5,60キロですね","That's 5,60 kilometers a day."
1:43,を走って自転車に乗ってきました,"I rode my bike for about 5,60 kilometers a day."
1:49,もう、この頃は紅葉が終わりかけていて,"By now, the leaves are almost gone, and"
1:57,もうすぐスキーができると言われているほど,It was so cold that they said we would be skiing soon.
2:00,すごく寒かったです,It was very cold!
2:02,確か10月の後半だったと思います,I think it was the second half of October
2:13,11月になると,In November.
2:15,この石鎚山でスキーができるそうです,I heard that you can ski here in November.
2:41,登山口駅ですかね？（に）着きました,Is this Tōyamaguchi Station? We're here.
2:50,ここからお土産屋さん,"From here, there are souvenir shops."
2:52,待合所のようなところを通って行きます,We'll go through a waiting area.
3:03,Tシャツとか売ってますね,They sell T-shirts and stuff.
3:06,この山はこの鎖で有名です,This mountain is famous for these chains.
