Words,Meaning
彼,"He, him, boyfriend"
する,"To do, to carry out"
私,"I, me, private affairs"
も,"Too, also, in addition, as well"
来る,"To come, to apporaoch"
見る,"To see, to look, to watch, to view"
それ,That
居る,"To be, to exist, to stay"
くれる,"To give, to let someone have, to do for someone"
要る,"To be needed, to be wanted"
時,"Time, hour, moment"
される,"To be done (to someone), to do, to be doing"
から,"From, because, since, after"
僕,"I, me, you (addressing young children), manservant"
板,"Board, plank, sheet (of metal), plate (of glass), pane, slab"
前,"Ago, before, previously, in front of, head (of a line), in the presence of"
ではない,"Is not, am not, are not"
よう,"Appearing.., looking.., seems, way to, form, style, like similar to"
中,"Inside, among, in, within, center, during, while"
園,"Garden, park, orchard, place, location"
言う,"To say, to utter, to declare, to name, to call"
先生,"Teacher, master, doctor"
見える,"To be seen, to be insight, to be visible, to appear"
べき,"Should, must, that ought to be done"
つもり,"Plan, intention, conviction, belief"
年,"Year, counter for years"
と言う,"Called, named"
有る,"To be, to exist, to live, to have, to be located"
男,"Man, male, fellow, guy"
この,This (something or someone)
いけない,"Wrong, not good to use, of no use, must not do"
思う,"To think, to consider, to believe, to reckon"
には,"For (in regard to), in order to"
のです、のだ、んです、んだ,"The expectation is that.., the reason is that, the fact is that, it is that,"
させる,"To make (someone) do, to allow (someone) to"
方、ほう,"Direction, way, side, area, type, category, field (of study), method"
方、かた,"Direction, way, method of, manner of Person, lady, gentleman, person in charge of"
悪い,"Bad, poor, undesirable, inferior"
にも,"Also, too, not.. either, as well, even"
鋳る,"To cast, to mint, to coin"
ので、んで,"That being the case, because of, the reason is"
田,Ricefield
鳴る,"To sound, to ring, to resound, to echo, to roar, to rumble"
学生,Student
立つ,"To stand, to rise, to stand up"
よりも,"In comparison to, rather than"
や,"Such things as, and"
考え,"Thinking, thought, view, opinion, concept, idea, notion, intention, consideration, wish, hope"
自分,"Myself, yourself, oneself, himself, herself"
って、て,"You said, he said, she said, they said,  the said, said, as for (equiv. of は)"
である,"Be, is"
酔う,"To get drunk, to become intoxicated, to feel sick, to become nauseated, to be elated"
あの,That (something or someone)
一,One
他,"Other (place, thing, person), the rest, outside, beyond"
無い,"Nonexistent, not being (there), not had, not"
決して,"Never, by no means, not in the least, in no way"
道,"Road, path, street, lane, passage"
あれ,That
でも,"But, however, though, nevertheless, still, yet, even"
いただける,"To be able to receive, to be able to take, to be able to accept"
尾,"Tail (animal, kite, comet, etc), tail end, slope at the end of the mountain"
人間,"Human being, person, man, mankind"
物,"Thing, object, article, stuff, substance"
さん,"Mr., Mrs., Miss, Ms., -san, politeness marker"
まで,"Until, till, up to, to (a place), as far as"
止める,"To stop (an activity), to cease, to discontinue"
だけ,"Only, just merely, simply, no more than, nothing but, alone"
しか,"Only, nothing but"
内,"Inside, within, while, among, amongst, between"
ながら,"While, during"
知らせ,"News, word, tidings, notice, notification, information"
知る,"To know, to be aware of, to notice"
顔,"Face, visage, look, expression"
です,"Be, is"
では,"Then, well, so, well then"
市,City
分かる,"To undestand, to comprehend"
仕手,"Doer, performer"
上手,"Skillful, skilled, proficient, good (at), adept"
彼女,"She, her, girlfriend"
とは,Indicates words or phrase being defined
強い,"Strong, potent, competent, tough"
渡す,"To ferry across (a river, etc), to carry across, to traverse, to lay across, to build across, hand over, to hand in"
ホテル,Hotel
返る,"To return, to come back, to go back"
蛇,"Snake, serpent, large snake"
羽,Counter for  birds and rabbits
クラス,Class
として,"As (in the role of), for (from the stand point if)"
担う,"To carry on one’s shoulder, to shoulder, to bear, to take upon oneself"
しかし,"However, but"
出る,"To leave, to exit, to go out, to come out"
女,"Female, woman, female"
入る,"To get in, to go in, to come in, to flow into, to set, to set in"
でしょうか,"Don’t you think?, indicates a question"
考える,"To think about, to think over, to ponder, to consider"
山,Mountain
違う,"To differ (from), to vary"
そして,"And, and then"
また,"Again, and, also, still (doing something)"
夜,"Evening, night"
夏,Summer
娘,"Daughter, girl"
だが、ですが,"But, however, nevertheless"
声,"Voice, singing (of a bird)"
舌,Tounge
間違い,"Mistake, error, blunder, accident"
そんな,"Such, like that, that sort of"
など,"Etc, and so on and so forth"
今,"Now, the present time"
妹,Younger sister
生まれる,To be born
目,"Eye, eyeball, eyesight, sight, vision"
暮れる,"To get dark, to grow dark, to end, to close"
出す,"To take out, to get out, to put out, to reveal, to show, to submit, to publish, to send, to produce, to start, to serve (food)"
あなた,You
聞く,"To hear, to listen, to ask, to enquire"
円,"Yen, circle"
手,"Hand, arm"
そう,"So, really, seeming, appearing that"
丁度,"Exactly, precisely, just, right"
すれば,"If so, in that case, in that situation"
出会う,"To meet (by chance), to come across, to run across, to encounter, to meet( rivers, highways, etc.), to emerge and engage"
家,"House, residence"
氏,"Mr., Mrs., Ms., Miss, he, him"
認める,"To recognize, to observe, to notice, to deem, to approve, to admit, to watch steadily"
いい,"Good, excellent"
溶く,"To dissolve (paint), to scramble (eggs), to melt (metal, etc.), to mix (water with flour, etc.)"
これ,This
流、りゅう,"Fashion, way, style, manner, school (of thought), class, rank, rate"
何、なに、なん,What
とする,"To try to, to be about to, to decide to, to take as, to treat as, to use for, to assume"
進む,"To advance, to go forward, to precede, to go ahead"
外,"Outside, exterior"
だから,"So, therefore"
だろう,"Seems, I think, I guess, I wonder"
戻る,"To turn back, to return, to go back, to recover, to be returned, to rebound, to spring back"
診る,To examine (medically)
君,"You, buddy, pal"
