Item,Meaning,Definition,Pattern,Sentence,Translation
間,その時間・期間でずっと〜する。,Do it all the time in that time and period.,Vdict・I-Adj・ Na-Adj+na・N+no ＋ aida,・夏休みの間、ずっと実家にいるつもりです。,I'm going to stay at my parents' house for the whole summer vacation.
間に,その時間・期間で〜する。,Do it in that time and period.,Vdict・I-Adj・ Na-Adj+na・N+no ＋ aida ni,・シャワーを浴びている間に電話がありました。,I got a call while I was taking a shower.
後で,「AあとでB」で、時間的にAを先に行い、Bをするということを表す。,"The phrase ""A, then B"" indicates that A is to be done first and B is to be done in time.",Vta・N+no ＋ ato de,・電車を降りた後で、財布がないことに気がつきました。,"After I got off the train, I realized that my wallet was missing."
あまり〜ない,程度や頻度が高くないことを表す。,Indicates that the degree or frequency is not high.,amari ＋ V・I-Adj・Na-Adj,・先生の授業はあまり面白くないです。,The teacher's classes are not very interesting.
終わる,動作の終わりを表す。,Indicates the end of an action.,Vmasu ＋ owaru,・使い終わったら、元の場所に戻してくださいね。,"When you are done using it, please return it to its original place."
いちばん,３つ以上あるもの・範囲の中で、最高のものを言う表現。,An expression that says the best of three or more things or ranges.,N+ga ＋ ichiban,・日本料理の中で、寿司がいちばん好きです。,"Of all the Japanese dishes, I like sushi the best."
がする,味、音、匂いなど感じたことを言う時に使う表現。,"Expressions used to describe what you feel, such as tastes, sounds, smells, etc.",N+ga ＋ suru,・なんか変な匂いがするよ。,There's a strange smell in the air.
かどうか,疑問文を埋め込んだ表現。,An expression with an embedded question.,Vplain・I-Adj・ Na-Adj・N ＋ ka dou ka,・今日、午後から雨が降るかどうか知ってる？,Do you know if it's going to rain this afternoon?
かもしれない,可能性がある。,There's a possibility.,Vplain・I-Adj・ Na-Adj・N ＋ kamoshirenai,・走ればなんとか終電に間に合うかもしれない。,"If I run, I might be able to catch the last train."
か,文の中に疑問語疑問文を埋め込んだ表現。,An expression that embeds an interrogative question within a sentence.,Question-Word + Vplain・I-Adj・ Na-Adj・N ＋ ka,・次の電車が何時に来るか知ってる？,Do you know what time the next train is coming?
くする,ある状態を意図的に別の状態に変えること。,To deliberately change from one state to another.,I-Adj+ku ＋ suru,・ちょっと長いので、短くしてください。,"It's a little long, so please make it shorter."
にする,ある状態を意図的に別の状態に変えること。,To deliberately change from one state to another.,Na-Adj+ni ＋ suru,・必ず君を幸せにするから、僕と結婚してください。,"I will make you happy, so please marry me."
にする,ある状態を意図的に別の状態に変えること。,To deliberately change from one state to another.,N+ni ＋ suru,・ちょっとご飯が多いので、半分にしてください。,"There's a little too much rice, so please cut it in half."
方,〜をする方法。,How to do ~,Vmasu ＋ owaru,・今、料理教室で日本料理の作り方を習っています。,I am currently learning how to make Japanese dishes at a cooking class.
