Phrase1,Translation1,Phrase2,Translation2,Phrase3,Translation3
私の住んでいる町は割と小さいです。,The town in which I live is rather small.,,,,
またのご来店を心よりお待ち申しあげます。,We're looking forward for you in coming to our store again.,,,,
まだまだたっぷりと遊ぶ時間はあるぜ。,I still have a lot of time for fun.,,,,
ここの学生は大半が真面目である。,The students are for the most part diligent.,,,,
その航空機には新技術が適用されている。,That plane makes use of new technology.,,,,
その事故によって私たちは異状事態に陥った。,We were faced with an unusual situation because of the accident.,,,,
このネクタイはいくらですか。,How much does this tie cost?,,,,
この本は来年印刷されるでしょう。,This book will be printed next year.,,,,
それは２５人の水夫が乗り組んだ船だった。,It was a ship with a crew of 25 sailors.,,,,
日の照るうちに干し草を作れ。,Make hay while the sun shines.,,,,
アメリカの平均的な生活空間は日本の二倍広い。,The average American living space is twice as large as the living space in Japan.,,,,
結婚式は限りなく頭痛の種だ。,A wedding is an endless headache.,,,,
彼は監督に挨拶さえしなかった。,He did not so much as greet the manager.,,,,
