P1,P2,P3
少し運動する必要がある,軽い運動,運動してもいいですか？
健康のために体操する,体操の時間です！,彼は体操が得意だ
窓から首を出す,背中がとても痛い,腰が曲がっている
子供の尻を打つ,胸が苦しい,彼女は胸が小さい
胸が弱い,私は彼女の腕を取った,彼は腕が長い
腕を振って歩く,肘が曲がったまま伸びない,彼女は両膝に肘をのせた
指やつま先の感覚がない,彼女の服は膝まで届いていない,長時間歩くと踵にたこができる
人間は皆同じ体をしている,それ体に良くないよ,体に悪いよ
膝を曲げて前を見て,両手で曲げる,首が痛くて回せません
首を左右に回す,腕を大きく回す,私は足を伸ばした
彼はよく見ようとして首を伸ばした,手をぐっと伸ばす,手足を伸ばす
足をまっすぐに伸ばす,腰を伸ばす,手を上げなさい
顔を上げる,手を上げる　,拳を上げる
髪を上げる,ももを上げる,手を下げろ
頭を下げてゆっくりと歩いていた,よく眠る,ゆっくり休む
ファーで昼寝をしました,彼は食事中だった,一緒に食事でもいかがですか
十分な食事,軽い食事　,あの旅館は食事が良くない
食事に気をつける,おやつが食べたいの？,おやつはどう？
おやつの時間よ,栄養のバランス,栄養のある朝食をとった
この食べ物はあまり栄養がない,この野菜には栄養がある,これを食べると栄養になる
卵は栄養に富んでいる,栄養を取る,豊富なタンパク質
彼女は転んでひざを痛めた,彼はスキーで転んで足を折った,幸い誰もけがをしなかった
けがで右手の自由を失った,けがで済んでよかった,けがで入院する
血が出る,鼻から血が出る,真っ赤な血　
傷口から血が流れ出ていた,血が止まる,シャツに血がつく
指を切って大量の血が出た,包帯に血が滲んでいる,血に塗れた
骨を折る,骨を接ぐ,あごの骨が外れる
目がかゆい,目をこする,目をかく
風邪を引いてつらい,アレルギーがある,頭ががんがんする
きりきりする,下痢する,すぎすぎする
吐き気がする,鼻水が出る,ひざが腫れている
ひりひりする,寒くて震える,足が震えた
涙に震える声,そう言う彼の声は震えていた,手が震えて字が書けない
彼女は右手をやけどした,軽度のやけど,重度のやけど
マスクをかける,目薬の容器,目薬をさす
氷で冷やす,元気がある,元気がない
咳が出る,乾いた咳,咳がひどい
咳で息苦しくなる,くしゃみが止まりません,くしゃみが出る
熱がある,少し熱があります,熱が下がった
熱が３７度５分ある,風邪で熱が出た,寒気がする
寒気がしますよ,寒気が止まらない,彼は少し寒気がすると言う
眠い夏の午後,眠くて堪らない,まだ眠いなあ
眠くなるような音楽,眠くなってきた,食べすぎると眠くなるよ
彼は体を心配している様子だった,最近体の調子があまりよくない,体の調子がいい
調子が悪い,今日はずっと具合いい,まだ具合悪いの？
腹の具合が悪い,風邪の具合はいかがですか,コレラの発生
異常発生,疫病が流行している,疫病が発生した
彼女は伝染病を患っている,顔色がいい,顔色が悪い
病気が治る,病気を治す,けがが治る
けがを治す,自然に治る,軽い運動で腰痛が治った
虫歯を治す,この病気を治す薬はない,専門の医師に見てもらう
医師の診察を受ける,歯医者にかかる,インフルエンザにかかる
病気に症状,注射をしてもらう,手術を受ける
