Time,Script,Translation1,Translation2
6s,Iz：群馬県は伊香保温泉にやってきました Tr：めっちゃキレイ,"Izumi: We came to Gunma Prefecture, Ikaho City! Tori: So beautiful!",Iz: Gunma Prefecture has come to Ikaho Onsen Tr: Very beautiful
12s,Iz：まだ雪が残ってますね,Still snow,Iz: There is still snow left
18s,Iz：結構綺麗な感じですね,very beautiful.,Iz: It feels pretty beautiful
22s,Tr：いい感じ すごい景色,Nice room. Amazing view.,Tr: Nice view
27s,Tr：仕事できるテーブルある？,Tr: Is there a table for work?,Tr: Is there a table where you can work?
30s,Tr：仕事しないんじゃない？)),Tr: No table no work?,Tr: Don't you work? ))
33s,Iz： 外を散歩して今日はゆっくり過ごしましょうかね,Let's take a walk and rest later,Iz: Let's take a walk outside and spend some time today
40s,Iz：長い石畳の階段の頂上に神社があり、お参りしてきました,Iz: There is a temple at the top of this stairs! Let's see,"Iz: There is a shrine at the top of the long cobblestone stairs, and I have visited there."
46s,"Tr：""ジンジャー""エールを飲みながらね)",Tr: A glass of warming ginger tonic,"Tr: Drinking ""ginger"" ale)"
50s,Iz：神社の裏側に温泉が飲めるらしいので... Tr：飲めるって書いてた？,There is a hot spring behind the temple that you can drink ... Tr: Where does it say you can drink it ??,Iz: It seems that you can drink hot springs behind the shrine ... Tr: Did you write that you can drink?
56s,Tr：本当だ 飲む？),it’s true! You can drink onsen,Tr: Really drink? )
58s,Iz：飲めるって書いてあるので行ってみましょう Tr：新しいね,"It says you can drink it, so let's go! This is something new.","Iz: It says you can drink, so let's go Tr: New"
1:02,Iz：これが神社で、ここで飲める,"This is a temple, and here is a drinking onsen",Iz: This is a shrine and you can drink here
1:10,Iz：結構歩いたんですけど全然ないね) 坂だから辛い...,"Iz: We are going uphill, but there is no onsen yet...","Iz: I walked quite a bit, but it's not at all) It's hard because it's a slope ..."
1:15,Iz：これ全部紅葉なのかな？ Tr：紅葉はそうキレイらしい,Iz: Is it a maple tree? Tr: I heard that it is very beautiful here in autumn!,Iz: Is this all autumn leaves? Tr: Autumn leaves seem to be so beautiful
1:19,Tr：今は何もないけど！）,Tr: But now there is nothing!,Tr: Nothing right now! )
