w1,w2,w3,w4,w5,w6,w7,w8,w9,w10
会う,沿う,浮く,咲く,注ぐ,抜く,拭く,押す,射す,撃つ
合う,添う,置く,裂く,次ぐ,脱ぐ,巻く,貸す,足す,討つ
遭う,問う,書く,敷く,接ぐ,履く,蒔く,消す,出す,勝つ
言う,縫う,描く,炊く,継ぐ,吐く,撒く,越す,為す,立つ
追う,這う,掻く,焚く,解く,掃く,向く,超す,干す,経つ
負う,舞う,欠く,着く,溶く,剥ぐ,剥く,差す,増す,建つ
買う,酔う,嗅ぐ,付く,説く,引く,焼く,指す,蒸す,発つ
飼う,開く,聞く,就く,退く,弾く,行く,刺す,召す,絶つ
請う,空く,効く,点く,研ぐ,轢く,沸く,挿す,止す,打つ
吸う,行く,漕ぐ,突く,泣く,吹く,湧く,注す,打つ,待つ
来る,為す,吊る,採る,生る,練る,降る,彫る,漏る,覆う
蹴る,剃る,照る,捕る,似る,乗る,振る,観る,寄る,匂う
去る,剃る,出る,鳴る,煮る,載る,減る,見る,因る,誓う
知る,散る,取る,為る,塗る,貼る,経る,診る,遣る,使う
為る,釣る,撮る,成る,寝る,張る,掘る,盛る,割る,違う
狙う,祝う,塞ぐ,注ぐ,懐く,凌ぐ,渇く,通す,探す,起す
払う,扇ぐ,築く,除く,続く,裁く,騒ぐ,直す,捜す,残す
貰う,仰ぐ,濯ぐ,覗く,担ぐ,響く,開く,治す,流す,汚す
笑う,描く,弾く,叩く,届く,省く,歩く,犯す,逃す,崩す
狂う,磨く,稼ぐ,砕く,解く,背く,返す,侵す,隠す,外す
揃う,嘆く,防ぐ,跨ぐ,繋ぐ,泳ぐ,帰す,任す,訳す,浸す
拾う,動く,急ぐ,突く,招く,乾く,倒す,汚す,略す,渡す
運ぶ,選ぶ,拝む,凹む,軋む,休む,臨む,包む,萎む,絡む
結ぶ,並ぶ,含む,嵩む,滲む,沈む,痛む,挑む,摘む,睨む
遊ぶ,転ぶ,恵む,憎む,霞む,涼む,畳む,好む,悩む,弛む
学ぶ,掴む,励む,挟む,進む,弾む,妬む,頼む,歩む,緩む
及ぶ,歪む,囲む,刻む,盗む,望む,縮む,阻む,恨む,入る
限る,巡る,勝る,削る,映る,捻る,破る,鈍る,座る,補う
契る,潜る,飾る,譲る,祭る,祈る,滑る,煙る,回る,行う
握る,茂る,走る,焦る,劣る,募る,絞る,眠る,弱る,失う
送る,怒る,毟る,至る,悟る,実る,登る,湿る,潤う,養う
贈る,残る,弄る,語る,太る,配る,昇る,篭る,戦う,伴う
作る,誇る,噛る,来る,踊る,縛る,上る,守る,扱う,占う
造る,傲る,詰る,渡る,辿る,粘る,余る,曇る,疑う,整う
潜る,凝る,捩る,下る,戻る,炙る,困る,頼る,従う,敬う
探る,濁る,擦る,移る,唸る,被る,迫る,触る,争う,漂う
殴る,腐る,擦る,写る,抓る,瞑る,黙る,障る,賄う,繕う
