Verbs,Meaning,Reading
やる,to do,やる
しまう,"to finish, to close, put an end",しまう
またぐ,to straddle,またぐ
ぼやく,"to grumble, to complain",ぼやく
よこす,"(1) to send, to forward,(2) to hand over (e.g. money)",よこす
こぼす,to spill,こぼす
だます,"to trick, to cheat, to deceive",だます
しぼむ,"to wither, to fade (away), to shrivel, to wilt",しぼむ
くるむ,"to be engulfed in, to be enveloped by, to wrap up, to tuck in to bed",くるむ
かかる,to take time or money,かかる
ちぎる,"to cut up fine, to pick (fruit)",ちぎる
できる,"to be able to, to be ready, to occur",できる
なぐる,"to strike, to hit",なぐる
あげる,to give,あげる
かける,to call by phone,かける
つける,to turn on,つける
かじる,"to chew, to bite (at), to gnaw, to nibble",かじる
ばてる,"to be exhausted, to be worn out",ばてる
ゆでる,to boil,ゆでる
うなる,"to groan, to moan",うなる
どなる,"to shout, to yell",どなる
あびる,"to bathe, to shower",あびる
あぶる,to scorch,あぶる
ダブる,"to coincide, to have two of something, to repeat a school year after failing",ダブる
サボる,"to be truant, to be idle, to sabotage by slowness",サボる
くれる,to give,くれる
ずれる,"to slide, to slip off",ずれる
ぬれる,to get wet,ぬれる
からかう,"to ridicule, to tease, to banter with, to make fun of",からかう
ためらう,to hesitate,ためらう
つまずく,"to stumble, to trip",つまずく
まごつく,"to be confused, to be flustered",まごつく
くっつく,"to adhere to, to keep close to",くっつく
おどかす,"to threaten, to coerce",おどかす
ひきだす,to withdraw,ひきだす
しゃがむ,to squat,しゃがむ
こらえる,"to bear, to stand, to endure, to put up with",こらえる
ぶつかる,"to strike, to collide with",ぶつかる
ふざける,"to romp, to gambol, to frolic, to joke",ふざける
ぶつける,"to knock, to run into, to nail on, to strike hard, to hit and attack",ぶつける
ぼやける,"to become dim, to become blurred",ぼやける
しくじる,"to fail, to fall through, to blunder",しくじる
あわてる,to become confused,あわてる
しゃぶる,"to suck, to chew",しゃぶる
しゃべる,"to talk, to chat, to chatter",しゃべる
いじめる,to tease,いじめる
あきれる,"to be amazed, to be shocked",あきれる
もたれる,"to lean against, to lean on, to recline on, to lie heavy (on the stomach)",もたれる
しびれる,"to become numb, to go to sleep (i.e., a limb)",しびれる
あふれる,"to flood, to overflow, to brim over",あふれる
こぼれる,"to overflow, to spill",こぼれる
こだわる,"to fuss over, to be particular about, to be concerned about",こだわる
すれちがう,"to pass by one another, to disagree",すれちがう
こしらえる,"to make, to manufacture",こしらえる
かわいがる,"to love, to be affectionate",かわいがる
ぶらさげる,"to hang, to suspend, to dangle, to swing",ぶらさげる
くっつける,to attach,くっつける
やっつける,"to attack (an enemy), to beat, to do away with, to finish off",やっつける
コピーする,to copy,コピーする
けんかする,to quarrel,けんかする
あてはまる,"to be applicable, to come under (a category), to fulfill",あてはまる
あてはめる,"to apply, to adapt",あてはめる
くたびれる,"to get tired, to wear out",くたびれる
チェックする,to check,チェックする
会う,to meet,あう
合う,to match,あう
遭う,"to meet, to encounter (undesirable nuance) ",あう
言う,to say,いう
追う,"to chase, to run after, to follow, to drive out, to be pressed (e.g. for time)",おう
負う,"to bear, to carry on one's back, to take responsibility, to owe, to be injured",おう
買う,to buy,かう
飼う,"to keep, to raise, to feed",かう
請う,"to ask, to request, to beg, to invite ",こう
吸う,"to smoke, to suck, to breathe in, to inhale ",すう
沿う,"to run along, to follow, to comply with",そう
添う,"to accompany, to become married, to comply with ",そう
問う,"to ask, to inquire, to question, to charge, to accuse, without regard to (neg) ",とう
縫う,"to sew, to stitch, to weave one's way (e.g. through a crowd) ",ぬう
這う,"to creep, to crawl",はう
舞う,"to dance, to flutter about, to revolve ",まう
酔う,"to get drunk, to become",よう
開く,"to open, to become open",あく
空く,"to open, to become empty",あく
行く,to go,いく
浮く,"to float, to become merry, to become loose",うく
置く,to put,おく
書く,to write,かく
描く,"to draw, to paint, to sketch, to depict, to describe ",かく
掻く,"to scratch, to perspire",かく
欠く,"to lack, to break, to crack, to chip ",かく
嗅ぐ,"to sniff, to smell",かぐ
聞く,"to hear, to listen to, to ask",きく
効く,to be effective,きく
漕ぐ,"to row, to scull, to pedal",こぐ
咲く,to bloom,さく
裂く,"to tear, to split",さく
敷く,"to spread out, to lay out",しく
炊く,"to boil, to cook",たく
焚く,"to burn, to kindle, to build a fire ",たく
着く,to arrive at,つく
付く,to be attached,つく
就く,"to take (seat, position), to get (a job) ",つく
点く,"to catch fire, (electricity) comes on ",つく
突く,"(1) to thrust, to strike,(2) to poke ",つく
注ぐ,"to pour (into), to irrigate, to pay ",つぐ
次ぐ,"to rank next to, to come after ",つぐ
接ぐ,"to join, to pice together, to set (bones), to graft (tress)",つぐ
継ぐ,to succeed,つぐ
解く,"to unfasten, to solve",とく
溶く,to dissolve (paint),とく
説く,"to explain, to advocate, to preach, to persuade ",とく
退く,"(1) to retreat, to recede, to withdraw ",どく
研ぐ,"to sharpen, to grind, to scour, to hone, to polish, to wash(rice) ",とぐ
泣く,"to weep, to cry",なく
抜く,"to extract, to omit, to surpass, to draw out, to unplug ",ぬく
脱ぐ,to take off clothes,ぬぐ
履く,"to wear, to put on (lower body) ",はく
吐く,"(1) to breathe out, to breathe (2) to tell (lies) (3) to vomit, to disgorge ",はく
掃く,"to sweep, to brush, to gather up ",はく
剥ぐ,"to tear off, to peel off, to rip off, to strip off, to skin, to flay, to disrobe, to deprive of ",はぐ
引く,to pull,ひく
弾く,"to play an instrument with strings, including piano ",ひく
轢く,"to run somebody over (with vehicle), to knock someone down ",ひく
吹く,to blow,ふく
拭く,"to wipe, to dry",ふく
巻く,"to wind, to coil, to roll",まく
蒔く,to sow (seeds),まく
撒く,"to scatter, to sprinkle, to sow ",まく
向く,to face,むく
剥く,"to peel, to skin, to pare, to hull ",むく
焼く,"to bake, to grill",やく
行く,to go,ゆく
沸く,"to boil, to grow hot, to get excited ",わく
湧く,"to boil, to grow hot, to get excited, to gush forth ",わく
押す,"to push, to stamp something ",おす
貸す,to lend,かす
消す,"to erase, to turn off power",けす
越す,"to go over (e.g. with audience), to cross over (e.g. mountain), to pass time (e.g. a winter)",こす
超す,"to cross, to pass, to tide over, to surpass",こす
差す,"to stretch out hands, to raise an umbrella",さす
指す,"to point, to nominate, to select someone, to identify, to indicate, to play a game, to move a piece",さす
刺す,"to pierce, to stab, to prick, to thrust ",さす
挿す,"to insert, to put in, to graft, to wear in belt ",さす
注す,"to pour (drink), to serve (drinks) ",さす
射す,"to shine, to strike",さす
足す,"to add numbers, to add something, to top up with something",たす
出す,"to put out, to take out, to get out, to show, to submit, to publish, to send",だす
為す,"to accomplish, to do, to build up, to establish, to form",なす
干す,"to air, to dry, to desiccate, to drain (off), to drink up ",ほす
増す,"to increase, to grow",ます
蒸す,"to steam, to poultice, to be sultry ",むす
召す,"to call, to send for, to put on, to wear, to take (a bath), to ride in, to buy, to eat, to drink",めす
止す,"to cease, to abolish, to resign, to give up ",よす
打つ,to hit,うつ
撃つ,"to attack, to defeat, to destroy ",うつ
討つ,"to attack, to avenge",うつ
勝つ,to win,かつ
立つ,to stand,たつ
経つ,"to pass, to lapse",たつ
建つ,"to erect, to be erected, to be built ",たつ
発つ,"to depart (on a plane, train, etc.) ",たつ
絶つ,"to sever, to cut off, to suppress, to abstain (from) ",たつ
打つ,"to hit, to strike",ぶつ
待つ,to wait,まつ
持つ,to hold,もつ
死ぬ,to die,しぬ
飛ぶ,"to fly, to hop",とぶ
跳ぶ,"to jump, to fly, to leap",とぶ
呼ぶ,"to call out, to invite",よぶ
編む,to knit,あむ
産む,"to give birth, to deliver, to produce ",うむ
噛む,"to bite, to chew",かむ
組む,to put together,くむ
汲む,"(1) to draw (water), to dip, to scoop, to pump",くむ
酌む,to serve sake,くむ
込む,to include,こむ
混む,to be crowded,こむ
住む,to live in,すむ
済む,to finish,すむ
澄む,"to clear (e.g. weather), to become transparent",すむ
積む,"to pile up, to stack",つむ
富む,"to be rich, to become rich",とむ
飲む,to drink,のむ
踏む,to step on,ふむ
揉む,"to rub, to crumple (up), to wrinkle ",もむ
止む,to stop,やむ
病む,"to fall ill, to be ill",やむ
読む,to read,よむ
有る,"to be, to have(used for inanimate objects)",ある
在る,"to live, to be",ある
居る,"to be, to have (used for people and animals)",いる
要る,to need,いる
煎る,"to parch, to fry",いる
炒る,"to roast, to parch, to toast, to boil down​",いる
入る,"to get in, to go in, to come in, to flow into, to set, to set in ",いる
売る,to sell,うる
得る,"to get, to gain, to win",うる
得る,"to get, to gain, to win",える
折る,to break or to fold,おる
居る,"to be (animate), to be, to exist ",おる
織る,to weave,おる
刈る,"to cut (hair), to mow (grass), to harvest",かる
切る,to cut,きる
着る,to put on from the shoulders down ,きる
来る,to come,くる
蹴る,to kick,ける
去る,"to leave, to go away",さる
知る,to know,しる
為る,to do,する
為す,to print,なす
剃る,to shave,する
剃る,to shave,そる
散る,"to fall, to scatter (e.g.blossoms)",ちる
釣る,to fish,つる
吊る,to hang,つる
照る,to shine,てる
出る,"to appear, to leave",でる
取る,to take something,とる
撮る,to take a photo or record a film ,とる
採る,"(1) to adopt (measure, proposal), (2) to pick (fruit)",とる
捕る,"to take, to catch (fish), to capture ",とる
鳴る,to sound,なる
為る,"to change, to be of use, to reach to ",なる
成る,to become,なる
生る,to bear fruit,なる
似る,to be similar,にる
煮る,"to boil, to cook, to simmer, to stew",にる
塗る,"to paint, to colour, to plaster ",ぬる
寝る,"to go to bed, to sleep",ねる
練る,"to knead, to work over, to polish up ",ねる
乗る,"to get on, to ride",のる
載る,"to appear (in print), to be recorded ",のる
貼る,to stick,はる
張る,"to stick, to paste, to affix",はる
降る,"to fall, e.g. rain or snow",ふる
振る,"(1) to wave, to shake, to swing,(2) to sprinkle,(3) to cast (actor), to allocate (work)",ふる
減る,"to decrease (in size or number), to diminish, to abate ",へる
経る,"to pass, to elapse, to experience ",へる
掘る,"to dig, to excavate",ほる
彫る,"to carve, to engrave, to sculpture, to chisel",ほる
観る,"to see, to watch",みる
見る,"to see, to watch",みる
診る,to examine (medical),みる
盛る,"(1) to serve (food, etc.),(2) to fill up,(3) to prescribe ",もる
漏る,"to leak, to run out",もる
寄る,to visit,よる
因る,"to be based on, to come from, to be due to, be caused by, to depend on",よる
遣る,"to do, to have sexual intercourse, to kill, to give inferiors animals etc.), to dispatch",やる
割る,"to divide, to cut, to break, to halve ",わる
覆う,"to cover, to hide, to conceal, to wrap, to disguise ",おおう
匂う,"to be fragrant, to smell, to stink ",におう
誓う,"to swear, to vow, to take an oath, to pledge ",ちかう
使う,to use,つかう
違う,to differ,ちがう
願う,"to desire, to wish, to request ",ねがう
救う,"to rescue from, to help out of ",すくう
掬う,"to scoop, to ladle out",すくう
襲う,to attack,おそう
誘う,"(1) to invite, to ask,(2) to tempt, to lure, to induce",さそう
歌う,to sing,うたう
慕う,"to yearn for, to miss, to adore, to love dearly ",したう
雇う,"to employ, to hire",やとう
叶う,to come true (wish),かなう
担う,"to carry on shoulder, to bear (burden), to shoulder (gun) ",になう
奪う,to snatch away,うばう
構う,"to mind, to care about, to be concerned about ",かまう
給う,"to receive, to grant",たまう
思う,"to think, to feel",おもう
通う,to commute,かよう
洗う,to wash,あらう
嫌う,"to hate, to dislike, to loathe ",きらう
拐う,"to carry off, to run away with, to kidnap, to abduct",さらう
習う,to learn,ならう
倣う,"to imitate, to follow, to emulate",ならう
狙う,to aim at,ねらう
払う,to pay,はらう
貰う,to receive,もらう
笑う,"to laugh, to smile",わらう
狂う,"to go mad, to get out of order ",くるう
揃う,"to become complete, to be equal, to be all present, to gather",そろう
拾う,"o pick up, to gather",ひろう
祝う,"to congratulate, to celebrate ",いわう
扇ぐ,"to fan, to flap",あおぐ
仰ぐ,"to look up (to), to respect, to depend on, to ask for, to eek, to revere, to drink, to take ",あおぐ
描く,"to draw, to paint, to sketch, to depict, to describe ",えがく
磨く,"to brush teeth, to polish",みがく
嘆く,"to sigh, to lament, to grieve ",なげく
動く,to move,うごく
塞ぐ,"to stop up, to close up, to block (up)",ふさぐ
築く,"to build, to pile up, to amass ",きずく
濯ぐ,"to rinse, to wash out",すすぐ
弾く,"to flip, to snap",はじく
稼ぐ,"to earn income, to labor ",かせぐ
防ぐ,"to defend (against), to protect, to prevent",ふせぐ
急ぐ,to hurry,いそぐ
注ぐ,"to pour (into), to irrigate, to pay, to fill, to feed (e.g. a fire) ",そそぐ
除く,"to remove, to exclude, to except ",のぞく
覗く,"to peep in, to look in, to peek in, to stick out",のぞく
叩く,"to strike, to clap, to dust, to beat ",たたく
砕く,"to break, to smash",くだく
跨ぐ,to straddle,またぐ
突く,"1. to thrust, to strike, to attack2. to poke, to nudge, to pick at ",つつく
懐く,to become emotionally attached ,なつく
続く,to be continued,つづく
担ぐ,"to shoulder, to carry on shoulder ",かつぐ
届く,to reach,とどく
解く,to unfasten,ほどく
繋ぐ,"to tie, to fasten, to connect, to transfer (phone call) ",つなぐ
招く,to invite,まねく
凌ぐ,"to outdo, to surpass, to endure, to keep out (rain), to stave off, to tide over, to pull through, to defy",しのぐ
裁く,to judge,さばく
響く,to resound,ひびく
省く,"to omit, to eliminate, to curtail, to economize ",はぶく
背く,"to run counter to, to go against, to disobey, to infringe ",そむく
泳ぐ,to swim,およぐ
乾く,to get dry,かわく
渇く,to be thirsty,かわく
騒ぐ,"to make noise, to be excited ",さわぐ
開く,to open an event,ひらく
歩く,to walk,あるく
返す,to return something,かえす
帰す,to send back,かえす
倒す,"to throw down, to beat, to bring down, to blow down ",たおす
通す,"to let pass, to overlook, to continue ",とおす
直す,"to fix, to repair",なおす
治す,"to cure, to heal, to fix, to correct, to repair ",なおす
犯す,"to commit, to perpetrate, to violate, to rape ",おかす
侵す,"to invade, to raid, to trespass, to violate, to intrude on ",おかす
任す,"to entrust, to leave to a person ",まかす
汚す,"to disgrace, to dishonour ",けがす
探す,to look for,さがす
捜す,"to search, to seek, to look for ",さがす
流す,"to drain, to float, to shed (blood, tears), to cruise (e.g. taxi)",ながす
逃す,"to let loose, to set free, to let escape ",のがす
隠す,"to hide, to conceal",かくす
訳す,to translate,やくす
略す,to abbreviate,りゃくす
起す,to wake,おこす
残す,"to leave (behind, over), to bequeath, to save, to reserve ",のこす
汚す,"(1) to disgrace, to dishonour,(2) to pollute, to contaminate, to soil, to make dirty, to stain ",よごす
崩す,"to destroy, to pull down, to make change (money)",くずす
外す,"to unfasten, to remove",はずす
浸す,"to soak, to dip, to drench",ひたす
渡す,to hand over,わたす
乱す,"to throw out of order, to disarrange, to disturb",みだす
写す,to copy or photograph,うつす
移す,"to remove, to transfer, to infect",うつす
映す,"to project, to reflect, to cast (shadow)",うつす
