Words,Meaning,Reading
溢れていた,It was overflowing.,あふれていた
憩しょう,Let’s rest.,いこいしょう
出ていた,I was out.,でていた
怠るな,Don't neglect it.,おこたるな
入浴する,Take a bath.,にゅうよくする
買って帰ろう,Let's get it and go home.,かってかえろう
参りました,Here I come.,まいりました
面白くなってきた,It's getting interesting.,おもしろくなってきた
分けられた,Have been divided.,わけられた
泊まろう,Let's stay here.,とまろう
許可される,Be permitted.,きょかさせる
言い出す,Start talking.,いいだす
書かせる,Let someone write.,きかせる
よく言われるんですけどね,I got told that a lot.,よくいわれるんですけどね
ドヤ顔してるつもりないんですけれども,"I don't mean to be smug, but...",どやがおしてるつもりないんですけれども
もしかしたら思っているから,Maybe because I'm thinking it.,もしかしたらおもっているから
内心成功したぜ,I've succeeded on the inside.,ないしせいこうしたぜ
送っていただけると嬉しいです,I would appreciate it if you could send it to me.,おくっていただけるとうれしいです
お待ちしております,We'll be waiting for you.,おまちしております
ボタンから送ることもできます,You can also send it via the button,ぼたんからおくることもできます
温泉にやってきました,We came to the hot springs.,おんせんにやってきました
雪が残ってますね,There's still snow.,ゆきがのこってますね
あらかじめカットしておく,Cut them in advance.,あらかじめかっとしておく
今度やってみようかな,Maybe I'll try it next time.,こんどやってみようかな
飽きたし,I'm tired of it.,あきたし
焚き火して,Make a bonfire.,たきびして
夜更かししたり,And staying up late.,よふかししたり
絶妙に混ざりあって,Exquisitely mixed.,ぜつみょうにまざりあって
食べ過ぎだろ,You eat too much.,たべすぎだろ
そんなやり方あったんだ,I didn't know that was how it was done.,そんなやりかたあったんだ
いつもきな粉零しちゃうんだよ,I always spill soybean flour.,いつもきなここぼしちゃうんだよ
絡めようとして,I'm just trying to mix it together.,からめようとして
火を起こしていきたいと思います,I'd like to make a fire.,ひをおこしていきたいとおもいます
オシャレ感が増しました,It's more stylish.,おしゃれかんがましました
映えを意識した設置となっております,The installation is designed to look good.,はえをいしきしたせっちとなっております
火がついてきました,It's catching fire.,ひがついてきました
薪を持ってきてくれました,He brought me some firewood.,まきをもってきてくれました
本気で照れる,It's really embarrassing.,ほんきでてれる
順調に炎は燃え上ってきています,The flame is burning steadily.,じゅんちょうにほのおはもえあがってきています
消えたなあ,It's gone.,きえたなあ
火吹き棒で再熱を試みる,Trying to reheat with a fire blowtorch,ひふきぼうでさいねつをこころみる
対面授業を受けに行った,I went to take a face-to-face class.,たいめんじゅぎょうをうけにいった
一番奥の席を確保しました,I got a seat at the far end.,いちばんおくのせきをかくほしました
そんなに苦手なら買わなきゃいいのに,"If you're that bad at it, you shouldn't buy it.",そんなににがてならかわなきゃいいのに
一緒に行こう,Let's go together,いっしょにいこう
