Expression,Translation
おはようございます,Good Morning
こんにちは,"Good Afternoon, Hello"
こんばんは,Good Evening
お元気ですか,How are you?
元気です,I am fine
お名前は何ですか,What is your name?
リコと申します,I am Rico
わたしのな前はリコです,My name is Rico
アメリカからきました,I came from America
はじめまして,Nice to meet you
よろしくお願いします,Nice to meeting you too
こちらこそ,The pleasure is all mine
すみません,Excuse me
ごめんなさい,I am sorry
ありがとうございます,Thank you very much
いただきます,Appreciation before eating
ごちそうさまでした,Gratitude after eating
しりません,I don’t know
わかりません,I don’t understand
わすれました,I forgot
もういちどうください,Please repeat one more time
もういっかい,Once more
ゆっくりください,Slowly please
どこですか,Where is it?
いつですか,When is it?
いくらですか,How much is it?
どれですか,Which is it?
どちらですか,Which is it?
だれですか,Who is it?
なんですか,What is it?
これはなんですか,What is this?
いまなんじですか,What is the time now?
はい,Yes
いいえ,No
ううん,Yes
うん,No
まだ,"Not yet, Still"
ぜんぜん,Not at all
ときどき,Sometimes
たいてい,Usually
いつも,Always
じゃ,Well
じゃ、ね,Well..
じゃ、また,"Well, see you later"
じゃ、またあした,"Well, see you tomorrow"
気をつけてね,Take care
おやすみなさい,Good Night
がんばります,Do your best
