Kanji,Core,Words,Hiragana,Meaning
軍,"army, troops",軍,ぐん,"army, armed forces, troops"
軍,"army, troops",軍隊,ぐんたい,"army, armed forces, troops"
軍,"army, troops",軍事,ぐんじ,military affairs
軍,"army, troops",軍人,ぐんじん,soldier
軍,"army, troops",軍艦,ぐんかん,warship
軍,"army, troops",軍備,ぐんび,armaments
軍,"army, troops",軍縮,ぐんしゅく,disarmament
軍,"army, troops",海軍,かいぐん,navy
軍,"army, troops",軍団,ぐんだん,army corps
軍,"army, troops",軍部,ぐんぶ,military authorities
軍,"army, troops",軍服,ぐんぷく,military uniform
軍,"army, troops",軍勢,ぐんぜい,military forces
軍,"army, troops",軍政,ぐんせい,military administration
軍,"army, troops",軍医,ぐんい,military physician
軍,"army, troops",陸軍,りくぐん,army
軍,"army, troops",軍国主義,ぐんこくしゅぎ,militarism
兵,soldier,兵,へい,soldier
兵,soldier,兵器,へいき ,"arms, weapon"
兵,soldier,兵隊,へいたい ,"soldier, sailor"
兵,soldier,兵士,へいし,soldier​
兵,soldier,歩兵,ほへい ,"infantry, infantryman"
兵,soldier,徴兵,ちょうへい ,"recruitment, enlistment​"
兵,soldier,兵役,へいえき ,military service
兵,soldier,将兵,しょうへい ,officers and men​
兵,soldier,兵力,へいりょく ,military force
兵,soldier,兵員,へいいん ,military strength
兵,soldier,砲兵,ほうへい ,"artillery, gunner​"
兵,soldier,新兵,しんぺい ,new recruit
兵,soldier,民兵,みんぺい ,militia
兵,soldier,工兵,こうへい ,combat engineer
兵,soldier,兵舎,へいしゃ ,barracks​
兵,soldier,核兵器,かくへいき ,nuclear weapon​
島,island,島,とう・しま,island
島,island,島国,しまぐに ,island country​
島,island,島々,しまじま ,islands​
島,island,島根,しまね,Shimane (prefecture)
島,island,島中,しまじゅう ,all over the island
島,island,半島,はんとう,peninsula
島,island,島人,とうじん ,islanders​
島,island,島外,とうがい ,off an island
島,island,島内,とうない ,on an island
島,island,島民,とうみん ,islander​
島,island,島巡り,しまめぐり,island tour​
島,island,島山 ,しまやま ,island mountain​
島,island,島影,しまかげ ,silhouette of an island​
島,island,島伝い,しまづたい,island-hopping​
島,island,島庁,とうちょう ,island government
島,island,島司,かくへいき ,island governor​
