Time,Subtitle,Translation1,Translation2
12s,今、私は原宿駅にいます！,"Now, I'm here in Harajuku!",
17s,今日は柴犬カフェに行こうと思います♪,"Today, we’re going to the Shiba-Inu(Shiba-Dog) Cafe♪",
26s,今日、4月なのにめっちゃ暑い！,"It’s so hot today, even though it’s April!",
29s,24℃ぐらいあるのかな？,I think it’s about 24℃ (72°F).,
31s,もう夏かって感じ。笑,It’s already summer.lol,
34s,半袖でくればよかったー。,I should have worn short sleeves.,
37s,今日行く柴犬カフェは竹下通りの中にあります。,The Shiba Inu cafe is located on Takeshita Street.,
43s,竹下通り、コロナで全然人いなかったんですけど,There were few people here because of Covid19.,
48s,だいぶ人が戻ってきましたね。,"But now, people are coming back.",
51s,ちなみに今は水曜日の午後1時なんですけど,"By the way, it’s 1:00pm on a Wednesday,",
57s,みんな学校無いのかな？,there are some students here.,
58s,なんか学生の子とかもいるんだけど。笑,Don’t they go to school?lol,
1:04,着きましたー！,We’re here!,
1:04,原宿豆柴カフェです♪,Harajuku Mameshiba Cafe♪,
1:14,入館方法はまずチケットを買います。,You have to get a ticket to enter this cafe.,
1:18,チケット(を買うには)は階段の左側を進んでください,Just go to the left side of the stairs to get a ticket.,
1:26,そしてスタッフが入場時間を伝えてくれるので,"The staff will tell you the time to enter,",
1:31,その時間になったら行きます！,You will be there when it’s time.,
1:36,その時にレシートが必要になるので、,"You need a receipt to enter,",
1:38,なくさないように注意して下さい。,so make sure to not lose it.,
1:43,料金は大人が880円で,"The ticket is 880 yen for adults,",
1:47,子供が680円です。,and 680 yen for children.,
1:50,そしてドリンクが一つ無料でついてきます。,And you can have a drink for free.,
1:56,柴犬大好きだからめっちゃ楽しみ♪,"I love Shiba Inu, so I’m really excited♪",
2:25,靴を脱いだらフェンスをまたいでお入りください。,"Take off your shoes, and step over the fence to enter.",
2:33,踏みそう。大丈夫ですか？,I may step on it. Are dogs OK?,
2:35,わーめっちゃ来る！,"Oh, dogs are coming to me!",
2:40,待って、待って！,"Wait, wait!",
2:45,踏んじゃいそう。大丈夫かな？,"I think I’ll step on it, is that OK?",
2:50,お手荷物はこちらの空いている棚の上ご利用ください。,Please place your bag on the empty shelf.,
2:53,お手荷物置きましたら、まずドリンクからお取り頂いて,"After placing your bag, get something to drink,",
2:55,触れ合いスタートでお願いします。,and it’s time to touch the dogs.,
3:00,めっちゃ可愛い、めっちゃ可愛い、ちょっと待ってね。,"It’s so cute, lovely. Wait a moment.",
3:02,飲み物取ってくるから。,I go to get a drink.,
3:06,まず最初にドリンクを取ります。,I get a drink first.,
3:09,ずっと来る。,They are following me.,
3:13,くすぐったい。,It tickles.,
3:14,マンゴージュース！,Mango juice!,
3:22,こんにちは。,Hello.,
3:23,あっ！逃げた！笑,Aah! He got away!lol,
3:28,あっ！逃げた(T T),Got away again(T T),
3:30,ここには柴犬の中でも「豆柴」っていう,There are many Mameshiba in this cafe♪,
3:33,柴犬の小さいサイズの,Mameshiba is a Shiba Inu,
