Kanji,Romaji,Type,Meaning,Kanji1,Kanji2
愛用する,aiyō,(trans.),"to use regularly,patronize","愛 - love, affection, care, to love","用 - use, errand, task, to use"
アクセスする,akusesu,(intrans.),to access (for Internet),na,na
案内する,annai,(trans.),"to guide, lead","案 - idea, plan, proposal, expectation, to be anxious","内 - inside, among, within"
安心する,anshin,(intrans.),"to be relieved, feel secure","安 - cheap, relax, contented","心 - mind, heart, spirit"
安定する,antei,(intrans.),"to be steady, stable","安 - cheap, relax, contented","定 - determine, fix, establish, to decide"
アップする,appu,(trans.),to upload (for Internet),na,na
アレンジする,arenji,(trans.),to arrange,na,na
爆発する,bakuhatsu,(intrans.),"to explode, burst, blow up","爆 - bomb, burst open, pop, split","発 - departure, discharge, publish, emit"
弁護する,bengo,(trans.),"to defend, testify for","弁 - valve, petal, braid, speech, dialect","護 - safeguard, protect"
勉強する,benkyō,(trans.),"to study, to give a discount","勉 - exertion, endeavour, strive",強 - strong
弁償する,benshō,(trans.),"to compensate, repay for loss","弁 - valve, petal, braid, speech, dialect","償 - reparation, make up for, recompense"
防止する,bōshi,(trans.),"to prevent, keep in check","防 - ward off, defend, protect, resist","止 - stop, halt"
募集する,boshū,(trans.),"to recruit, collect","募 - recruit, campaign, gather","集 - gather, meet, congregate"
分析する,bunseki,(trans.),"to analyze, break down","分 - part, minute of time, segment","析 - chop, divide, tear, analyze"
チャレンジする,charenji,(intrans.),to challenge,,
遅刻する,chikoku,(intrans.),"to be late, tardy","遅 - slow, late, back, later","刻 - engrave, cut fine, chop, time"
貯金する,chokin,(intrans.),to save money,"貯 - savings, store, lay in",金 - gold
調査する,chōsa,(trans.),"to investigate, inquire into, examine","調 - tune, tone, meter, key (music), investigate",査 - investigate
調整する,chōsei,(trans.),"to regulate, adjust","調 - tune, tone, meter, key (music), investigate","整 - organize, arranging, tune, tone"
ちゅうちょする,chūcho,(trans.),"to hesitate, waver, vacillate",,
注意する,chūi,(intrans.),"to be careful of, pay attention to","注 - pour, irrigate, shed (tears), flow into","意 - idea, mind, heart, taste, thought"
中継する,chūkei,(trans.),to relay (a broadcast),"中 - in, inside, middle, mean, center","継 - inherit, succeed, continue, patch"
忠告する,chūkoku,(trans.),to warn,"忠 - loyalty, fidelity, faithfulness","告 - revelation, tell, inform, announce"
注目する,chūmoku,(trans.),"to observe, take notice of","注 - pour, irrigate, shed (tears), flow into","目 - eye, class, look, insight"
注文する,chūmon,(trans.),"to order (food, goods)","注 - pour, irrigate, shed (tears), flow into","文 - sentence, literature, style, art"
中止する,chūshi,(trans.),"to stop, discontinue, call off","中 - in, inside, middle, mean, center","止 - stop, halt"
ダウンロードする,daunrōdo,(trans.),to download (for Internet),na,na
妥協する,dakyō,(intrans.),to compromise,"妥 - gentle, peace, depravity","協 - co-, cooperation"
ダンスする,dansu,(intrans.),to dance,na,na
電話する,denwa,(intrans.),to make a telephone call,電 - electricity,"話 - tale, talk"
独立する,dokuritsu,(intrans.),to become independent,"独 - single, alone, spontaneously","立 - stand up, rise, set up"
同意する,dōi,(intrans.),"to agree, approve","同 - same, agree, equal","意 - idea, mind, heart, taste, thought"
導入する,dōnyū,(trans.),"to bring in, introduce","導 - guidance, leading, conduct, usher","入 - enter, insert"
ドラッグする,doraggu,(trans.),to drag with a (computer) mouse,na,na
努力する,doryoku,(intrans.),"to make an effort, work hard","努 - toil, diligent, as much as possible","力 - power, strength, strong, strain"
営業する,eigyō,(trans.),"to do business, be open","営 - occupation, camp, perform, build","業 - business, vocation, arts, performance"
影響する,eikyō,(intrans.),"to influence, affect","影 - shadow, silhouette, phantom","響 - echo, sound, resound, ring, vibrate"
延長する,enchō,(trans.),"to extend, lengthen","延 - prolong, stretching","長 - long, leader, superior, senior"
演技する,engi,(intrans.),"to act, perform","演 - performance, act, play, render","技 - skill, art, craft, ability, feat"
援助する,enjo,(trans.),"to assist, help, support, aid","援 - abet, help, save","助 - help, rescue, assist"
延期する,enki,(trans.),"to postpone, put off","延 - prolong, stretching","期 - period, time, date, term"
遠慮する,enryo,(trans.),"to refrain, hold back","遠 - distant, far","慮 - prudence, thought, concern, consider"
ファックスする,fakkusu,(trans.),to fax,na,na
フォローする,forō,(trans.),to follow on line,na,na
復活する,fukkatsu,(trans.),"to revive, restore","復 - restore, return to, revert, resume","活 - lively, resuscitation, being helped, living"
復習する,fukushū,(trans.),"to review, go over","復 - restore, return to, revert, resume",習 - learn
復讐する,fukushū,(intrans.),to revenge,"復 - restore, return to, revert, resume","讐 - enemy, revenge"
普及する,fukyū,(trans.),"to spread, diffuse","普 - universal, wide(ly), generally","及 - reach out, exert, exercise, cause"
