Words,Phrase,Meaning
愛想,あいそがいい,"cheerful, hospitable, amiable"
センス,センスがいい,have a good sense
気立,きだてがいい,good nortured
いさぎよい,いさぎよくあきらめる,give up gracefully
情け深い,なさけふかい人,"kindhearted, sympathetic person"
用心深い,ようじんふかい人,cautious person
凛々しい,りりしい人,gallant person
若々しい,わかわかし人,look young person
勇ましい,いさましい人,brave person
逞しい,たくましい人,strong person
思いやり,おもいやりがある,thoughtful
思いやる,おもいやる人,considerate person
気品,きひんがある,dignified
色気,いろけがある,sexy
しとやか,しとやかな人,"gentle, modest person"
チャーミング,チャーミングな人,charming person
まめ,まめな人,diligent pesron
生真面目,きまじめな人,earnest person
勤勉,きんべんな人,hardworking person
誠実,せいじつな人,"sincere, honest person"
まとも,まともな人,proper person
大柄,おおがらな人,large built person
小柄,こがらな人,small built person
活発,かっはつな人,active person
要望,ゆうぼうな人,promising person
純粋,じゅんすいな人,innocent person
無邪気,むじゃきな人,"simpleminded, innocent person"
温和,おんわな人,"mild, gentle person"
気さく,きさくな人,friendly person
おおらか,おおらかな人,magnanimous person
素朴,そぼくなぎもん,a simple question
デリケート,デリケートな人,delicate person
気まぐれ,きまぐれな人,"fickle, capricious person"
近寄りがたい,ちかよりがたい人,hard to approach person
無口,むくちな人,silent person
陰気,いんきな人,gloomy person
物好き,ものすきな人,curious person
孤独,こどくな人,lonesome person
臆病,おくびょうな人,timid person
なれなれしい,なれなれしい人,over friendly person
いやらしい,いやらしい人,"indecent, dirty person"
卑しい,いやしい人,greedy person
しぶとい,しぶとい人,"unyielding, tenacious person"
荒っぽい,あらっぽい人,"rough, coarse person"
金遣いが荒い,かねづかいがあらい人,extravagant person
おせっかい,おせっかいな人,nosy person
おっちょこちょい,おっちょこちょいな人,careless person
でしゃばり,でしゃばりな人,intrusive person
きざ,きざな人,showy person
ルーズ,ルーズな人,sloppy person
無礼,むれいな人,rude person
情けない,また負けてしまってなさけない,I am ashamed of losing again
望ましい,運動は毎日続けることがのぞましい,It is desirable that you continue to exercise everyday
好ましい,このましい服装,Appropriate dress
申し分がない,もうしぶんがない作品,A perfect pice of work
快い,申し出をこころよく承諾する,Willingly accept an offer
すがすがしい,すがすしい朝,A refreshing morning
