Orig,Reading,Verbs,Meaning
やる,やる,やる,to do
しまう,しまう,しまう,"to finish, to close, put an end"
またぐ,またぐ,またぐ,to straddle
ぼやく,ぼやく,ぼやく,"to grumble, to complain"
よこす,よこす,よこす,"(1) to send, to forward,(2) to hand over (e.g. money)"
こぼす,こぼす,こぼす,to spill
だます,だます,だます,"to trick, to cheat, to deceive"
しぼむ,しぼむ,しぼむ,"to wither, to fade (away), to shrivel, to wilt"
くるむ,くるむ,くるむ,"to be engulfed in, to be enveloped by, to wrap up, to tuck in to bed"
かかる,かかる,かかる,to take time or money
ちぎる,ちぎる,ちぎる,"to cut up fine, to pick (fruit)"
できる,できる,できる,"to be able to, to be ready, to occur"
なぐる,なぐる,なぐる,"to strike, to hit"
あげる,あげる,あげる,to give
かける,かける,かける,to call by phone
つける,つける,つける,to turn on
かじる,かじる,かじる,"to chew, to bite (at), to gnaw, to nibble"
ばてる,ばてる,ばてる,"to be exhausted, to be worn out"
ゆでる,ゆでる,ゆでる,to boil
うなる,うなる,うなる,"to groan, to moan"
どなる,どなる,どなる,"to shout, to yell"
あびる,あびる,あびる,"to bathe, to shower"
あぶる,あぶる,あぶる,to scorch
ダブる,ダブる,ダブる,"to coincide, to have two of something, to repeat a school year after failing"
サボる,サボる,サボる,"to be truant, to be idle, to sabotage by slowness"
くれる,くれる,くれる,to give
ずれる,ずれる,ずれる,"to slide, to slip off"
ぬれる,ぬれる,ぬれる,to get wet
からかう,からかう,からかう,"to ridicule, to tease, to banter with, to make fun of"
ためらう,ためらう,ためらう,to hesitate
つまずく,つまずく,つまずく,"to stumble, to trip"
まごつく,まごつく,まごつく,"to be confused, to be flustered"
くっつく,くっつく,くっつく,"to adhere to, to keep close to"
おどかす,おどかす,おどかす,"to threaten, to coerce"
ひきだす,ひきだす,ひきだす,to withdraw
しゃがむ,しゃがむ,しゃがむ,to squat
こらえる,こらえる,こらえる,"to bear, to stand, to endure, to put up with"
ぶつかる,ぶつかる,ぶつかる,"to strike, to collide with"
ふざける,ふざける,ふざける,"to romp, to gambol, to frolic, to joke"
ぶつける,ぶつける,ぶつける,"to knock, to run into, to nail on, to strike hard, to hit and attack"
ぼやける,ぼやける,ぼやける,"to become dim, to become blurred"
しくじる,しくじる,しくじる,"to fail, to fall through, to blunder"
あわてる,あわてる,あわてる,to become confused
しゃぶる,しゃぶる,しゃぶる,"to suck, to chew"
しゃべる,しゃべる,しゃべる,"to talk, to chat, to chatter"
いじめる,いじめる,いじめる,to tease
あきれる,あきれる,あきれる,"to be amazed, to be shocked"
もたれる,もたれる,もたれる,"to lean against, to lean on, to recline on, to lie heavy (on the stomach)"
しびれる,しびれる,しびれる,"to become numb, to go to sleep (i.e., a limb)"
あふれる,あふれる,あふれる,"to flood, to overflow, to brim over"
こぼれる,こぼれる,こぼれる,"to overflow, to spill"
こだわる,こだわる,こだわる,"to fuss over, to be particular about, to be concerned about"
すれちがう,すれちがう,すれちがう,"to pass by one another, to disagree"
こしらえる,こしらえる,こしらえる,"to make, to manufacture"
かわいがる,かわいがる,かわいがる,"to love, to be affectionate"
ぶらさげる,ぶらさげる,ぶらさげる,"to hang, to suspend, to dangle, to swing"
くっつける,くっつける,くっつける,to attach
やっつける,やっつける,やっつける,"to attack (an enemy), to beat, to do away with, to finish off"
コピーする,コピーする,コピーする,to copy
けんかする,けんかする,けんかする,to quarrel
あてはまる,あてはまる,あてはまる,"to be applicable, to come under (a category), to fulfill"
あてはめる,あてはめる,あてはめる,"to apply, to adapt"
くたびれる,くたびれる,くたびれる,"to get tired, to wear out"
チェックする,チェックする,チェックする,to check
あう【会う】,あう,会う,to meet
