Meaning,Kanji,Reading
"I, me",私,watashi
you,あなた,anata
he,彼,kare
she,彼女,kanojo
we,私たち,watashi tachi
you (to a group),あなたがた,anata ga ta
they,彼らは,karera wa
Hello! (fam.),やあ！,yā!
Hello! (form.),こんにちは！,konnichiwa!
Good morning!,おはよう！,ohayō!
Good afternoon!,こんにちは！,konnichiwa!
Good evening!,こんばんは！,konbanwa!
to say hello,こんにちはと言う,konnichiwa to iu
Hi! (hello),やあ！,yā!
greeting (n),挨拶,aisatsu
to greet (vt),挨拶する,aisatsu suru
How are you?,元気？,genki ?
How are you? (form.),お元気ですか？,wo genki desu ka?
How are you? (fam.),元気？,genki ?
What's new?,調子はどう？,chōshi wa dō ?
Bye-Bye! Goodbye!,さようなら！,sayōnara!
Goodbye! (form.),さようなら！,sayōnara!
Bye! (fam.),バイバイ！,baibai!
See you soon!,じゃあね！,jā ne!
Farewell!,さらば！,saraba !
to say goodbye,別れを告げる,wakare wo tsugeru
So long!,またね！,mata ne!
Thank you!,ありがとう！,arigatō!
Thank you very much!,どうもありがとう！,dōmo arigatō!
You're welcome,どういたしまして,dōitashimashite
Don't mention it!,礼なんていいよ,rei nante ī yo
It was nothing,どういたしまして,dōitashimashite
Excuse me! (fam.),失礼！,shitsurei!
Excuse me! (form.),失礼致します！,shitsurei itashi masu!
to excuse (forgive),許す,yurusu
to apologize (vi),謝る,ayamaru
My apologies,おわび致します！,owabi itashi masu!
I'm sorry!,ごめんなさい！,gomennasai!
to forgive (vt),許す,yurusu
It's okay!,大丈夫です！,daijōbu desu!
please (adv),お願い,onegai
Don't forget!,忘れないで！,wasure nai de!
Certainly!,もちろん！,mochiron!
Of course not!,そんなことないよ！,sonna koto nai yo!
Okay! (I agree),オーケー！,ōkē!
That's enough!,もう十分だ！,mō jūbun da!
subtraction,引き算,hikizan
"to subtract (vi, vt)",引き算する,hikizan suru
division,割り算,warizan
to divide (vt),割る,wareru
addition,加算,kasan
to add up (vt),加算する,kasan suru
"to add (vi, vt)",足す,tasu
multiplication,掛け算,kakezan
to multiply (vt)	,掛ける,kakeru
"digit, figure",桁数,keta sū
number,数字,sūji
numeral,数詞,sūshi
minus sign,負号,fugō
plus sign,正符号,sei fugō
formula,公式,kōshiki
calculation,計算,keisan
to count (vt),計算する,keisan suru
to count up,数える,kazoeru
to compare (vt),比較する,hikaku suru
How much?,いくら？,ikura ?
How many?,いくつ？,ikutsu ?
"sum, total",合計,gōkei
result,結果,kekka
remainder,剰余、余り,"jōyo, amari"
a few …,少数の,shōsū no
"few, little (adv)",少し,sukoshi
the rest,残り,nokori
one and a half,"1,5",ittengo
dozen,ダース,dāsu
in half (adv),半分に,hanbun ni
equally (evenly),均等に,kintō ni
half,半分,hanbun
time (three ~s),回,kai
to advise (vt),助言する,jogen suru
to agree (say yes),同意する,dōi suru
"to answer (vi, vt)",回答する,kaitō suru
to apologize (vi),謝る,ayamaru
to arrive (vi),到着する,tōchaku suru
to ask (~ oneself),問う,tō
to ask (~ sb to do sth),頼む,tanomu
to be (vi),ある,aru
to be afraid,怖がる,kowagaru
to be hungry,腹をすかす,hara wo sukasu
to be interested in …,…に興味がある,… ni kyōmi ga aru
to be needed,必要である,hitsuyō de aru
to be surprised,驚く,odoroku
to be thirsty,喉が渇く,nodo ga kawaku
to begin (vt),始める,hajimeru
to belong to …,所有物である,shoyū butsu de aru
to boast (vi),自慢する,jiman suru
to break (split into pieces),折る、壊す,"oru, kowasu"
to call (for help),求める,motomeru
can (v aux),できる,dekiru
to catch (vt),捕らえる,toraeru
to change (vt),変える,kaeru
to choose (select),選択する,sentaku suru
to come down,下りる,oriru
to come in (enter),入る,hairu
to compare (vt),比較する,hikaku suru
"to complain (vi, vt)",不平を言う,fuhei wo iu
to confuse (mix up),混同する,kondō suru
