Casual,Words
上野きました,I'm in Ueno
外で撮るセナは初めてじゃない？,Isn't this the first time you've taken pictures of Senna outside?
恥ずかしいですか,Are you embarrassed?
初ロケです,First time on location
今日どこ行きますか,Where should we go today?
上野には飲み屋さんがたくさんあって,There are a lot of bars in Ueno
韓国にはあんまないと思うんですけど,I don't think there are many in Korea
確かに立ち飲み屋って概念ここ来て学んだわ,I learned the concept of standing bars when I came here
上野お昼はら飲める,I'd like to introduce a standing bar in Ueno where you can drink
立ち飲み屋さんを紹介したい思います,I'd like to introduce you to some standing bars in Ueno where you can drink from noon
一軒目,First house
行ったことがある場所？,Have you been into this place?
もちろん,Of course!
大山紹介したいです,I'd like to introduce Oyama
ここで買って後ろの方で食べながら飲めます,You can buy food here and drink it while eating in the back!
まず上野に来たらここでビルを飲む,"If you're ever in Ueno, this is the place to drink Bill!"
ビルはいくらなの,How much is a bill?
中が400円か,400 yen for the inside?
やみつきメンチとやみつきコロッケ,Yummy Menchi and Yummy Croquette!
生ビール中2つください,"Two medium draft beers, please"
チャン一杯目です,This is my first glass of Chang
こういう立ち飲み屋って日本に多いの,There are a lot of standing bars like this in Japan
こういうソースもある,"There's a source like this, too"
新宿にもちょっとあるじゃん？　立ち飲み屋,"There are some in Shinjuku, right?　A standing bar"
行ったことある?,Have you been there?
あの時一緒だったじゃん?,Didn't we go together that time?
不思議な傘持って来た時,When I came with the strange umbrella
傘の中に面白い傘あるでしょう,"There's a funny umbrella inside, right?"
反対側にやれるやつとか,"You know, the kind you can put on the other side?"
それ持ってきてた,I brought that
何？その思い出,What? That memory
「この傘やばいな？」と思ってた,"I was thinking, ""What the hell is wrong with this umbrella? I thought"
それで思い出せないんだけど,And I can't remember
あるって,You do?
あるか,You do?
こういうことセナしか好きじゃないから,Senna's the only one who likes this kind of thing
一緒に行く人いないって,You said you didn't have anyone to go with
何だと思ってるんだ,What do you think it is?
思い出せないの？マジで？,You can't remember? Seriously?
高いお店,It's expensive
わかる？,You know what I mean?
俺の問題？,Is that my problem?
今韓国語なのか？日本語なのか？わかんなくて,Are you speaking Korean right now? Or is it Japanese? I don't know
グッチね？はい,"Gucci, right? Yeah"
日本語でグッチです,Gucci in Japanese
お店あるんじゃん,"There's a store, right?"
そこを渡ってそのまま歩いたら,Cross the street and keep walking
その立ち飲み屋みたいなところが出ますよ,You'll see a place that looks like a bar
どこ？　新宿？,Where?　Shinjuku?
ちっと行ったかもね？昔,I've been there a while. A long time ago
けっこう前だよね,That was a long time ago
一年以上じゃない？,It's been over a year
もっと安いよりは,More than cheap
簡単に飲めるっていうのが強いね？,"It's easier to get a drink than cheaper, right?"
でもちょっとお店よりは若干安い,But it's a little cheaper than the store
若干小ちゃいしね？,It's a little smaller
日本で言うとチャージ？,"In Japan, there's a charge"
お通し代っていうのがかかるから,"In Japan, you have to pay an appetizer fee"
それがないじゃん,You don't have that
座らないから,You don't have to sit down
椅子代ね,You pay for a chair
だから1人で「今日飲みたい」とか思う時って,So if you're alone and want to have a drink today..
4人掛けのテーブル部に案内されて座るのも（ちょっと）,I don't want to be shown to a table for four and sit at it
仕事終わってサクッと飲んで帰れるかなって,I thought I could have a quick drink after work and go home
こういうものないよね？　韓国って,"You don't have anything like this, right?　Korea"
でもさ立って食べるってことはあるじゃん,But there is such a thing as eating standing up
それ専用のお店はないわ,We don't have a dedicated restaurant for that
そうだね,That's true
やっぱ韓国人カッツリ飲みたいかな？,Do you think Koreans like to drink hard?
座ってから飲むのことが多いかな,We tend to sit down and drink
1人飲みってものあんま少ないしね？日本よりは,"There's not much room for drinking alone, right? More than in Japan"
日本はちょいちょいあるじゃん,"In Japan, there's a little bit of that"
日本人は好きなんで1人,Japanese people like to drink alone
1人が好きですか,You like to drink alone?
せなはもう..,Sena is..
めっちゃ寂しい動物じゃない？セナって,Isn't she a very lonely animal? Senna?
セナは人が集まることが好き,Senna likes to be around people
でもたまにはけっこう1人飲みする,"But sometimes, she drinks alone"
1人飲みしたらちょっと寂しくなる感じしない？,Doesn't it make you feel a little lonely when you drink alone?
俺はめっちゃするんだけど,I get lonely a lot
いや一人で考えたりとか,"No, I think alone"
クラシックとか流れて？,Is there classical music playing?
ウィスキーでしょう,"Whiskey, right?"
一人の時ほど友達ができたりもするじゃん,You make more friends when you're alone
普段喋らない人とかと,People you don't usually talk to
確かにここで喋るんだ,"You're right, we do talk here"
そういうこと好きだな？,"You like that, don't you?"
日本語勉強するのにもおいいかもよ,It's a good place to learn Japanese
レベルが高すぎじゃない？,Isn't it too high level?
おいしかった！,That was delicious!
これで移動するの？,Are we moving on from this?
二軒目行きます,I'm going to the second one
さっきのとこでどのぐらいいたかわかります,Let's see how long we've been here
一軒のとこで7分間いた,I was there for seven minutes at one place
コロッケも食べてビールも飲めました,I ate some falafel and drank some beer
これがはしご酒立ち飲み屋さんの,This is what I like about drinking at a bar
いいとこなんで,This is the best part of standing bars
セナが上野来るとまずお肉とビール飲んで,"Whenever Senna comes to Ueno, the first thing he does is eat meat and drink beer."
勢いでっていうか元気つけて,"I mean, he drinks beer and meat to get his energy up."
お肉食べたら魚！,"After meat, fish!"
