Kanji,Core,Onyomi,Kunyomi,Words,Meaning
川,RIVER,SEN,kawa,河川,rivers
川,RIVER,SEN,kawa,山川,mountains and rivers
川,RIVER,SEN,kawa,川上,"upstream, upriver"
川,RIVER,SEN,kawa,川瀬,"rapids, shallows of a river"
川,RIVER,SEN,kawa,小川,"brook, streamlet"
川,RIVER,SEN,kawa,江戸川,edo river
川,RIVER,SEN,kawa,川原,"dry riverbed, river beach"
小,SMALL,SHOU,"chii, ko, o",小国,"small nation, lesser power"
小,SMALL,SHOU,"chii, ko, o",小説,"novel, story, fiction"
小,SMALL,SHOU,"chii, ko, o",小額,small denomination
小,SMALL,SHOU,"chii, ko, o",小規模,small scale
小,SMALL,SHOU,"chii, ko, o",小数,decimal(fraction)
小,SMALL,SHOU,"chii, ko, o",大小,large and small
小,SMALL,SHOU,"chii, ko, o",縮小する,"reduce, curtail, cut down"
小,SMALL,SHOU,"chii, ko, o",中小企業,small to medium sized enterprise
小,SMALL,SHOU,"chii, ko, o",最小,"the smallest, minimum"
小,SMALL,SHOU,"chii, ko, o",小学校,elementary
小,SMALL,SHOU,"chii, ko, o",小学生,"school children, elementary school student"
小,SMALL,SHOU,"chii, ko, o",過小評価する,"underestimate, underrate"
小,SMALL,SHOU,"chii, ko, o",小一,first year of elementary school
小,SMALL,SHOU,"chii, ko, o",佃小,Tsukuda Elementary School (suffix for elem. schools)
小,SMALL,SHOU,"chii, ko, o",小さな,"small, little, tiny"
小,SMALL,SHOU,"chii, ko, o",小さい,"small, little, tiny"
小,SMALL,SHOU,"chii, ko, o",小型の,"small-sized, small"
小,SMALL,SHOU,"chii, ko, o",小物,"small articles, gadget"
小,SMALL,SHOU,"chii, ko, o",小鳥,small bird
小,SMALL,SHOU,"chii, ko, o",小麦,wheat
小,SMALL,SHOU,"chii, ko, o",小屋,"cottage, hut, cabin, playhouse"
小,SMALL,SHOU,"chii, ko, o",小切手,"cheque, check​"
小,SMALL,SHOU,"chii, ko, o",小口,"small lot, small sum(amount), end, edge"
小,SMALL,SHOU,"chii, ko, o",小幅,"single breadth, narrow range"
小,SMALL,SHOU,"chii, ko, o",小指,"small finger, pinkie"
小,SMALL,SHOU,"chii, ko, o",小文字,lowercase letter
小,SMALL,SHOU,"chii, ko, o",小雪,light snow
小,SMALL,SHOU,"chii, ko, o",小声,"low voice, whisper"
小,SMALL,SHOU,"chii, ko, o",小売店,retail store
小,SMALL,SHOU,"chii, ko, o",小川,"brook, streamlet"
水,WATER,SUI,mizu,水道,water service
水,WATER,SUI,mizu,水準,"level, standard, water level"
水,WATER,SUI,mizu,水中,in the water
水,WATER,SUI,mizu,水面,surface of the water
水,WATER,SUI,mizu,水力,"waterpower, hydraulic power"
水,WATER,SUI,mizu,水蒸気,"steam, water vapor"
水,WATER,SUI,mizu,海水,seawater
水,WATER,SUI,mizu,地下水,underground water
水,WATER,SUI,mizu,水素,hydrogen
水,WATER,SUI,mizu,水爆,hydrogen bomb
水,WATER,SUI,mizu,炭水化物,carbohydrates
水,WATER,SUI,mizu,水曜日,wednesday
水,WATER,SUI,mizu,月水金,"mondays, wednesdays and fridays"
水,WATER,SUI,mizu,水洗い,washing with water
水,WATER,SUI,mizu,水着,bathing suit
水,WATER,SUI,mizu,水色,"sky blue, turquoise"
水,WATER,SUI,mizu,雨水,rainwater
水,WATER,SUI,mizu,水飴,glutinous starch syrup
水,WATER,SUI,mizu,水資源,water resources
水,WATER,SUI,mizu,水仕事,"scrubbing and washing, kitchen work"
水,WATER,SUI,mizu,水商売,"bar and restaurant business, chancy trade"
心,HEART,SHIN,"kokoro, gokoro",心情,"one’s feelings, one’s heart, sentiment"
心,HEART,SHIN,"kokoro, gokoro",心身,mind and body
心,HEART,SHIN,"kokoro, gokoro",心理,"mental state, mentality, psychology"
心,HEART,SHIN,"kokoro, gokoro",心配,"anxiety, concern, worry, uneasiness"
心,HEART,SHIN,"kokoro, gokoro",心境,"frame of mind, mental attitude(state)"
心,HEART,SHIN,"kokoro, gokoro",心中,"heart, mind, true motives"
心,HEART,SHIN,"kokoro, gokoro",関心,"concern, interest"
