Expression,Expn,Trans,Convo1,Convo2,Convo3,Convo4,Convo5,Convo6,Convo7,Convo8,Convo9
あいさつ,aisatsu,Greetings,① おはようございます。・おはよう。,② こんにちは。,③ こんばんは。,④ おやすみなさい。・おやすみ。,⑤ 元気ですか。ええ、元気ですよ。,⑥ いただきます。,⑦ ごちそうさまでした。・ごちそうさま。,⑧ ありがとうございます。・ありがとう。,⑨ さようなら。
生活,seikatsu,Daily life,① 何かを頼む ∙ お水をお願いします。,② 注文する ∙ これをお願いします。,③ 店員を呼ぶ ∙ お願いします!,④ 遅れたとき ∙ すみません。,⑤ レストランで店員を呼ぶ ∙ すみません!,⑥ 人に声をかける ∙ すみません。,⑦ 電車などで人にどいてもらうとき ∙ すみません。,⑧ 感謝の気持ちを表す ∙ いつも すみません。,⑨ 何かを差し出す ∙ どうぞ
緊急,kinkyuu,Emergency,① 痛い。,② けがをしました。,③ 誰か来てください!,④ 助けてください!,⑤ 救急車を呼んでください!,⑥ 警察を呼んでください!,⑦ 危ない!,⑧ やめてください。,⑨ もう一度言ってください。
あいさつをする,aisatsu o suru,Greetings,① おはようございます。,② お久しぶりです。・ご無沙汰しております。,③ お変わりありませんか。はい、おかげさまで,④ 最近、調子はどうですか。まあまあです。,⑤ お疲れさまです。・お疲れ。,⑥ 先に帰るときに言う ∙ お先に失礼します。,⑦ 部屋に入るとき ∙ 失礼します。,⑧ (その場を去るときに言う) では、失礼します。,⑨ じゃ、またね。
自己紹介をする ,jikoshokai-suru,Self-introduction,① はじめまして。スミスと申します。,② オーストラリア出身です。,③ 今年、20歳になります。,④ 大学では心理学を専攻しています。,⑤ 趣味はサッカー観戦と旅行です。,⑥ 世界一周旅行をするのが夢です。,⑦ 販売の仕事をしています。,⑧ これからお世話になりますが、よろしくお願いします。,⑨ 一緒に仕事をするのを楽しみにしています
お礼を言う・謝る,orei о iu / ayamaru,Thanking and apologizing,① ありがとうございます。,② ありがとう!,③ いろいろとお世話になり、ありがとうございました。,④ 遅くなってすみませんでした。,⑤ 申し訳ありませんでした。,⑥ ご迷惑をおかけして申し訳ありません。,⑦ 先日は失礼いたしました。,⑧ ごめんなさい。,⑨ ごめん、 許して!
依頼する,irai-suru,Asking,① ちよっとお願いしたいことがあるんですが。,② ちよっと手伝っていただけませんか。,③ これを一緒に運んでほしいんですが。,④ それのやり方を教えてくれませんか。,⑤ もう少し待っていただけませんか。,⑥ 明日の朝、 9時に駅に来てもらえる?,⑦ 石川さんに連絡しといてくれる?,⑧ 日本文化論のノート、貸してくれない?,.
誘う,sasou,Inviting,① よかったら、今度、食事に行きませんか。,② 今度行ってみませんか。,③ 今から食事に行くけど、一緒にどうですか。,④ 田中さんもご一緒にいかがですか。,⑤ 今度、みんなでカラオケに行きましょう。,⑥ 来週のパーティーにはぜひいらしてください。,⑦ もう一杯いかがですか。,⑧ 今、時間ある?,⑨ 来週、空いてる日ある?
誘いを受ける・断る,sasoi o ukeru / kotowaru,Accepting and declining invitations,① いいですね。,② はい、喜んで。,③ ぜひ、ご一緒させてください。,④ ご招待いただき、ありがとうございます。,⑤ すみませんが、その日はちよっと...。,⑥ 今日は予定がありますので...。,⑦ 行けたら行きます。,⑧ すみません、また誘ってください。,.
質問する,shitsumon-suru,Asking a question,① 一つ聞いてもいいですか。,② ちよっと聞いてもいい?,③ なぜそう思ったのですか。・どうしてそう思ったの?,④ レポートのテーマはなんですか。,⑤ レポートの締め切りはいつですか。,⑥ 受付はどこですか。,⑦ 明日の試合って、何時からだっけ?,⑧ 映画はどうでしたか。,⑨ 犬と猫、どっちが好き?
提案する,teian-suru,Suggesting,① 早めにチェックインして、街を散歩しませんか,② まずお昼を食べてからにしませんか。,③ 天ぷらはどうですか。,④ 天ぷらとかどうですか。,⑤ 天ぷらなら、富士屋がおすすめです。,⑥ 少し早めに行くのがいいと思いますよ。,⑦ いいですね。やりましょう。,⑧ みんなでプレゼントを買いましょう。,.
申し出る,moushideru,Offering,① 少し暑いですね。窓を開けましょうか,② 何か冷たい飲み物を持ってきましょうか,③ 私が先生にメールしておきましょうか。,④ よかったら、お手伝いしますよ。,⑤ ほかにもお手伝いできることがあったら、 言ってください。,⑥ 家まで迎えに行こうか。,⑦ 駅まで送るよ。,⑧ チケット、とっておくね。,.
心配する,shinpai-suru,Expressing concern,① どうしたんですか。,② 何かあったんですか。,③ 大丈夫ですか。,④ 顔色が良くないですね。,⑤ どこか具合が悪いんですか。,⑥ 無理しちゃダメですよ。,⑦ 今日はもう帰ったほうがいいんじゃないですか。,⑧ 遅いから、気をつけてくださいね。,⑨ お大事にね。
励ます,hagemasu,Encouraging,① がんばってください。,② きっとうまくいきますよ。,③ 自信を持ってください。,④ 大丈夫ですよ。,⑤ 元気出してください。,⑥ またチャンスがありますよ。,⑦ まだまだこれからですよ。,⑧ あきらめないで!,.
感想を言う,kansou o iu,Impressions,① すごくよかったです。,② とても面白かったです。,③ なかなかよかったですよ。,④ まあまあでした。,⑤ ちょっと物足りなかったです。,⑥ あまりよくなかったです。,⑦ 少し期待と違いました。,⑧ 期待はずれでした。,⑨ 最高でした。・最低でした。
不満・苦情を言う,fuman / kujou o iu,Complaining,① これはひどいです。,② 嫌になります。,③ うんざりです。,④ 困りますね。,⑤ 困ったなあ。,⑥ どうなってるんですか。,⑦ 納得できません。,⑧ ちゃんとやってください。,⑨ 何とかしてください。
予約する,yoyaku-suru,Making a reservation,① 航空券の予約をしたいんですが。,② 12月1日の羽田発、シンガポール行きでお願いします。,③ 何時何分の便がありますか。,④ その次は何時何分ですか。,⑤ 予約をお願いしたいのですが...。,⑥ 予算は、飲み物を入れて一人3500円です。,⑦ キャンセル料はいつからかかりますか。,⑧ 予約を変更したいんですが。,⑨ 予約をキャンセルしたいんですが。
希望を言う,kibou o iu,Requesting,① もっと安いのはないですか。,② もう少しわかりやすく説明してもらえませんか。 ,③ パスタが食べたいです。,④ なるべく近いお店がいいです。,⑤ できれば一緒に行ってください。,⑥ 一度行ってみたいです。,⑦ 会えたらうれしいです。,⑧ 明日までに返事がほしいです。,⑨ あまり寒いところには行きたくないです。
~は~です,~ha ~desu,N1 wa N2 desu. N1 wa A desu.,① 私はミラーです。,② こちらはスミスさんです。,③ スミスさんは私の友達です。,④ 私は教師です。,⑤ お母さんはお元気ですか。,⑥ はい、あいかわらず元気です。,⑦ あれは何というビルですか。,⑧ ああ、あれは六本木ヒルズです。,⑨ きれいなビルですね。
好き・嫌い・得意・下手,suki / kirai / tokui / heta ,"Like, do not like, be good at, be not good at",① 私は納豆が好き・嫌いです。,② 私は数学が大好き・大嫌いです。,③ スポーツは得意ですが、勉強は苦手です。,④ 人前で話すのは苦手です。,⑤ 料理は得意です。,⑥ 食べるのは早いですよ。,⑦ 明るい色がいいです。,⑧ 英語が(お)上手ですね。,.
形容詞,keiyoushi,Adjectives,① 今日は暑いですね。,② 今日はすごく寒いですね。,③ 昨日は、月がとてもきれいでした。,④ 私の国より東京のほうが人口が多いです。,⑤ 宮崎アニメの中で、どれが一番おもしろいですか。,⑥ 私が見た中では、「トトロ」が一番おもしろかったです。,⑦ インドのカレーとスリランカのカレーと、どちらのほうがからいですか。,⑧ インドのカレーのほうがからいです。,.
ある・いる,aru / iru,Expressing existence,① 京都には、和風の旅館がたさんあります。,② たたみの部屋がありますか。,③ この近くに、郵便局はありますか。,④ はい、あのコンビニのとなりにあります。,⑤ 来週、京都でお祭りがあります。,⑥ あのう、ちょっと質問があるんですが。,⑦ 兄弟はいますか。,⑧ 今、家にはだれもいません。,.
~がほしい・~たい・たがる,~hoshi / ~tai / ~tagaru,Want to ~ / Would like to ~,① 水が飲みたいです。,② 早くお昼を食べたいです。,③ 何が食べたいですか。,④ 3年後に自分の会社を作りたいです。,⑤ 将来は通訳になりたいと思っています。,⑥ 富士山に登ってみたいです。,⑦ 前からこの映画を見たいと思っていました。,⑧ 冬のコートがほしいです。,⑨ 妹は早く結婚したがっています。
連体修飾節,rentai shushoku setsu,Qualifying nouns,① これは去年ハワイで買ったシャツです。,② 昨日買ったばかりのかさを失くしてしまいました。,③ 昨日泊まったホテルはまあまあよかったです。,④ 今日行った店よりこの前行った店のほうがずっとよかったです。,⑤ これは約800年前に建てられたお寺です。,⑥ 日本の貿易会社に勤めている友達を紹介します。,⑦ あのめがねをかけている男性がティムです,⑧ さっき話していた人は誰ですか。,.
てください・ないでください,~te kudasai / ~naide kudasai,Please do / Please don’t do,① 先に行ってください。,② ここにメールアドレスを養いていただけませんか。,③ 次の交差点を右に曲がってください。,④ ここでちよつと待っていてください。,⑤ 危ないから気をつけてください。,⑥ これは捨てないでください。,⑦ まだ開けないでください。,⑧ 無理をしないでください。,.
